mtype,tokens,label
FUNC,"['f']",1
FUNC,"['f', '(', '3', ')', '=', '3']",1
SCAL,"['1']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '2', 'x', '/', 'm']",1
FUNC,"['f', '(', 'x', ')', '=', '{', '-', 'x', '}']",1
FUNC,"['g']",1
SCAL,"['{', '7', '}']",1
FUNC,"['f']",1
SCAL,"['\\frac', '{', 'm', '}', '{', 'n', '}']",1
FUNC,"['f']",1
SCAL,"['f', '(', 'a', ')']",1
FUNC,"['g', '\\colon', 'T', '\\to', 'U']",1
SCAL,"['f', '^', '{', '-', '1', '}', '(', '5', ')']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '-', '1']",1
SCAL,"['p', '/', 'q']",1
FUNC,"['f']",1
SCAL,"['e', '^', '{', '-', 'x', '}']",1
SCAL,"['-', '1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '(', '1', '-', '2', 'a', ')', '+', 'a']",1
SCAL,"['q', '+', 'r']",1
SCAL,"['2']",1
SCAL,"['1']",1
SCAL,"['a', 'j', '+', 'b']",1
SCAL,"['6', 'k', '+', '2']",1
FUNC,"['h']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['4']",1
SCAL,"['1']",1
SCAL,"['a', '+', 'c']",1
FUNC,"['g']",1
SCAL,"['a', '+', 'b', '+', 'c', '-', 'd', '-', 'e']",1
SCAL,"['3']",1
FUNC,"['g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['m']",1
SCAL,"['1']",1
SCAL,"['9']",1
SCAL,"['x', '^', '2', '+', 'y', '^', '2']",1
FUNC,"['g']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '{', '2', '/', '3', '}']",1
SCAL,"['x', '+', '1']",1
FUNC,"['f', '(', 'x', ')', '=', '2', 'x', '^', '2', '+', '3', 'x', '-', '1']",1
FUNC,"['f', '(', 'x', ')', '=', '\\dfrac', '{', '1', '}', '{', 'a', 'x', '^', '2', '+', 'b', 'x', '+', 'c', '}']",1
FUNC,"['f', '(', 'a', ')', '=', 'a', '^', '5', '-', 'a', '^', '3', '+', 'a']",1
FUNC,"['f', '(', 'x', ')', '=', 'x']",1
SCAL,"['5']",1
SCAL,"['4']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '}', '{', 'x', '^', '2', '+', '1', '}']",1
FUNC,"['g']",1
FUNC,"['f']",1
FUNC,"['f', ':', 'R', '\\to', 'R']",1
SCAL,"['3']",1
SCAL,"['8']",1
FUNC,"['p', '(', 'x', ')', '=', '6', 'x', '^', '3', '+', '3', 'x', '^', '2', '-', '3', 'x', '+', '8']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', '^', 'x', '+', 'x']",1
FUNC,"['H']",1
FUNC,"['g']",1
SCAL,"['0']",1
FUNC,"['g', '(', 'x', ')', '=', 'x', '^', '2', '-', '5']",1
SET,"['[', '0', ',', '1', ')']",1
FUNC,"['p', '(', 'r', ')', '=', 'a', '^', 'r', '-', 'b', '^', 'r', '-', 'c', '^', 'r']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['2']",1
SCAL,"['2']",1
SCAL,"['a', '/', 'b']",1
SCAL,"['1', '0']",1
SCAL,"['0', '7']",1
SCAL,"['-', '1']",1
FUNC,"['f']",1
SCAL,"['w', '(', 't', ')']",1
FUNC,"['f', '(', 'x', ')', '=', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3', '-', 'x', '^', '2']",1
SCAL,"['9']",1
FUNC,"['f']",1
FUNC,"['\\exp', '(', 'x', ')', '=', 'e', '^', 'x']",1
FUNC,"['A', '(', 'w', ')', '=', 'w', '(', '1', '-', 'w', ')']",1
SCAL,"['7']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']",1
SCAL,"['1']",1
SCAL,"['3']",1
FUNC,"['f']",1
SCAL,"['a', 'b', '^', '2']",1
FUNC,"['f']",1
FUNC,"['F', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['f', '(', 'x', ')', '=', '3', 'x', '^', '3', '-', '2', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '}', '{', 'x', '}']",1
FUNC,"['\cos']",1
FUNC,"['f']",1
SCAL,"['\\frac', '{', '1', '-', 'x', '}', '{', '1', '+', 'x', '}']",1
SCAL,"['1']",1
FUNC,"['\arcsin']",1
SCAL,"['x', '(', 't', ')']",1
SCAL,"['9']",1
SCAL,"['0']",1
SCAL,"['a', '+', 'b']",1
FUNC,"['x']",1
FUNC,"['g', '(', 'x', ')', '=', 'x']",1
SCAL,"['n', '^', '2']",1
FUNC,"['n']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '^', '2', '+', 'a', 'x', '+', 'b', '}', '{', 'x', '^', '2', '+', '2', 'x', '+', '3', '}']",1
FUNC,"['f']",1
SCAL,"['x', '(', 'x', '+', '1', ')', '/', '2']",1
FUNC,"['f']",1
FUNC,"['B']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3', '+', 'x', '-', '1']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '7', 'e', '^', '{', 'x', '}', '+', '2', '}', '{', '5', 'e', '^', '{', 'x', '}', '-', '6', '}']",1
FUNC,"['v']",1
SCAL,"['2', 'n', '-', '1']",1
FUNC,"['u']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['2', '^', 'n', '\\cdot', '1']",1
SCAL,"['-', '4']",1
FUNC,"['F']",1
SCAL,"['m', '/', '(', '2', 'n', ')']",1
FUNC,"['n']",1
FUNC,"['a']",1
FUNC,"['x']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['-', '2', '^', '{', '-', '5', '}']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', '^', 'x', '+', 'b', '^', 'x', '-', 'c', '^', 'x']",1
SCAL,"['1']",1
SCAL,"['2']",1
SCAL,"['f', '(', '3', ')']",1
SET,"['\mathbb{N}']",1
FUNC,"['h']",1
FUNC,"['f']",1
FUNC,"['g']",1
FUNC,"['f']",1
SCAL,"['3']",1
SCAL,"['5']",1
FUNC,"['E']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '3', 'x', '}', '{', 'x', '^', '2', '+', '4', 'x', '-', '5', '}']",1
FUNC,"['f', '(', 'z', ')', '=', 'z', '^', 'n']",1
FUNC,"['g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['1']",1
SCAL,"['1']",1
SCAL,"['3']",1
SCAL,"['2']",1
SCAL,"['\\frac', '{', 'a', '}', '{', 'b', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x', '-', 'x', '^', '3']",1
FUNC,"['f']",1
SCAL,"['3']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2']",1
SCAL,"['2', 'i', '+', '1']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '/', 'd']",1
FUNC,"['c', '(', '1', ')', '=', '6']",1
FUNC,"['f', '(', 'x', ')', '=', '\\dfrac', '{', 'x', '-', '3', '}', '{', 'x', '+', '2', '}']",1
SCAL,"['5']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '2', 'x', '+', '(', '-', '1', ')', '^', 'x', '-', '1', '}', '{', '4', '}']",1
SCAL,"['1']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['f', '(', 'q', ')']",1
FUNC,"['f']",1
FUNC,"['g', '(', 'x', ')', '=', 'x', '-', 'i']",1
FUNC,"['f']",1
SCAL,"['0']",1
SCAL,"['1']",1
SCAL,"['1']",1
SCAL,"['5']",1
SCAL,"['1']",1
FUNC,"['R']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3']",1
SCAL,"['0']",1
SCAL,"['1']",1
SCAL,"['6']",1
SCAL,"['2']",1
SCAL,"['0']",1
SCAL,"['1']",1
SCAL,"['2']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['2', 'k']",1
FUNC,"['\exp']",1
FUNC,"['g']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', '^', 'x']",1
FUNC,"['f']",1
SCAL,"['r', 'u']",1
FUNC,"['n']",1
SCAL,"['5', '^', '2']",1
SCAL,"['g', '(', 'x', ')']",1
SCAL,"['(', '1', ')']",1
SCAL,"['1']",1
SCAL,"['b', '^', '2']",1
SCAL,"['x', '+', 'z']",1
FUNC,"['x']",1
SCAL,"['2']",1
SCAL,"['0']",1
SCAL,"['2', '^', '{', '1', '+', '4', '*', '2', '}']",1
SCAL,"['\\frac', '{', '2', '}', '{', '5', '}']",1
SCAL,"['8']",1
SCAL,"['2']",1
FUNC,"['f', '(', 'x', ')', '=', '\\dfrac', '{', 'b', 'x', '}', '{', 'x', '^', '2', '+', '4', '}']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '3', '^', 'x']",1
FUNC,"['\mathbb{Q}']",1
FUNC,"['g']",1
SCAL,"['6', '2']",1
SCAL,"['1']",1
FUNC,"['h', '(', 'x', ')', '=', 'f', '(', 'x', ')', '+', 'g', '(', 'x', ')']",1
SCAL,"['s', '^', '2']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'z', ')', '=', 'z', '^', '{', '\\frac', '{', '4', '}', '{', '3', '}', '}']",1
SET,"['2', '^', 'N']",1
SCAL,"['a', 'b', 'c']",1
SCAL,"['8', '^', '{', '2', '}', '\\cdot', '5', '^', '{', '8', '}']",1
SCAL,"['9']",1
FUNC,"['g']",1
SCAL,"['-', '2']",1
FUNC,"['x']",1
FUNC,"['f', '(', 'x', ',', 't', ')', '=', 'e', '^', 't', '\\cdot', 'x']",1
SCAL,"['f', '(', 'n', ')']",1
FUNC,"['x']",1
SCAL,"['1']",1
SCAL,"['4']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b', 'x', '+', 'c']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '+', '\\tfrac', '{', '1', '}', '{', 'x', '}', '}', '{', '1', '-', '\\tfrac', '{', '1', '}', '{', 'x', '}', '}']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']",1
SCAL,"['\\frac', '{', '4', 'x', '+', '2', '}', '{', '1', 'x', '^', '2', '}']",1
FUNC,"['f']",1
SCAL,"['8']",1
FUNC,"['f']",1
SCAL,"['3']",1
FUNC,"['h', '(', 'x', ')', '=', 'f', '(', 'g', '(', 'x', ')', ')']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']",1
SCAL,"['7']",1
FUNC,"['N', ':', 'S', '\\to', 'S', '^', '2']",1
FUNC,"['R']",1
FUNC,"['Z', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'Z']",1
FUNC,"['f']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']",1
SCAL,"['1']",1
SCAL,"['6']",1
FUNC,"['f', ':', 'A', '\\to', 'B']",1
SCAL,"['2', 'n', '+', '1']",1
FUNC,"['g']",1
FUNC,"['x']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', '2', 'x', '^', '3', '}', '{', 'x', '^', '{', '1', '/', '2', '}', '}']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']",1
FUNC,"['f']",1
FUNC,"['f', '(', 't', ')', '=', '\\frac', '{', '2', '}', '{', 't', '^', '2', '-', '1', '}']",1
SCAL,"['0']",1
SCAL,"['-', '1']",1
FUNC,"['C']",1
SCAL,"['7']",1
SCAL,"['u', '^', '3']",1
FUNC,"['N']",1
FUNC,"['f']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3', '+', 'x']",1
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', '1', '+', 'x', '^', '5', '+', 'y', '^', '5', '-', 'x', '^', '2', 'y', '-', 'x', '^', '2', 'y', '^', '2', '-', 'x', 'y', '^', '2']",1
SCAL,"['f', '(', 'x', ')']",1
SCAL,"['1']",1
FUNC,"['g', ':', 'D', '\\to', '\\mathbb', 'R']",1
SCAL,"['(', 'a', 'b', ')', '^', 'n']",1
SCAL,"['1']",1
SCAL,"['1']",1
FUNC,"['g', ':', 'A', '\\rightarrow', 'B']",1
SCAL,"['1']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['3']",1
SCAL,"['1']",1
FUNC,"['f']",1
SCAL,"['n', '-', '1']",1
FUNC,"['k']",1
SCAL,"['0']",1
SCAL,"['0']",1
SCAL,"['\\frac', '{', '1', '}', '{', 'x', 'y', '}']",1
SCAL,"['1', '/', '1']",1
SCAL,"['(', '7', ')']",1
FUNC,"['f']",1
FUNC,"['f']",1
SCAL,"['(', '-', 'n', ')']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '-', '4', '}', '{', 'x', '-', '2', '}']",1
FUNC,"['f']",1
SCAL,"['4']",1
SCAL,"['1']",1
SCAL,"['\\frac', '{', '1', '}', '{', '2', '}']",1
FUNC,"['g']",1
SCAL,"['1']",1
SCAL,"['1', 'x', '+', '1', 'y', '+', 'z']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '{', '-', '1', '}']",1
SCAL,"['4']",1
SCAL,"['9']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', '2', 'x']",1
SCAL,"['1', 'x']",1
FUNC,"['\sin']",1
FUNC,"['f']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', '\\mathbb', 'R']",1
FUNC,"['g', ':', 'A', '\\to', 'A']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['6']",1
SCAL,"['1']",1
SCAL,"['1']",1
SCAL,"['3']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3']",1
FUNC,"['B', ':', '\\mathbb', 'Q', '\\to', '\\mathbb', 'R']",1
SCAL,"['-', '\\frac', '{', 'a', '}', '{', 'b', '}']",1
SCAL,"['\\frac', '{', '1', '}', '{', 'n', '}']",1
FUNC,"['A']",1
SCAL,"['f', '(', 'x', '/', 'y', ')', '-', 'f', '(', 'x', ')']",1
FUNC,"['g', '(', 'x', ')', '=', 'f', '(', 'x', ')']",1
FUNC,"['f', '(', 'x', ',', 'y', ')', '=', '0']",1
SCAL,"['1']",1
FUNC,"['f']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', '^', '{', 'x', '^', '2', '}', '+', 'e', '^', 'x', '(', 'x', '-', '5', ')']",1
FUNC,"['f']",1
SCAL,"['2']",1
SCAL,"['3']",1
SCAL,"['a', '(', 'n', ')']",1
SCAL,"['\\binom', '{', 'n', '}', '{', 'k', '}']",1
SCAL,"['\\frac', '{', 'z', '^', 'n', '}', '{', '1', '+', 'z', '^', '{', '2', 'n', '}', '}']",1
SCAL,"['\\dfrac', '{', 'p', 'q', '}', '{', 'r', '}', '+', '\\dfrac', '{', 'q', 'r', '}', '{', 'p', '}', '+', '\\dfrac', '{', 'p', 'r', '}', '{', 'q', '}']",1
SCAL,"['f', '(', 'x', ')']",1
SCAL,"['1']",1
FUNC,"['f', '(', 's', ')', '=', '4', 's', '^', '4', '-', '2', 's', '^', '2', '-', '4', 's', '+', '1']",1
SCAL,"['1']",1
FUNC,"['g']",1
SCAL,"['2']",1
SCAL,"['\\frac', '{', '1', '}', '{', '3', '}']",1
SCAL,"['5']",1
SCAL,"['1', '+', 'x']",1
SCAL,"['\\frac', '{', 'x', '^', '2', '(', 'x', '^', '2', '-', '1', ')', '}', '{', '(', 'x', '+', '4', ')', '^', '3', '}']",1
FUNC,"['f']",1
SCAL,"['n', '^', '2', '+', '4', 'n', '-', '8']",1
SCAL,"['\\frac', '{', 'a', '}', '{', 'b', '/', 'c', '}']",1
FUNC,"['f']",1
SCAL,"['g', '(', 'x', ')']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3']",1
SCAL,"['1']",1
SCAL,"['3']",1
FUNC,"['f']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'b', '^', 'x']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['F', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '-', 'z', '^', '2']",1
FUNC,"['f', '(', 'x', ')', '=', '2', '^', 'x']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']",1
SCAL,"['a', 'b']",1
FUNC,"['f', '(', 'x', ')', '=', '2', 'x', '^', '4', '-', '8', 'x', '^', '3', '-', '3', 'x', '^', '2', '+', '1', 'x', '-', '1']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['3']",1
SCAL,"['1']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '}', '{', '3', '}', 'x', '^', '3', '+', '\\frac', '{', '5', '}', '{', '3', '}', 'x', '^', '2', '+', 'a', 'x', '+', '2']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '2', '}', '{', '6', 'x', '^', '2', '}']",1
FUNC,"['a', '(', 'x', ')', '=', '2', 'x', '+', '2']",1
SCAL,"['f', '(', '1', ')']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '(', 'x', '-', '2', ')', '^', '2', '}', '{', '(', 'x', '^', '2', '-', '1', ')', '}']",1
SCAL,"['5']",1
SCAL,"['n', '-', '1']",1
SCAL,"['9']",1
SCAL,"['2']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['p', '(', 'a', ')', '=', '4']",1
FUNC,"['g']",1
SCAL,"['3']",1
FUNC,"['f', ':', '[', '1', ',', '1', ']', '\\rightarrow', '\\mathbb{C}']",1
FUNC,"['f']",1
SCAL,"['\\tfrac', '{', 'x', '}', '{', 'y', '}']",1
SCAL,"['9']",1
SCAL,"['2']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '(', '1', '/', 'x', ')']",1
FUNC,"['P', '(', 'x', ')', '=', 'a', '+', 'b', 'x', '+', 'c', 'x', '^', '2', '+', 'd', 'x', '^', '3']",1
FUNC,"['f']",1
FUNC,"['g']",1
SCAL,"['a', '+', 'b']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']",1
FUNC,"['f', '(', 'x', ')', '=', 'a', '^', 'x', '-', 'x', '-', '2']",1
SCAL,"['2', 'x', '-', '3']",1
SCAL,"['1']",1
SCAL,"['2', 'n', '-', '1']",1
FUNC,"['f']",1
SCAL,"['y', '+', '1']",1
SCAL,"['3']",1
SCAL,"['+', '9']",1
SCAL,"['\\frac', '{', 'n', '}', '{', 'm', '}']",1
SCAL,"['a', '^', '2']",1
SCAL,"['1', '0']",1
SCAL,"['1']",1
SCAL,"['4']",1
SCAL,"['g', '(', 'x', ')']",1
SCAL,"['4', '6']",1
SCAL,"['9']",1
FUNC,"['f']",1
SCAL,"['2']",1
FUNC,"['f', '(', 'x', ')', '=', '2', 'x', '+', '1']",1
FUNC,"['f']",1
FUNC,"['x']",1
FUNC,"['f', ':', '\\mathbb', 'N', '\\to', '\\mathbb', 'N']",1
FUNC,"['x']",1
SCAL,"['-', '1']",1
FUNC,"['y']",1
SCAL,"['x', '^', '3', '-', 'x']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '+', '\\frac', '{', '9', '}', '{', 'x', '}']",1
SCAL,"['1']",1
SCAL,"['2']",1
FUNC,"['f']",1
FUNC,"['f', ':', '\\{', '1', ',', '2', ',', '3', ',', '4', ',', '5', '\\}', '\\rightarrow', '\\{', '1', ',', '2', ',', '3', ',', '4', ',', '5', '\\}']",1
SCAL,"['n', '^', '2']",1
SCAL,"['6']",1
FUNC,"['f', '(', 'x', ')', '=', '(', 'x', '^', '2', '+', '1', ')', '^', '3', '(', '2', 'x', '+', '5', ')', '^', '2']",1
SCAL,"['1']",1
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
FUNC,"['f', '(', 'g', ',', 'x', ',', 'y', ')', '=', 'y', '^', '3', 'g', '^', '4', '+', '4', 'g', '^', '3', 'x', 'y', '^', '2', '+', '6', 'g', '^', '2', 'x', '^', '2', 'y', '+', '4', 'g', 'x', '^', '3']",1
FUNC,"['\exp']",1
SCAL,"['a', '/', '2']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '3', '-', '3', 'a', 'x', '^', '2', '+', '3', 'b', 'x', '-', '2']",1
SCAL,"['1']",1
SCAL,"['2', 'n', '+', '1']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2']",1
SCAL,"['0']",1
FUNC,"['f', '(', 'x', ')', '=', '6', '\\cdot', '^', 'x', '+', 'x']",1
SCAL,"['1', '^', '{', '1', '}', '-', '5', '^', '{', '1', '}']",1
FUNC,"['f']",1
SCAL,"['4']",1
SCAL,"['0']",1
SCAL,"['\\frac', '{', '2', '}', '{', '3', '}']",1
FUNC,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '-', 'e', '^', '{', '-', 'u', 'x', '}', '}', '{', 'u', '}']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '-', 'x', '^', '2']",1
SCAL,"['0']",1
SCAL,"['f', '(', 'x', ')']",1
SCAL,"['f', '(', 'x', ')']",1
FUNC,"['R']",1
SCAL,"['0']",1
SCAL,"['2']",1
SCAL,"['2']",1
SCAL,"['1']",1
SCAL,"['1']",1
SCAL,"['x', '+', 'y']",1
FUNC,"['f', '(', 'u', ')', '=', '3', 'u']",1
SCAL,"['1']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', '^', '{', 'x', '^', '2', '}']",1
FUNC,"['f']",1
SCAL,"['0']",1
FUNC,"['f']",1
SCAL,"['1']",1
SCAL,"['3', 'x']",1
SCAL,"['b', '/', '(', '1', '-', 'b', ')']",1
FUNC,"['f']",1
SCAL,"['2']",1
SCAL,"['5']",1
SCAL,"['4']",1
FUNC,"['g']",1
FUNC,"['f', '(', 'y', ')', '=', '\\frac', '{', 'y', '^', '3', '+', 'y', '^', '2', '+', 'y', '}', '{', 'y', '^', '4', '+', 'y', '^', '3', '+', 'y', '^', '2', '+', 'y', '+', '1', '}']",1
SCAL,"['9']",1
FUNC,"['f', '(', 'a', ',', 'b', ',', 'c', ')', '=', 'a', '^', '2', 'b', '+', 'b', '^', '2', 'c', '+', 'c', '^', '2', 'a']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']",1
FUNC,"['g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",1
SCAL,"['g', '(', 'y', ')']",1
SCAL,"['\\frac', '{', '1', '}', '{', '9', '}']",1
FUNC,"['f']",1
FUNC,"['f']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']",1
FUNC,"['\sin']",1
FUNC,"['k']",1
