mtype,tokens,type_tokens,label
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['g', ':', 'Y', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['P', '\\cap', 'H']","['set_expr', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['g', ',', 'h', ':', '\\mathbb{N}', '\\to', '\\mathbb{Z}']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
SET,"['C', '^', 'c']","['__ANON_0', 'CARET', '__ANON_1']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb', 'N', '\\to', '\\mathbb', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",1
SET,"['A', '\\cap', 'C']","['set_expr', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\{', '1', ',', '2', ',', 'a', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['h', ':', '\\mathbb{Z}', '\\to', 'M']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb', 'N', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['X', '\\times', 'Y']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\rightarrow', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', 'X', '\\to', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'H']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",1
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\to', '\\{', '1', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",1
FUNC,"['f', ':', '(', 'A', '\\times', 'B', ')', '\\times', 'C', '\\to', 'A', '\\times', '(', 'B', '\\times', 'C', ')']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_expr', 'L_PAREN', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'R_PAREN', 'sets__OP_CART', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'sets__OP_CART', 'set_expr', 'L_PAREN', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'R_PAREN']",1
SET,"['\\{', 'x', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['g', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'C', '\\times', 'C', '\\rightarrow', 'A', '\\cup', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0']",1
FUNC,"['f', ':', '\\varnothing', '\\to', '\\varnothing']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'TO', 'set_constant']",1
FUNC,"['r', '\\colon', 'C', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['c', ':', '\\mathbb', 'N', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['m', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\{', '\\}']","['explset', 'L_BRACE_LITERAL', 'R_BRACE_LITERAL']",1
FUNC,"['h', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['3', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",1
SET,\varnothing,set_constant,1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\{', 'a', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['f', '(', 'x', ')', '=', 'e', 'x', 'p', '(', '-', 'x', '/', '1', '0', ')', '+', 's', 'i', 'n', '(', 'x', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', '__ANON_1', '__ANON_1', 'group', 'L_PAREN', 'mp', 'unary', 'SUB', '__ANON_1', 'DIV', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN', 'ADD', 'unary', '__ANON_1', '__ANON_1', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']",1
SET,"['\\{', 'p', ',', 's', ',', 'r', ',', 'q', ',', 't', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['g', ':', 'B', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '(', 'x', ')', '=', 'x', '^', '2', '-', '3']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3']",1
FUNC,"['S', ':', 'D', '\\to', 'C']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['n', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",1
FUNC,"['h', ':', 'A', '\\cup', 'C', '\\to', 'B', '\\cup', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0', 'TO', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0']",1
SET,"['\\mathbb', 'T']","['SET_FAT', '__ANON_0']",1
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['r', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']",1
SET,"['(', '-', '1', ',', '1', ')']","['interval', 'L_PAREN', 'expr_atom', 'SUB', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_PAREN']",1
SET,"['\\{', '\\}']","['explset', 'L_BRACE_LITERAL', 'R_BRACE_LITERAL']",1
FUNC,"['j', ':', '\\mathbb{N}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\mathbb{R}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']",1
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['A', '\\times', 'B']","['set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0']",1
FUNC,"['j', ':', '\\mathbb{N}', '\\rightarrow', '[', '0', ',', '1', ']']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']",1
SET,"['A', '\\times', '(', 'B', '\\times', 'C', ')', '\\times', 'D']","['set_expr', '__ANON_0', 'sets__OP_CART', 'set_expr', 'L_PAREN', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'R_PAREN', 'sets__OP_CART', '__ANON_0']",1
FUNC,"['q', ':', 'F', '\\rightarrow', '\\mathbb', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",1
FUNC,"['g', ':', '\\mathbb', 'N', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '(', 'n', ')', '=', '2', 'n']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']",1
SET,"['A', '\\cup', '(', 'B', '\\times', 'C', ')']","['set_expr', '__ANON_0', 'sets__OP_UNION', 'set_expr', 'L_PAREN', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'R_PAREN']",1
FUNC,"['f', '\\colon', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', 'X', '\\cup', 'C', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['S', '^', 'R']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{N}', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb{Q}', '\\rightarrow', '\\{', '1', ',', '2', ',', '3', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",1
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\{', '2', ',', '3', ',', '5', ',', '6', ',', '9', ',', '1', '8', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE_LITERAL']",1
SCAL,"['\\dfrac', '{', 'a', '+', 'b', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']",1
FUNC,"['g', ':', '\\mathbb', 'N', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']",1
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",1
SET,"['[', '0', ',', '1', ']']","['interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '\\colon', '[', 'a', ',', 'b', ']', '\\rightarrow', '(', 'a', ',', 'b', ')']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_BRACKET', '__ANON_1', 'COMMA', '__ANON_1', 'R_BRACKET', 'TO', 'interval', 'L_PAREN', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN']",1
SET,"['\\mathbb', 'R', '^', '3']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']",1
FUNC,"['g', ':', 'Y', '\\times', 'Z', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['h', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']",1
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",1
SET,"['[', '0', ',', '1', ']']","['interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']",1
FUNC,"['g', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']",1
FUNC,"['f', '\\colon', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'B', '\\to', 'C']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ',', 'g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '\\mathbb{Z}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['g', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']",1
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['g', ':', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['\\{', 'x', '+', '\\{', 'y', '+', 'z', '\\}', '\\}']","['group', 'L_BRACE_LITERAL', 'additive', '__ANON_1', 'ADD', 'group', 'L_BRACE_LITERAL', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_BRACE_LITERAL', 'R_BRACE_LITERAL']",1
SET,"['(', 'c', ',', 'd', ')']","['interval', 'L_PAREN', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['2', '^', 'X']","['set_expr', '__ANON_3', 'CARET', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['x', '-', '2', 'y']","['additive', '__ANON_1', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']",1
SET,"['\\{', '1', ',', '2', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', '\\colon', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['r', '-', 'p']","['additive', '__ANON_1', 'SUB', '__ANON_1']",1
SET,\varnothing,set_constant,1
SET,\mathbb{N},"['set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SET,"['\\mathbb', 'R']","['SET_FAT', '__ANON_0']",1
SET,"['\\{', 'a', ',', 'b', ',', 'c', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",1
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\mathbb{Q}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",1
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
SCAL,"['(', '(', 'c', '+', 'n', ')', '^', '2', '+', 'c', '+', 'n', ')', '/', '2', '+', 'c', '+', 'n']","['additive', 'mp', 'group', 'L_PAREN', 'additive', 'additive', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', 'DIV', 'expr_atom', '__ANON_3', 'ADD', 'additive', '__ANON_1', 'ADD', '__ANON_1']",1
FUNC,"['f', ':', '\\mathbb{N}', '\\to', '\\{', '1', ',', '2', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",1
FUNC,"['f', ',', 'g', ':', 'X', '\\to', 'Y']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",1
FUNC,"['f', ':', 'Z', '\\times', 'Q', '\\rightarrow', 'N']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",1
