mtype,tokens,type_tokens,labels,labels_str
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\{', '0', ',', '1', ',', '2', ',', '3', ',', '4', ',', '5', ',', '6', ',', '7', ',', '8', ',', '9', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[0, 21]","['elementary-set-theory', 'cardinals']"
SCAL,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[0, 21]","['elementary-set-theory', 'cardinals']"
SET,"['2', '^', 'X']","['set_expr', '__ANON_3', 'CARET', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['F', '\\colon', 'A', '\\to', 'A']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0, 16]","['functions', 'elementary-set-theory', 'relations']"
FUNC,"['U', '\\colon', 'W', '\\to', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', '\\mathbb{N}', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['g', '\\colon', '\\mathbb{N}', '\\times', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\rightarrow', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['A', '^', 'B']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']",[0],['elementary-set-theory']
SET,"['\\{', '3', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[0, 21]","['elementary-set-theory', 'cardinals']"
SET,\mathbb{Z},"['set_constant', 'SET_BASIC']","[0, 16, 21]","['elementary-set-theory', 'relations', 'cardinals']"
FUNC,"['f', ':', '\\mathbb{Q}', '\\rightarrow', '\\{', '1', ',', '2', ',', '3', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', '\\colon', '\\mathbb{N}', '\\to', '\\{', '1', ',', '2', ',', '3', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['\\{', '0', '\\}']","['explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\mathbb', 'R', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['A', '^', 'B']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,\mathbb{R},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,\varnothing,set_constant,[0],['elementary-set-theory']
FUNC,"['g', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['g', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['X', '\\cup', 'Y']","['set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', 'X', '\\cup', 'Y', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', 'X', '\\cup', 'Y', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'S', '\\times', 'S', '\\to', 'S']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[0, 29]","['elementary-set-theory', 'definition']"
SET,"['A', '^', '2']","['set_expr', '__ANON_0', 'CARET', '__ANON_3']","[0, 29]","['elementary-set-theory', 'definition']"
SET,"['\\{', 'b', ',', 'a', ',', 'd', ',', 'c', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[0, 29]","['elementary-set-theory', 'definition']"
FUNC,"['f', ':', '\\mathbb{N}', '\\times', '\\mathbb{N}', '\\rightarrow', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'sets__OP_CART', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,"['\\{', 'x', ',', 'y', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[30, 0]","['combinatorics', 'elementary-set-theory']"
FUNC,"['f', '\\colon', 'X', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","[30, 0]","['combinatorics', 'elementary-set-theory']"
FUNC,"['f', '\\colon', 'X', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","[30, 0]","['combinatorics', 'elementary-set-theory']"
FUNC,"['f', ':', '(', '-', '1', ',', '1', ')', '\\rightarrow', '[', '-', '1', ',', '1', ']']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_PAREN', 'expr_atom', 'SUB', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_PAREN', 'TO', 'interval', 'L_BRACKET', 'expr_atom', 'SUB', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']","[32, 0]","['calculus', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb{R}', '\\to', 'K', '\\cup', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', '__ANON_0', 'sets__OP_UNION', 'set_constant', 'SET_BASIC']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['g', ':', '\\mathbb{R}', '\\to', 'K']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['g', ':', '\\mathbb', 'N', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
SET,"['\\mathbb', 'N']","['SET_FAT', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['f', '\\colon', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
SET,\mathbb{R},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', 'A', '\\to', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['s', ':', 'B', '\\rightarrow', 'E']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['\\{', 'x', ',', 'y', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', '(', '0', ',', '1', ')', '\\rightarrow', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_PAREN', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_PAREN', 'TO', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,"['A', '(', 'i', ')']","['__ANON_0', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']",[0],['elementary-set-theory']
SET,"['(', 'a', ',', 'b', ')']","['interval', 'L_PAREN', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN']","[24, 0]","['general-topology', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb', 'N', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', 'E', '\\to', 'F']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['h', '\\colon', 'A', '\\cup', 'B', '\\rightarrow', 'F']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['[', '0', ',', '1', ']']","['interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']","[24, 0]","['general-topology', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', '\\mathbb{N}', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', '\\mathbb{N}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SCAL,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 15]","['elementary-set-theory', 'notation']"
FUNC,"['f', ':', 'X', '\\to', '\\{', 'a', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'explset', 'L_BRACE_LITERAL', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\to', 'B']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","[8, 0]","['discrete-mathematics', 'elementary-set-theory']"
SET,\mathbb{Q},"['set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
SET,"['A', '\\cap', 'B']","['set_expr', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0']",[0],['elementary-set-theory']
SET,"['A', '\\cap', 'B', '\\cap', 'C']","['set_expr', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0', 'sets__OP_INTERSEC', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\{', '0', ',', '1', ',', '2', '\\}', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\{', '0', ',', '1', ',', '2', '\\}', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['g', ':', '\\mathbb{N}', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['f', ':', '\\{', '0', ',', '1', ',', '2', '\\}', '\\to', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SCAL,"['x', '-', 'y']","['additive', '__ANON_1', 'SUB', '__ANON_1']","[0, 41]","['elementary-set-theory', 'proof-writing']"
SCAL,"['y', '-', 'x']","['additive', '__ANON_1', 'SUB', '__ANON_1']","[0, 41]","['elementary-set-theory', 'proof-writing']"
FUNC,"['f', '\\colon', 'X', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['F', ':', '\\mathbb{N}', '\\to', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['s', '(', 'n', ')', '=', 'n', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",[0],['elementary-set-theory']
FUNC,"['F', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}', '\\times', '\\mathbb{N}']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'sets__OP_CART', 'set_constant', 'SET_BASIC']",[0],['elementary-set-theory']
FUNC,"['p', '(', 'x', ',', 'y', ')', '=', 'y']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']",[0],['elementary-set-theory']
FUNC,"['f', '\\colon', '[', 'a', ',', 'b', ']', '\\to', '[', '0', ',', '1', ']']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_BRACKET', '__ANON_1', 'COMMA', '__ANON_1', 'R_BRACKET', 'TO', 'interval', 'L_BRACKET', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']","[5, 0]","['functions', 'elementary-set-theory']"
SET,"['\\{', 'x', ',', 'y', ',', 'z', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[0, 15]","['elementary-set-theory', 'notation']"
FUNC,"['f', ':', '(', '0', ',', '1', ')', '\\rightarrow', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_PAREN', 'expr_atom', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_PAREN', 'TO', 'SET_FAT', '__ANON_0']","[24, 5, 0]","['general-topology', 'functions', 'elementary-set-theory']"
FUNC,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[0, 21]","['elementary-set-theory', 'cardinals']"
SET,"['\\mathbb', 'R']","['SET_FAT', '__ANON_0']","[0, 21]","['elementary-set-theory', 'cardinals']"
FUNC,"['f', ':', 'X', '\\rightarrow', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",[0],['elementary-set-theory']
SET,"['\\{', '1', ',', '1', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']",[0],['elementary-set-theory']
SET,"['\\mathbb', 'N', '^', 'O']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_0']",[0],['elementary-set-theory']
FUNC,"['F', '\\colon', 'R', '\\to', 'S']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[0, 15]","['elementary-set-theory', 'notation']"
FUNC,"['f', ',', 'g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","[5, 0]","['functions', 'elementary-set-theory']"
SET,\varnothing,set_constant,"[5, 0]","['functions', 'elementary-set-theory']"
FUNC,"['f', ':', 'A', '\\rightarrow', 'A']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,"['\\{', 'a', ',', 'b', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","[10, 0]","['real-analysis', 'elementary-set-theory']"
SET,\varnothing,set_constant,[0],['elementary-set-theory']
SCAL,"['1', '/', '2']","['mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3']","[0, 46]","['elementary-set-theory', 'decimal-expansion']"
