fid,mtype,exprstr,mention,tags
6327106306a69a3f488d7dab_f_0_2_0,FUNC,"\sin:\mathbb{R}\to [-1, 1]",,"['calculus', 'trigonometry', 'integration']"
6327106306a69a3f488d81c2_f_1_0_0,SCAL,\frac{dy}{dx},,"['trigonometry', 'ordinary-differential-equations', 'physics']"
6327106306a69a3f488d81c2_f_1_3_0,SCAL,\frac{d^2y}{dx^2},( 1st order derivative,"['trigonometry', 'ordinary-differential-equations', 'physics']"
6327106306a69a3f488d8282_f_3_1_0,SCAL,-\frac{h}{w},Its slope,"['geometry', 'trigonometry']"
6327106306a69a3f488d8282_f_3_4_0,SCAL,\frac{w}{h},the hypotenuse,"['geometry', 'trigonometry']"
6327106306a69a3f488d8282_f_3_17_0,SCAL,\frac{1}{2}wh,,"['geometry', 'trigonometry']"
6327106306a69a3f488d8282_f_5_0_0,SCAL,\frac{1}{2} w h,,"['geometry', 'trigonometry']"
6327106306a69a3f488d8282_f_5_1_0,SCAL,\frac{1}{2}s m,,"['geometry', 'trigonometry']"
6327106306a69a3f488d8478_f_2_11_0,SCAL,\frac{1}{2},,['trigonometry']
6327106306a69a3f488d8478_f_2_16_0,SCAL,\frac{4}{3},,['trigonometry']
6327106306a69a3f488d8613_f_1_3_0,SCAL,1 + \frac{b^2}{a^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']"
6327106306a69a3f488d8613_f_1_4_0,SCAL,\frac{a^2}{1+b^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']"
6327106306a69a3f488d8613_f_1_6_0,SCAL,\frac{a^2}{a^2+b^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']"
6327106306a69a3f488d8613_f_1_7_0,SCAL,\frac{1}{1+\frac{b^2}{a^2}},,"['calculus', 'integration', 'trigonometry', 'exponential-function']"
6327106306a69a3f488d8613_f_1_9_0,SCAL,\frac{a^2}{a^2+b^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']"
6327106306a69a3f488d8615_f_2_2_0,SCAL,\frac{1}{x},,"['calculus', 'algebra-precalculus', 'trigonometry']"
6327106306a69a3f488d877f_f_0_15_0,FUNC,\sin(x) = 1,,"['algebra-precalculus', 'trigonometry']"
6327106306a69a3f488d877f_f_0_16_0,FUNC,\cos(x) = 1,,"['algebra-precalculus', 'trigonometry']"
6327106306a69a3f488d877f_f_0_19_0,FUNC, \tan(x) = 1 ,,"['algebra-precalculus', 'trigonometry']"
6327106306a69a3f488d88de_f_2_5_0,SCAL,\frac{dy}{dx},,"['calculus', 'trigonometry']"
6327106306a69a3f488d88de_f_2_7_0,SCAL,\frac{dy}{dx},,"['calculus', 'trigonometry']"
6327106406a69a3f488d8bbe_f_1_3_0,SCAL,\frac{1}{2},f_1_2_0 sixths,['trigonometry']
6327106406a69a3f488d8c0d_f_1_3_0,SCAL,\frac{x}{2},,"['calculus', 'trigonometry']"
6327106406a69a3f488d8cf2_f_2_3_0,SCAL,0.51097342938856910952001397114508063204535889262375023988987953800752819385525987164073419474333797073844705378201625612601584766524335342369803019732463083576632594596747582089441042803074463769962092,,['trigonometry']
6327106406a69a3f488d8db6_f_1_26_0,SCAL,w/(2c)+o(1),,"['real-analysis', 'sequences-and-series', 'trigonometry', 'convergence-divergence']"
6327106406a69a3f488d8dcc_f_1_10_0,SET,\mathbb{R}^2,,"['trigonometry', 'logarithms']"
6327106406a69a3f488d8dcc_f_1_15_0,FUNC,z(t) = e^{it} z(0),unique solution   f_1_15_0,"['trigonometry', 'logarithms']"
6327106406a69a3f488d90b8_f_1_4_0,SCAL,0109170306 ,,"['algebra-precalculus', 'trigonometry']"
6327106406a69a3f488d91e1_f_1_14_0,SCAL,f^{-1}f^{3},composition,"['trigonometry', 'notation', 'faq']"
6327106406a69a3f488d91e1_f_1_18_0,FUNC,\sin \circ \sin,,"['trigonometry', 'notation', 'faq']"
6327106406a69a3f488d9277_f_1_2_0,SCAL,\frac{1}{a^3} y^3 + \frac{p}{a} y + q,,"['algebra-precalculus', 'trigonometry', 'polynomials']"
6327106406a69a3f488d92ff_f_3_12_0,SCAL,\frac{1}{2},,['trigonometry']
6327106406a69a3f488d92ff_f_3_13_0,SCAL,\frac{1}{4},,['trigonometry']
6327106406a69a3f488d92ff_f_6_31_0,SCAL,\frac{1}{2},,['trigonometry']
6327106406a69a3f488d92ff_f_6_33_0,SCAL,\frac{1}{2},,['trigonometry']
6327106406a69a3f488d92ff_f_6_41_0,SCAL,\frac{1}{2},,['trigonometry']
6327106406a69a3f488d92ff_f_6_54_0,SCAL,\frac{1}{2},the outputs,['trigonometry']
6327106406a69a3f488d933f_f_2_34_0,SCAL,x^3+x^2-6x-7,the polynomial,['trigonometry']
6327106406a69a3f488d946b_f_2_0_0,SCAL,1/7 \times 7,,"['trigonometry', 'calculator']"
6327106406a69a3f488d946b_f_4_1_0,SCAL,"2 x^{25} - 3 x^{24} - 5 x^{23} + 5 x^{22} - 3 x^{21} - 6 x^{20} + 7 x^{19} - 9 x^{18} + 17 x^{17}- 8 x^{16} - 12 x^{15} + 2 x^{14} + 12 x^{13} + 10 x^{12} + 3 x^{11} - 5 x^{10} + 7 x^{9}+ 20 x^{8} + 12 x^{7} - 29 x^{6} + 12 x^{5} + 29 x^{3} + 5 x^{2} - 3 x - 2",,"['trigonometry', 'calculator']"
6327106506a69a3f488d95a6_f_0_6_0,SCAL,\frac{1}{4},,"['calculus', 'integration', 'trigonometry']"
6327106506a69a3f488d95ed_f_1_5_0,FUNC,\sin(y) = 0,,['trigonometry']
6327106506a69a3f488d95ed_f_1_6_0,FUNC,\sin(y) = \frac{-1}{2},,['trigonometry']
6327106506a69a3f488d9601_f_1_0_0,FUNC,f(x) = x -tan(x),,['trigonometry']
6327106506a69a3f488d998d_f_3_3_0,FUNC,f(x)=g(x)-h(x),,['trigonometry']
6327106506a69a3f488d9a99_f_1_8_0,SCAL,\frac{1}{2},Your probability,"['probability', 'trigonometry']"
6327106506a69a3f488d9c63_f_3_6_0,SCAL,8 y^3+4 y^2-4 y-1,That polynomial,['trigonometry']
6327106506a69a3f488d9c63_f_4_3_0,FUNC,P(t) = t^3 + \frac{1}{2} t^2 - \frac{1}{2}t - \frac{1}{8},,['trigonometry']
6327106506a69a3f488d9ce9_f_4_14_0,SCAL,x^2 + x + 1,,"['abstract-algebra', 'trigonometry', 'polynomials']"
6327106506a69a3f488d9ce9_f_4_32_0,SCAL,x^3 - 3x + 1,a root,"['abstract-algebra', 'trigonometry', 'polynomials']"
6327106506a69a3f488d9d69_f_3_8_0,SCAL,x^{4}+x^{3}+x^{2}+x+1,,"['abstract-algebra', 'algebra-precalculus', 'trigonometry', 'polynomials', 'roots']"
6327106606a69a3f488da1cd_f_0_6_0,SCAL,-\frac{15}{8},,['trigonometry']
632f833d837ac920af66a1a1_f_1_0_0,FUNC,\sin(x) = \frac{e^{ix} - e^{-ix}}{2i},the identitiy,['trigonometry']
632f833d837ac920af66a1d9_f_0_2_0,FUNC,f(t) = sin(t),circular motion,"['calculus', 'trigonometry']"
632f833d837ac920af66a1d9_f_0_3_0,FUNC,v(t) = cos(t),,"['calculus', 'trigonometry']"
632f833d837ac920af66a1d9_f_0_4_0,FUNC,f(t) = cos(t),,"['calculus', 'trigonometry']"
632f833d837ac920af66a1d9_f_0_5_0,FUNC,v(t) = -sin(t),,"['calculus', 'trigonometry']"
6327106606a69a3f488da352_f_4_3_0,SCAL,\frac{1}{x},,"['trigonometry', 'calculator']"
632f833d837ac920af66a220_f_0_2_0,SCAL,\frac{0}{0},,"['trigonometry', 'limits-without-lhopital']"
632f833e837ac920af66a3f8_f_0_6_0,SCAL,\frac{5}{2},,['trigonometry']
6327106606a69a3f488da416_f_2_15_0,SCAL,(q+ri)(q-ri),,"['trigonometry', 'diophantine-equations', 'pi']"
6327106606a69a3f488da416_f_2_25_0,SCAL,(3-2i)^4 (1+i)^4,,"['trigonometry', 'diophantine-equations', 'pi']"
632f833e837ac920af66a5b6_f_0_1_0,SCAL,\frac{dy}{dx},,"['functions', 'trigonometry', 'derivatives']"
632f833e837ac920af66a5b6_f_0_5_0,SCAL,\frac{x}{2},,"['functions', 'trigonometry', 'derivatives']"
6327106606a69a3f488da4b5_f_2_25_0,FUNC,f(x) = x^6 - 24x^4 +80x^2 - 64,,"['analysis', 'trigonometry']"
6327106606a69a3f488da4bd_f_2_5_0,SCAL,\frac{1}{3},,['trigonometry']
6327106606a69a3f488da4bd_f_2_11_0,SCAL,\frac{1}{2},,['trigonometry']
632f833e837ac920af66a8f8_f_0_1_0,SCAL,\frac{0}{0},,"['limits', 'trigonometry']"
632f833f837ac920af66aa89_f_0_13_0,SET,\mathbb{R}^2,,"['real-analysis', 'trigonometry', 'algebraic-geometry', 'roots']"
632f833f837ac920af66ab1e_f_3_5_0,SCAL,\frac {df}{dg}\frac {dg}{dx},,"['calculus', 'functions', 'trigonometry', 'derivatives']"
632f833f837ac920af66ab1e_f_3_6_0,SCAL,\frac {df}{dg},true,"['calculus', 'functions', 'trigonometry', 'derivatives']"
632f833f837ac920af66ab33_f_0_24_0,SCAL,\frac{1}{2}y,,"['trigonometry', 'polynomials', 'complex-numbers', 'roots', 'roots-of-unity']"
632f833f837ac920af66ab33_f_0_26_0,SCAL,29y^3 + 27y^2 - 44y - 13,,"['trigonometry', 'polynomials', 'complex-numbers', 'roots', 'roots-of-unity']"
632f833f837ac920af66ab33_f_0_31_0,SCAL,8x^3 +  8x^2 -  2x -  1,,"['trigonometry', 'polynomials', 'complex-numbers', 'roots', 'roots-of-unity']"
632f833f837ac920af66ab33_f_0_41_0,SCAL,8x^3 +  8x^2 -  2x -  1,,"['trigonometry', 'polynomials', 'complex-numbers', 'roots', 'roots-of-unity']"
632f833f837ac920af66ab33_f_0_43_0,SCAL,z^6 + 2z^5 + 2z^4 + 3z^3 + 2z^2 + 2z + 1,,"['trigonometry', 'polynomials', 'complex-numbers', 'roots', 'roots-of-unity']"
632f833f837ac920af66acc4_f_3_19_0,SCAL, is the angle between the line connecting ,,['trigonometry']
632f833f837ac920af66acc4_f_3_20_0,SCAL, to the origin and the ,"( A , B",['trigonometry']
632f833f837ac920af66ad2c_f_1_13_0,SCAL,x^3+x^2-n+w,,"['trigonometry', 'roots', 'closed-form', 'roots-of-unity', 'cubics']"
6327106706a69a3f488daa10_f_1_1_0,SCAL,(3z-4)(4z+3),,"['algebra-precalculus', 'trigonometry']"
632f833f837ac920af66ae1e_f_2_0_0,SCAL, sec (x)^{3} ,,"['calculus', 'integration', 'trigonometry', 'indefinite-integrals']"
632f8340837ac920af66b193_f_2_0_0,FUNC,f(x)=e^{-ix},,"['trigonometry', 'complex-numbers', 'fourier-series']"
632f8340837ac920af66b290_f_0_6_0,FUNC,f(x)=\frac{tg^{-1}log\frac{x^2+2x}{x^2+9}}{arccos(\frac{x-1}{x-4})},Third example      f_0_6_0       f_0_7_0       f_0_8_0,"['functions', 'trigonometry']"
6327106706a69a3f488dabf6_f_1_3_0,SCAL,\frac{1}{2},one sine function,"['probability', 'trigonometry']"
6327106706a69a3f488daca6_f_0_10_0,SCAL,0001060759 ,,"['geometry', 'trigonometry']"
6327106706a69a3f488daca6_f_0_16_0,SCAL,0001060759 ,,"['geometry', 'trigonometry']"
6327106706a69a3f488daca6_f_0_36_0,SCAL,45999101.87 km,,"['geometry', 'trigonometry']"
6327106706a69a3f488dad3f_f_3_3_0,SET,\mathbb{R}^2,,"['trigonometry', 'ordinary-differential-equations']"
6327106706a69a3f488dad46_f_1_7_0,SCAL,-\dfrac{119}{169},,['trigonometry']
632f8340837ac920af66b656_f_0_2_0,SCAL,\frac {25744}{16384},,"['trigonometry', 'summation']"
6327106706a69a3f488dae72_f_3_0_0,SET,\mathbb{R}^2,,"['trigonometry', 'analytic-geometry']"
6327106706a69a3f488dae72_f_3_1_0,SET,\mathbb{R}^3,,"['trigonometry', 'analytic-geometry']"
632f8341837ac920af66b9a2_f_0_8_0,SCAL,\frac{dy}{dx},,"['calculus', 'trigonometry']"
632f8341837ac920af66b9a2_f_0_11_0,SCAL,\frac{dy}{dx},a point,"['calculus', 'trigonometry']"
632f8341837ac920af66b9a2_f_0_13_0,SCAL,\frac{dy}{dx},all the points,"['calculus', 'trigonometry']"
632f8341837ac920af66b9ab_f_1_3_0,SCAL,55936138949897200689844509841956235222126377325 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_4_0,SCAL,2082209926471466695895506312399091645554188710590 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_5_0,SCAL,49399208260228586110040380712822122163293326842296 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_7_0,SCAL,904097593617672391563622547821611243428330356636656 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_9_0,SCAL,14127632726315977701496334077804393041066245226028208 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_11_0,SCAL,192534883415138070802102412843131348551007666040509024 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_13_0,SCAL,2248032708977729589700543648210682328879792825038892288 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_15_0,SCAL,22010013756272539692699272127690186099540607721493676800 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_17_0,SCAL,177728824048935169179013735666882776433001119535910888192 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_19_0,SCAL,1170270214760621202108304618484485542592211842152325435904 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_21_0,SCAL,6226689208769791815298929222960276164825821302955689534464 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_22_0,SCAL,26437408929821178291367173439675032999610116594417230776320 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_23_0,SCAL,87275205150008062398776420803782617539547332212906935361536 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_24_0,SCAL,209632027731557385765045313738415590487122817707525011718144 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_25_0,SCAL,284829590179494874220555955086122649413365826411704845058048 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_26_0,SCAL,245738741392479529396402731465119601079938307163739661565952 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_27_0,SCAL,2744252632383133719563152613313766366008892259189754592296960 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_28_0,SCAL,9042239242455966498125021473251288480014205602523431668940800 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_29_0,SCAL,19642481348541153825949628077511851598796849639028033440972800 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_30_0,SCAL,31384454408136427453055038714389257858518560896664228069376000 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_31_0,SCAL,37847103175390150688294536889184184478935891337063789625344000 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_32_0,SCAL,34290036775233047407263179281808801381553538237009356390400000 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_33_0,SCAL,22732262960008031643227099738915285612779131750417374904320000 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_34_0,SCAL,10440433388762840105269721355193655567662001399784538112000000 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_35_0,SCAL,2974656530310569079556114222635017838466182586996359168000000 ,,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66b9ab_f_1_38_0,FUNC,G(x)=(1 + x - 4 x^2 - 3 x^3 + 3 x^4 + x^5)^2 + (x^2 - x)^2,the integrand 's denominator,"['calculus', 'trigonometry', 'definite-integrals', 'galois-theory', 'pi']"
632f8341837ac920af66ba0c_f_1_2_0,FUNC,f(x)=8x^3-6x-1,,"['algebra-precalculus', 'number-theory', 'trigonometry', 'rationality-testing']"
632f8342837ac920af66be2e_f_3_15_0,SCAL,"(-1)^{(k-1)/2}",,['trigonometry']
632f8342837ac920af66be2e_f_3_19_0,SCAL,"(-1)^{k/2}",,['trigonometry']
6327106706a69a3f488db153_f_3_0_0,SCAL,\frac{0}{0},,"['calculus', 'real-analysis', 'trigonometry', 'limits']"
6327106706a69a3f488db257_f_1_1_0,SCAL,\frac{b}{a},,"['trigonometry', 'complex-numbers']"
6327106706a69a3f488db257_f_1_4_0,SCAL,(1+2i)^{(3+4i)},,"['trigonometry', 'complex-numbers']"
632f8342837ac920af66c0f5_f_2_30_0,FUNC,\cos(x) = -1,,"['trigonometry', 'roots']"
632f8342837ac920af66c104_f_0_0_0,SET, \mathbb{R}^2 ,,"['calculus', 'trigonometry']"
6327106706a69a3f488db5b6_f_0_16_0,SCAL,\dfrac{1}{a},My question,['trigonometry']
632f8342837ac920af66c1be_f_1_5_0,SCAL,\frac{1}{4},,"['trigonometry', 'inequality']"
6327106706a69a3f488db5dd_f_3_37_0,SCAL,x^2+3xy+5y^2,,['trigonometry']
632f8343837ac920af66c5d9_f_2_34_0,SCAL,a^2+b^2-c^2,,['trigonometry']
632f8343837ac920af66c749_f_0_1_0,SCAL,\frac{1}{t}-\frac{t}{2},,['trigonometry']
632f8343837ac920af66c749_f_0_2_0,SCAL,\frac{t}{2}-\frac{1}{2t},,['trigonometry']
632f8343837ac920af66c749_f_0_3_0,SCAL,t-\frac{1}{2t},,['trigonometry']
632f8343837ac920af66c749_f_0_4_0,SCAL,t-\frac{1}{t},,['trigonometry']
632f8343837ac920af66c749_f_0_5_0,SCAL,t^2-\frac{2}{t^2},,['trigonometry']
632f8343837ac920af66c75e_f_1_1_0,FUNC,\cos(x) = \frac{e^{ix} + e^{-ix}}{2},example,"['trigonometry', 'summation', 'trigonometric-series']"
632f8343837ac920af66c7df_f_0_3_0,SCAL,00003819718 ,,['trigonometry']
632f8343837ac920af66c821_f_1_0_0,SET,\mathbb{R}^2,,"['geometry', 'trigonometry', 'triangles', 'education']"
632f8343837ac920af66c897_f_0_0_0,SCAL,\frac{1}{s},,"['calculus', 'trigonometry', 'derivatives', 'implicit-differentiation']"
6327106806a69a3f488db7dd_f_2_42_0,SCAL,\frac{1}{5},,"['calculus', 'trigonometry', 'limits']"
632f8343837ac920af66c897_f_0_2_0,SCAL,\frac{1}{s},this unit,"['calculus', 'trigonometry', 'derivatives', 'implicit-differentiation']"
6327106806a69a3f488db7fb_f_0_0_0,SCAL,10\times 10,,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_2_0,SCAL,100\times 100,the allowed area,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_3_0,SCAL,70\times 70,,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_4_0,SCAL,100\times 100,The allowed area,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_5_0,SCAL,70\times 70,,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_6_0,SCAL,70\times 70,,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_8_0,SCAL,200\times 300,,"['geometry', 'trigonometry']"
6327106806a69a3f488db7fb_f_0_10_0,SCAL,100\times 20,,"['geometry', 'trigonometry']"
632f8343837ac920af66c8e7_f_0_0_0,SCAL,n \times n ,,"['trigonometry', 'determinant']"
632f8343837ac920af66c92b_f_0_5_0,SCAL, -\frac{1}{m},,"['trigonometry', 'recreational-mathematics', 'linear-programming', 'quadratics']"
632f8344837ac920af66c9a7_f_0_1_0,FUNC, \cos(x) = 1 - \frac{x^2}{2} ,,"['limits', 'trigonometry', 'taylor-expansion', 'approximation']"
632f8344837ac920af66c9a7_f_0_2_0,FUNC, \sin(x) = x ,taylor expansion,"['limits', 'trigonometry', 'taylor-expansion', 'approximation']"
632f8344837ac920af66c9a7_f_0_3_0,FUNC, \exp(x) = 1 ,,"['limits', 'trigonometry', 'taylor-expansion', 'approximation']"
632f8344837ac920af66ca59_f_2_0_0,SCAL,\frac{1+5i}{-2+3i},,"['trigonometry', 'complex-numbers']"
632f8344837ac920af66ca59_f_3_1_0,SCAL,\frac{1}{6},the power,"['trigonometry', 'complex-numbers']"
632f8344837ac920af66cca2_f_0_2_0,SCAL, arctan(n!),,"['sequences-and-series', 'trigonometry', 'convergence-divergence', 'factorial']"
632f8344837ac920af66cec8_f_0_0_0,SCAL,sin^{-1}(sec^{2}x),,"['trigonometry', 'derivatives']"
632f8344837ac920af66cec9_f_3_10_0,FUNC,f(x)=(2x+1)^2,,"['integration', 'trigonometry']"
6327106806a69a3f488dbbe5_f_1_4_0,SCAL,\frac{m}{n},the width,['trigonometry']
6327106806a69a3f488dbbe5_f_1_12_0,SCAL,\frac{m}{n}y,,['trigonometry']
632f8345837ac920af66d044_f_0_0_0,SCAL,\frac {1}{6},a pie,['trigonometry']
