fid,mtype,exprstr,mention,tags
6327106306a69a3f488d8131_f_1_59_0,SCAL, followed by a copy of ,,"['elementary-set-theory', 'relations']"
6327106306a69a3f488d8131_f_1_60_0,SCAL, followed by a copy of ,,"['elementary-set-theory', 'relations']"
6327106306a69a3f488d8135_f_0_2_0,SCAL,(2\cdot p)+1,the form   f_0_2_0,"['elementary-set-theory', 'arithmetic', 'natural-numbers']"
6327106306a69a3f488d819b_f_0_22_0,SCAL,000101000100,example,['elementary-set-theory']
6327106306a69a3f488d819b_f_0_23_0,SCAL,1010101010101,,['elementary-set-theory']
6327106306a69a3f488d819b_f_2_4_0,SET,2^\mathbb{N},,['elementary-set-theory']
6327106306a69a3f488d819b_f_3_2_0,FUNC,f\colon A\to B,,['elementary-set-theory']
6327106306a69a3f488d819b_f_3_89_0,SET,"\{1,2,3,4,5\}",,['elementary-set-theory']
6327106306a69a3f488d81f1_f_2_2_0,SCAL,2-(1/(x-1/2)),,"['functions', 'elementary-set-theory']"
6327106306a69a3f488d8258_f_2_3_0,FUNC,f\colon\mathbb{R}\to\mathbb{R},an element,"['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d8258_f_2_5_0,SET,\mathbb{R}^\mathbb{R},,"['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d827e_f_0_2_0,SCAL,2^{\frac{n(n+1)}{2}},,"['elementary-set-theory', 'relations', 'cardinals']"
6327106306a69a3f488d827e_f_1_1_0,SET,\mathbb{Z} \times \mathbb{Z},,"['elementary-set-theory', 'relations', 'cardinals']"
6327106306a69a3f488d827e_f_1_3_0,SET,\mathbb{Z}\times\mathbb{Z},,"['elementary-set-theory', 'relations', 'cardinals']"
6327106306a69a3f488d82a4_f_2_10_0,SET,M\cap E\cap F,its four disjoint parts,['elementary-set-theory']
6327106306a69a3f488d82a4_f_2_11_0,SET,M\cap E^c\cap F,,['elementary-set-theory']
6327106306a69a3f488d82a4_f_2_12_0,SET,M\cap E\cap F^c,,['elementary-set-theory']
6327106306a69a3f488d82a4_f_2_13_0,SET,M\cap E^c\cap F^c,,['elementary-set-theory']
6327106306a69a3f488d839d_f_4_17_0,SCAL, agree with each of the decimal places of ,,"['real-analysis', 'elementary-set-theory', 'fake-proofs']"
6327106306a69a3f488d839d_f_4_18_0,SCAL, up to and including ,,"['real-analysis', 'elementary-set-theory', 'fake-proofs']"
6327106306a69a3f488d839d_f_4_20_0,SCAL, agree with the decimal places of ,f_4_17_0 b f_4_18_0 b_N f_4_19_0,"['real-analysis', 'elementary-set-theory', 'fake-proofs']"
6327106306a69a3f488d839d_f_4_23_0,SCAL,th decimal place is the first place where ,a f_4_21_0 a_N f_4_22_0,"['real-analysis', 'elementary-set-theory', 'fake-proofs']"
6327106306a69a3f488d839d_f_4_27_0,SCAL,the decimal place is greater than ,f_4_26_0 N f_4_27_0,"['real-analysis', 'elementary-set-theory', 'fake-proofs']"
6327106306a69a3f488d84e0_f_0_4_0,SET,(A\cup C)\cap(A^c\cup C),,['elementary-set-theory']
6327106306a69a3f488d84e0_f_1_0_0,SET,(A\cup C)\cap(A^c\cup C),,['elementary-set-theory']
6327106306a69a3f488d84e0_f_1_4_0,SET,C \cap (B \cup C),What,['elementary-set-theory']
6327106306a69a3f488d86a4_f_0_1_0,SET,\mathbb R^{2},,['elementary-set-theory']
6327106306a69a3f488d86a4_f_0_5_0,SET,\mathbb R^{2},,['elementary-set-theory']
6327106306a69a3f488d86a4_f_1_1_0,SET,\mathbb{Q}\times\mathbb{Q},,['elementary-set-theory']
6327106306a69a3f488d86a4_f_2_4_0,SET,\mathbb{R}^3,,['elementary-set-theory']
6327106306a69a3f488d86cb_f_0_2_0,FUNC,f\colon B\to A,,"['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d86cb_f_1_2_0,SET,\mathbb{N} \times \mathbb{N},P,"['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d86e6_f_1_19_0,SET,P(b\times b),,"['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d86e6_f_1_22_0,SET,P(b\times b),,"['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d875d_f_1_16_0,SCAL, where the set ,,['elementary-set-theory']
6327106306a69a3f488d875d_f_1_17_0,SCAL, is obtained by iterating the power set operation ,,['elementary-set-theory']
6327106306a69a3f488d875d_f_1_21_0,SCAL, at which a set ,\alpha f_1_21_0 t,['elementary-set-theory']
6327106306a69a3f488d875d_f_1_22_0,SCAL, appears is larger than any stage ,\alpha f_1_21_0 t,['elementary-set-theory']
6327106306a69a3f488d875d_f_1_23_0,SCAL, at which an element of ,,['elementary-set-theory']
6327106306a69a3f488d8800_f_2_9_0,SET,\varnothing,,['elementary-set-theory']
6327106306a69a3f488d8827_f_0_2_0,FUNC,f\colon A\to B,,"['functions', 'elementary-set-theory']"
6327106306a69a3f488d8827_f_0_3_0,FUNC,g\colon B\to C,,"['functions', 'elementary-set-theory']"
6327106306a69a3f488d8827_f_1_0_0,FUNC,f: A \to B ,,"['functions', 'elementary-set-theory']"
6327106306a69a3f488d882a_f_0_0_0,FUNC,f\colon X\to Y,,"['elementary-set-theory', 'fixed-point-theorems']"
6327106306a69a3f488d882a_f_0_1_0,FUNC,g\colon Y\to X,,"['elementary-set-theory', 'fixed-point-theorems']"
6327106306a69a3f488d8841_f_2_2_0,FUNC,f\colon Z\cup Y\to Y,,['elementary-set-theory']
6327106306a69a3f488d8941_f_0_8_0,SCAL,\frac{n!}{(n-k)!},,"['combinatorics', 'elementary-set-theory']"
6327106406a69a3f488d8a95_f_2_2_0,SCAL,(6x + (-6)x),,['elementary-set-theory']
6327106406a69a3f488d8c42_f_4_17_0,SET,A\times B\times C,fact,"['elementary-set-theory', 'definition']"
6327106406a69a3f488d8c42_f_4_20_0,SET,A\times B\times C,,"['elementary-set-theory', 'definition']"
6327106406a69a3f488d8c42_f_5_4_0,SET,"\{a,b,c,d\}",,"['elementary-set-theory', 'definition']"
6327106406a69a3f488d8d83_f_0_0_0,SET,\mathbb{N} \times \mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_0_1_0,SET,\mathbb{N} \times \mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_0_4_0,SET,\mathbb{N} \times \mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_0_5_0,SET,\mathbb{N} \times \mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_0_9_0,SCAL,2^{i}(2j + 1),the function,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_0_10_0,SCAL,p^{i}(pj + k),,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_1_0_0,SET,\mathbb{N}\times\mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_1_2_0,SET,\mathbb{N}\times\mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8d83_f_1_6_0,SET,\mathbb{N}\times\mathbb{N},,"['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8ed5_f_2_0_0,SET,\mathbb{R}^2,,"['linear-algebra', 'elementary-set-theory']"
6327106406a69a3f488d8ed5_f_2_2_0,SET,\mathbb{R}^2,,"['linear-algebra', 'elementary-set-theory']"
6327106406a69a3f488d8ed5_f_2_11_0,SET,\mathbb{R}^2,,"['linear-algebra', 'elementary-set-theory']"
6327106406a69a3f488d8f26_f_2_5_0,FUNC,f(x) = f(y),,"['functions', 'elementary-set-theory']"
6327106406a69a3f488d8fb2_f_2_3_0,FUNC,"f\colon [a,b] \to (a,b)",,"['calculus', 'elementary-set-theory']"
6327106406a69a3f488d90bb_f_0_0_0,SET,\mathbb{N}\times\mathbb{N},,['elementary-set-theory']
6327106406a69a3f488d90bb_f_0_2_0,SET,\mathbb{N}\times\mathbb{N},,['elementary-set-theory']
6327106406a69a3f488d90bb_f_0_7_0,SET,\mathbb{N}\times\mathbb{N},,['elementary-set-theory']
6327106406a69a3f488d90bb_f_1_2_0,SET,\mathbb{N} \times \mathbb{N},,['elementary-set-theory']
6327106406a69a3f488d91e5_f_2_1_0,FUNC,f(x) = x^{2},,['elementary-set-theory']
6327106406a69a3f488d9209_f_1_13_0,FUNC,h\colon Z\to Z,,"['elementary-set-theory', 'cardinals']"
6327106406a69a3f488d925e_f_1_8_0,SET,\mathbb{R}^2,,"['measure-theory', 'elementary-set-theory']"
6327106406a69a3f488d925e_f_3_21_0,SET,\mathbb{R}^2,,"['measure-theory', 'elementary-set-theory']"
6327106406a69a3f488d9412_f_2_12_0,FUNC,r\colon S\to A,,"['analysis', 'elementary-set-theory', 'puzzle', 'axiom-of-choice']"
6327106406a69a3f488d94ad_f_2_5_0,SET,\varnothing,,"['elementary-set-theory', 'axioms']"
6327106506a69a3f488d9797_f_3_0_0,SET, (R \cap S^c \cap T^c) \cup (R\cap S \cap T) \cup (R^c \cap S \cap T^c) \cup (R^c \cap S^c \cap T)  ,,['elementary-set-theory']
6327106506a69a3f488d9831_f_2_20_0,SCAL,\binom{n}{r},,"['combinatorics', 'elementary-set-theory', 'inclusion-exclusion']"
6327106506a69a3f488d997a_f_2_2_0,SET,\mathbb R \times \mathbb R,Cartesian product,"['graph-theory', 'functions', 'elementary-set-theory']"
6327106506a69a3f488d9a39_f_3_6_0,SET,A\cup (B\cap C),,['elementary-set-theory']
6327106506a69a3f488d9a73_f_1_6_0,FUNC,f\colon B\to B,,"['elementary-set-theory', 'axiom-of-choice']"
6327106506a69a3f488d9aaa_f_3_5_0,SCAL, or if you are talking of natural numbers less than ,,['elementary-set-theory']
6327106506a69a3f488d9aaa_f_3_6_0,SCAL, and not equal to ,,['elementary-set-theory']
6327106506a69a3f488d9aaa_f_3_7_0,SCAL, you will write it as ,,['elementary-set-theory']
6327106506a69a3f488d9aaa_f_3_9_0,SCAL, or if you are talking of integers less than ,,['elementary-set-theory']
6327106506a69a3f488d9aaa_f_3_10_0,SCAL, and not equal to ,,['elementary-set-theory']
6327106506a69a3f488d9aaa_f_3_11_0,SCAL, you will write it as ,,['elementary-set-theory']
6327106506a69a3f488d9aaa_f_3_14_0,SCAL, without specifying where ,,['elementary-set-theory']
632f834a837ac920af66f1c9_f_0_3_0,SCAL,\frac{n^2-n}{2},,"['elementary-set-theory', 'proof-verification', 'relations']"
632f834a837ac920af66f22f_f_0_0_0,SET, \mathbb N ^ 2 ,,"['real-analysis', 'elementary-set-theory', 'functional-equations']"
632f834a837ac920af66f22f_f_0_1_0,SET, \mathbb N ,,"['real-analysis', 'elementary-set-theory', 'functional-equations']"
632f834a837ac920af66f22f_f_0_2_0,SET, \mathbb N ,,"['real-analysis', 'elementary-set-theory', 'functional-equations']"
632f834a837ac920af66f22f_f_0_3_0,SET, \mathbb Q ,projection,"['real-analysis', 'elementary-set-theory', 'functional-equations']"
632f834a837ac920af66f22f_f_0_4_0,SET, \mathbb N ,,"['real-analysis', 'elementary-set-theory', 'functional-equations']"
6327106506a69a3f488d9ba3_f_1_4_0,FUNC,f \colon A \rightarrow B,any surjection   f_1_4_0,"['elementary-set-theory', 'axiom-of-choice']"
6327106506a69a3f488d9bb0_f_0_1_0,SET,\mathbb{R}^2,,['elementary-set-theory']
6327106506a69a3f488d9bb0_f_1_5_0,SET,\mathbb{N}^2,,['elementary-set-theory']
632f834a837ac920af66f34c_f_2_44_0,SCAL, such that ,,"['general-topology', 'elementary-set-theory', 'equivalence-relations', 'set-partition']"
632f834a837ac920af66f34c_f_2_49_0,SCAL, is the sum of the irrational ,,"['general-topology', 'elementary-set-theory', 'equivalence-relations', 'set-partition']"
632f834a837ac920af66f34c_f_2_50_0,SCAL, and the rational ,,"['general-topology', 'elementary-set-theory', 'equivalence-relations', 'set-partition']"
6327106506a69a3f488d9ca9_f_1_2_0,SET,\mathbb{R}^4,,"['elementary-set-theory', 'cardinals', 'number-systems']"
6327106506a69a3f488d9ca9_f_1_3_0,SET,\mathbb{R}^8,,"['elementary-set-theory', 'cardinals', 'number-systems']"
632f834a837ac920af66f42b_f_1_1_0,FUNC,g(n)=(f(n))(n)+k,,"['functions', 'elementary-set-theory', 'cardinals']"
632f834a837ac920af66f4e6_f_2_2_0,SET,\mathbb R^n,,"['general-topology', 'elementary-set-theory', 'proof-verification', 'proof-writing', 'alternative-proof']"
6327106506a69a3f488d9d72_f_0_31_0,FUNC,f(x) = f(y) ,,"['abstract-algebra', 'elementary-set-theory', 'relations', 'equivalence-relations']"
632f834b837ac920af66f752_f_0_11_0,SCAL,   is a function while ,,"['functions', 'elementary-set-theory']"
632f834b837ac920af66f891_f_0_2_0,SET,\mathbb{Z}\times\mathbb{Z},,['elementary-set-theory']
632f834b837ac920af66f891_f_0_3_0,SET,\mathbb{N}\times\mathbb{N},,['elementary-set-theory']
632f834b837ac920af66f891_f_1_4_0,SET,\mathbb{Z} \times \mathbb{Z},,['elementary-set-theory']
632f834b837ac920af66f891_f_2_9_0,SET,\mathbb{N}^2,,['elementary-set-theory']
632f834b837ac920af66f891_f_2_12_0,SET,\mathbb{Z}^2,,['elementary-set-theory']
632f834c837ac920af66fb72_f_0_0_0,FUNC,f : A \rightarrow B,the statement,"['elementary-set-theory', 'proof-verification', 'proof-writing']"
6327106506a69a3f488d9ea3_f_1_22_0,FUNC,g : B \to C,,"['functions', 'elementary-set-theory', 'computer-science', 'lambda-calculus']"
6327106506a69a3f488d9ea3_f_1_23_0,FUNC,h : A \to C,,"['functions', 'elementary-set-theory', 'computer-science', 'lambda-calculus']"
6327106506a69a3f488d9ea8_f_0_1_0,FUNC,f:E\rightarrow E,an infinite set and   f_0_1_0,['elementary-set-theory']
6327106506a69a3f488d9f11_f_1_2_0,SET,\mathbb N^\mathbb N,,"['elementary-set-theory', 'notation']"
6327106506a69a3f488d9fb9_f_1_6_0,FUNC,"f\colon A\to\{0,1\}",,['elementary-set-theory']
632f834c837ac920af66feb9_f_1_10_0,FUNC,f :\mathbb{R}^2 \to \mathbb{R},,"['discrete-mathematics', 'elementary-set-theory']"
632f834c837ac920af66feb9_f_1_14_0,SET,\mathbb{R}^2,,"['discrete-mathematics', 'elementary-set-theory']"
6327106506a69a3f488da01f_f_2_77_0,SET,(X\cup Y)\cup Z,same,['elementary-set-theory']
6327106506a69a3f488da01f_f_2_78_0,SET,X\cup(Y\cup Z),,['elementary-set-theory']
6327106506a69a3f488da01f_f_2_79_0,SET,X\cup Y\cup Z,,['elementary-set-theory']
6327106506a69a3f488da01f_f_2_81_0,SET,(X\cup Y)\cap Z,parenthesis,['elementary-set-theory']
6327106506a69a3f488da01f_f_2_82_0,SET,X\cup(Y\cap Z),necessarily the same thing,['elementary-set-theory']
6327106506a69a3f488da01f_f_2_83_0,SCAL,(2+3)\times 4,,['elementary-set-theory']
6327106506a69a3f488da01f_f_2_84_0,SCAL,2+(3\times 4),,['elementary-set-theory']
632f834c837ac920af670001_f_1_0_0,SCAL,\dfrac{a}{b},,['elementary-set-theory']
6327106606a69a3f488da116_f_1_22_0,FUNC,G:\mathbb{N}^3\rightarrow A^3,,['elementary-set-theory']
6327106606a69a3f488da116_f_1_24_0,SET,\mathbb{N}^3,,['elementary-set-theory']
6327106606a69a3f488da116_f_1_27_0,SET,\mathbb{N}^3,,['elementary-set-theory']
632f834d837ac920af6701b7_f_1_1_0,SET,"\{ 1,2,5 \}",,['elementary-set-theory']
632f834d837ac920af6701b7_f_1_2_0,SET,"\{ 2,3,4 \}",,['elementary-set-theory']
6327106606a69a3f488da116_f_2_12_0,SET,\mathbb{Z}\times \mathbb{Z},,['elementary-set-theory']
6327106606a69a3f488da116_f_3_1_0,FUNC,"f : \{0,1,2\} \to \mathbb{N}",,['elementary-set-theory']
6327106606a69a3f488da116_f_3_3_0,SCAL,2^{f(0)} 3^{f(1)} 5^{f(2)},,['elementary-set-theory']
6327106606a69a3f488da135_f_0_3_0,SCAL, \frac {1}{3},,['elementary-set-theory']
6327106606a69a3f488da135_f_0_4_0,SCAL, \frac {2}{3},,['elementary-set-theory']
6327106606a69a3f488da274_f_0_0_0,FUNC,F: A\rightarrow B,,['elementary-set-theory']
6327106606a69a3f488da274_f_0_2_0,SCAL, it follows that ,,['elementary-set-theory']
6327106606a69a3f488da274_f_0_6_0,SCAL, it follows that ,,['elementary-set-theory']
632f834d837ac920af670329_f_2_0_0,FUNC,f(x) = \dfrac{b-x}{b-a},,"['analysis', 'functions', 'elementary-set-theory']"
632f834d837ac920af67045f_f_1_1_0,FUNC,f(x)=\frac{1}{x},,"['general-topology', 'functions', 'elementary-set-theory', 'continuity']"
632f834d837ac920af6704eb_f_0_3_0,FUNC,"f:[0,1]\to(0,1)",,['elementary-set-theory']
6327106606a69a3f488da473_f_1_16_0,SCAL,2\times 2^n,,['elementary-set-theory']
632f834e837ac920af670867_f_2_7_0,FUNC,g:O\rightarrow \mathbb N,,['elementary-set-theory']
632f834e837ac920af67087d_f_1_9_0,SCAL,4xyz-6xz+6yz-6xy+9x-9y+3z,,"['elementary-set-theory', 'associativity']"
6327106606a69a3f488da53c_f_4_1_0,FUNC,F\colon A\to A,,"['elementary-set-theory', 'notation']"
6327106606a69a3f488da53c_f_4_44_0,FUNC,F\colon A\to A,,"['elementary-set-theory', 'notation']"
6327106606a69a3f488da547_f_1_1_0,SET,\varnothing,real numbers,"['functions', 'elementary-set-theory']"
6327106606a69a3f488da684_f_3_0_0,FUNC,f(x)=a+(x-a)^{-1},The link,"['real-analysis', 'elementary-set-theory']"
6327106606a69a3f488da684_f_3_1_0,FUNC,f(x)=a+b(x-a)^{-1},fact,"['real-analysis', 'elementary-set-theory']"
632f834e837ac920af670929_f_0_1_0,FUNC,f(x) = x^2 + x + 1,,"['functions', 'discrete-mathematics', 'elementary-set-theory']"
632f834e837ac920af670a2a_f_2_4_0,SET,\varnothing,the empty domain,['elementary-set-theory']
632f834e837ac920af670a5c_f_0_2_0,SCAL,\frac{1+i}{2},,"['geometry', 'elementary-set-theory', 'complex-numbers', 'modular-arithmetic']"
632f834e837ac920af670a5c_f_0_12_0,SET,"\{0,1,2,3\}",,"['geometry', 'elementary-set-theory', 'complex-numbers', 'modular-arithmetic']"
6327106606a69a3f488da807_f_1_1_0,SET,\varnothing,,"['elementary-set-theory', 'induction']"
6327106606a69a3f488da807_f_1_2_0,SET,\varnothing,,"['elementary-set-theory', 'induction']"
6327106606a69a3f488da807_f_1_3_0,SET,\varnothing,,"['elementary-set-theory', 'induction']"
6327106606a69a3f488da807_f_3_9_0,SET,\varnothing,,"['elementary-set-theory', 'induction']"
6327106606a69a3f488da840_f_1_0_0,SET,(A \cap B^c)\cup (B\cap A^c),,['elementary-set-theory']
632f834e837ac920af670c5f_f_0_1_0,SET,\mathbb{R}^2,,"['elementary-set-theory', 'real-numbers']"
6327106606a69a3f488da920_f_4_5_0,FUNC,f\colon X\to Y,,['elementary-set-theory']
6327106606a69a3f488da99f_f_0_5_0,SCAL, to get at ,,['elementary-set-theory']
632f834e837ac920af670d59_f_0_4_0,SET,(A \times B) \times (C \times D),,['elementary-set-theory']
632f834e837ac920af670d59_f_0_5_0,SET,(A \times B) \times (C \times D),the bigger cartesian product,['elementary-set-theory']
632f834e837ac920af670d59_f_0_6_0,SET,(A \times B),the smaller cartesian product,['elementary-set-theory']
632f834e837ac920af670d59_f_0_7_0,SET,(C \times D),,['elementary-set-theory']
632f834e837ac920af670d59_f_3_0_0,SET,(A\times B)\times(C\times D),,['elementary-set-theory']
632f834e837ac920af670d59_f_3_6_0,SET,(A\times B)\times (C\times D),,['elementary-set-theory']
632f834e837ac920af670d59_f_3_8_0,SET,((A\times B)\times(C \times D)),,['elementary-set-theory']
632f834e837ac920af670d59_f_3_9_0,SET,A \times B \times C \times D,,['elementary-set-theory']
632f834e837ac920af670d59_f_4_0_0,SET,(A\times B)\times(C\times D),,['elementary-set-theory']
6327106606a69a3f488da9c9_f_2_1_0,SET,"\{0,1,2,3\}",,"['elementary-set-theory', 'order-theory']"
632f834f837ac920af670dac_f_0_12_0,SET,(A\times B) \times (A \times B),,"['elementary-set-theory', 'relations']"
632f834f837ac920af670dac_f_0_18_0,SET,(A\times B) \times (A \times B),,"['elementary-set-theory', 'relations']"
632f834f837ac920af670dac_f_1_5_0,SET,(A\times B)\times(A\times B),,"['elementary-set-theory', 'relations']"
632f834f837ac920af670dac_f_2_8_0,SET,(A \times B) \times (A \times B),,"['elementary-set-theory', 'relations']"
6327106706a69a3f488daa49_f_0_9_0,SCAL,\frac{n-1}{2},,['elementary-set-theory']
6327106706a69a3f488daa49_f_0_10_0,SCAL,-\frac{n}{2},,['elementary-set-theory']
6327106706a69a3f488daa7d_f_4_1_0,SET,"\{ 0, 1, 2 \} ",,"['elementary-set-theory', 'order-theory', 'ordinals']"
632f834f837ac920af670fbe_f_0_9_0,FUNC,h(a) = g(f(a)),,"['functions', 'elementary-set-theory']"
632f834f837ac920af670fd6_f_0_11_0,FUNC,g(y)=sin(y)+x,the points,"['functions', 'elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_1_0,SET,\mathbb{N}^2,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_9_0,FUNC,"f:\{0,1\} \to \mathbb{N}",,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_19_0,SET,\mathbb{N}\times\mathbb{N},this bijection,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_27_0,SET,\mathbb{N}^I,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_37_0,SET,\mathbb{N}^2,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_38_0,SET,\mathbb{N}^I,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_1_41_0,SET,\mathbb{N}^I,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_2_3_0,SET,\mathbb N\times\mathbb N,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_2_17_0,SET,\mathbb N\times\mathbb N,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_2_18_0,SET,\mathbb N\times\mathbb N,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_2_22_0,SET,\mathbb N\times\mathbb N,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_2_28_0,SET,\mathbb N\times\mathbb N,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_3_8_0,SET,\mathbb{N}^2,,"['elementary-set-theory', 'cardinals']"
6327106706a69a3f488dabc8_f_3_12_0,SET,\mathbb{N}^2,,"['elementary-set-theory', 'cardinals']"
