fid,mtype,exprstr,mention,tags,tokens,type_tokens
63271c3806a69a3f488e4c2f_f_3_1_0,SCAL,f(x)^{g(x)},,"['functions', 'elementary-functions']","['f', '(', 'x', ')', '^', '{', 'g', '(', 'x', ')', '}']","['unary', '__ANON_1', 'exp', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'CARET', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'R_BRACE']"
632f907a837ac920af67f15b_f_1_2_0,FUNC,f(x) = f(y),,"['elementary-set-theory', 'elementary-functions']","['f', '(', 'x', ')', '=', 'f', '(', 'y', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']"
632f907a837ac920af67f15b_f_2_6_0,SCAL,f^{-1}(\{y\}),the sets,"['elementary-set-theory', 'elementary-functions']","['f', '^', '{', '-', '1', '}', '(', '\\{', 'y', '\\}', ')']","['unary', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'group', 'L_PAREN', 'group', 'L_BRACE_LITERAL', '__ANON_1', 'R_BRACE_LITERAL', 'R_PAREN']"
632fcd14837ac920af6da674_f_1_1_0,SCAL,(d)\times (e)\times (f),the last three equations,"['algebra-precalculus', 'systems-of-equations', 'contest-math', 'quadratics', 'elementary-functions']","['(', 'd', ')', '\\times', '(', 'e', ')', '\\times', '(', 'f', ')']","['mp', 'mp', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'CMD_TIMES', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'CMD_TIMES', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']"
632fcd14837ac920af6da674_f_1_3_0,SCAL,(d)\times (e),,"['algebra-precalculus', 'systems-of-equations', 'contest-math', 'quadratics', 'elementary-functions']","['(', 'd', ')', '\\times', '(', 'e', ')']","['mp', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'CMD_TIMES', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']"
63271c3e06a69a3f488e8c48_f_0_6_0,FUNC,"
f(x)=ax+\dfrac{b}{x^2}+c
",,"['calculus', 'education', 'elementary-functions']","['f', '(', 'x', ')', '=', 'a', 'x', '+', '\\dfrac', '{', 'b', '}', '{', 'x', '^', '2', '}', '+', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', '__ANON_1', 'ADD', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', '__ANON_1']"
632f971d837ac920af6867a9_f_1_7_0,SCAL,\frac{1}{x},general reciprocals,"['soft-question', 'intuition', 'definition', 'elementary-functions']","['\\frac', '{', '1', '}', '{', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
632f9d99837ac920af690189_f_0_0_0,FUNC,f(-1) = f(1),,"['algebra-precalculus', 'functions', 'elementary-functions']","['f', '(', '-', '1', ')', '=', 'f', '(', '1', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'SUB', '__ANON_3', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']"
632f9d9b837ac920af691136_f_0_3_0,FUNC,f(s)=as^{2}+bs+c,,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']","['f', '(', 's', ')', '=', 'a', 's', '^', '{', '2', '}', '+', 'b', 's', '+', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']"
632fcd1a837ac920af6dcf3c_f_0_10_0,FUNC,"f(x,y) = (x-y)^2",,"['calculus', 'derivatives', 'elementary-functions']","['f', '(', 'x', ',', 'y', ')', '=', '(', 'x', '-', 'y', ')', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3']"
632fcd1a837ac920af6dcf3c_f_0_11_0,FUNC,"f(x,y) = (y-x)^2",,"['calculus', 'derivatives', 'elementary-functions']","['f', '(', 'x', ',', 'y', ')', '=', '(', 'y', '-', 'x', ')', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3']"
632f9d9b837ac920af691136_f_2_3_0,FUNC,g(s) = f(s+1)-f(s),,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']","['g', '(', 's', ')', '=', 'f', '(', 's', '+', '1', ')', '-', 'f', '(', 's', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'SUB', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']"
632f9d9b837ac920af691136_f_2_5_0,FUNC,g(s) = (a(s+1)^2+b(s+1)+c)-(as^2+bs+c),,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']","['g', '(', 's', ')', '=', '(', 'a', '(', 's', '+', '1', ')', '^', '2', '+', 'b', '(', 's', '+', '1', ')', '+', 'c', ')', '-', '(', 'a', 's', '^', '2', '+', 'b', 's', '+', 'c', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'group', 'L_PAREN', 'additive', 'unary', '__ANON_1', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'ADD', '__ANON_1', 'R_PAREN', 'SUB', 'group', 'L_PAREN', 'additive', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN']"
632f9d9b837ac920af691136_f_2_14_0,FUNC,f(s)=as^2+bs+c,any polynomial,"['abstract-algebra', 'functions', 'integers', 'elementary-functions']","['f', '(', 's', ')', '=', 'a', 's', '^', '2', '+', 'b', 's', '+', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']"
632fcd1b837ac920af6dd1c2_f_1_17_0,FUNC,g(x) = x^2 ,,['elementary-functions'],"['g', '(', 'x', ')', '=', 'x', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']"
632f5f3e837ac920af6367bd_f_0_9_0,SET,\mathbb{C} ,,"['complex-analysis', 'proof-verification', 'elementary-functions']","['\\', 'm', 'a', 't', 'h', 'b', 'b', '{', 'C', '}']","['set_constant', 'SET_BASIC']"
632fcd22837ac920af6e001d_f_2_2_0,FUNC,f(x) = 3x^2+2,,"['general-topology', 'elementary-functions']","['f', '(', 'x', ')', '=', '3', 'x', '^', '2', '+', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3']"
632fcd22837ac920af6e02ac_f_1_0_0,FUNC,f(n) = n^{-512},,"['real-analysis', 'functions', 'polynomials', 'elementary-functions']","['f', '(', 'n', ')', '=', 'n', '^', '{', '-', '512', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE']"
632f9d9f837ac920af6929f2_f_0_0_0,SCAL,\frac{a^2+b^2}{2ab},,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']","['\\frac', '{', 'a', '^', '2', '+', 'b', '^', '2', '}', '{', '2', 'a', 'b', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', '__ANON_1', 'R_BRACE']"
632f9d9f837ac920af6929f2_f_0_3_0,SCAL,\frac{1+x^2}{2x},,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']","['\\frac', '{', '1', '+', 'x', '^', '2', '}', '{', '2', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
632f9d9f837ac920af6929f2_f_2_0_0,SCAL,\frac{x}{2}+\frac{1}{2x},your expression,"['algebra-precalculus', 'inequality', 'fractions', 'a.m.-g.m.-inequality', 'elementary-functions']","['\\frac', '{', 'x', '}', '{', '2', '}', '+', '\\frac', '{', '1', '}', '{', '2', 'x', '}']","['additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE']"
632f5f40837ac920af636f4f_f_2_4_0,SCAL,e^{\frac{1}{2}},convention,"['complex-analysis', 'complex-numbers', 'elementary-functions']","['e', '^', '{', '\\frac', '{', '1', '}', '{', '2', '}', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']"
632f5f40837ac920af636f4f_f_2_5_0,SCAL,exp{(\frac{1}{2})},,"['complex-analysis', 'complex-numbers', 'elementary-functions']","['e', 'x', 'p', '{', '(', '\\frac', '{', '1', '}', '{', '2', '}', ')', '}']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', 'group', 'L_BRACE', 'group', 'L_PAREN', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN', 'R_BRACE']"
632f5f40837ac920af636f4f_f_2_10_0,SCAL,z^{\frac{1}{2}},,"['complex-analysis', 'complex-numbers', 'elementary-functions']","['z', '^', '{', '\\frac', '{', '1', '}', '{', '2', '}', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']"
632fd3c2837ac920af6e3630_f_3_0_0,FUNC,f (x) = a^x,,"['real-analysis', 'limits-without-lhopital', 'elementary-functions']","['f', '(', 'x', ')', '=', 'a', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', '__ANON_1']"
632fd3c2837ac920af6e3630_f_3_4_0,FUNC,f (x) = a^x,,"['real-analysis', 'limits-without-lhopital', 'elementary-functions']","['f', '(', 'x', ')', '=', 'a', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', '__ANON_1']"
632f9da6837ac920af695954_f_1_2_0,SCAL,\frac{x}{y},,"['elementary-number-theory', 'elementary-functions']","['\\frac', '{', 'x', '}', '{', 'y', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
633004d0837ac920af73931d_f_1_0_0,FUNC,g(x) = x + 1,,"['functions', 'elementary-functions']","['g', '(', 'x', ')', '=', 'x', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']"
633004d0837ac920af73931d_f_1_7_0,FUNC,g(x) = x + 1,,"['functions', 'elementary-functions']","['g', '(', 'x', ')', '=', 'x', '+', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']"
632f9dab837ac920af697b4d_f_0_0_0,SCAL, \frac{a}{1+b} + \frac{b}{1+a} + (1-a)(1-b),,"['derivatives', 'inequality', 'optimization', 'elementary-functions', 'uvw']","['\\frac', '{', 'a', '}', '{', '1', '+', 'b', '}', '+', '\\frac', '{', 'b', '}', '{', '1', '+', 'a', '}', '+', '(', '1', '-', 'a', ')', '(', '1', '-', 'b', ')']","['additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1', 'R_BRACE', 'ADD', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1', 'R_BRACE', 'ADD', 'unary', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1', 'R_PAREN', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1', 'R_PAREN']"
632f9dab837ac920af697b4d_f_1_13_0,FUNC,g(a)=\frac{2a}{1+a}+(1-a)^2.,,"['derivatives', 'inequality', 'optimization', 'elementary-functions', 'uvw']","['g', '(', 'a', ')', '=', '\\frac', '{', '2', 'a', '}', '{', '1', '+', 'a', '}', '+', '(', '1', '-', 'a', ')', '^']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1', 'R_BRACE', 'ADD', 'exp', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1', 'R_PAREN', 'CARET', 'expr_atom', 'number']"
632f9dab837ac920af697b4d_f_2_18_0,SCAL, \dfrac{2 b}{(a+1)^3} ,,"['derivatives', 'inequality', 'optimization', 'elementary-functions', 'uvw']","['\\dfrac', '{', '2', 'b', '}', '{', '(', 'a', '+', '1', ')', '^', '3', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'L_BRACE', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
632f5f49837ac920af639f56_f_4_11_0,SCAL,\frac{a}{b},,"['elementary-functions', 'convention']","['\\frac', '{', 'a', '}', '{', 'b', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
632f5f49837ac920af63a0a7_f_0_8_0,SCAL, x^z - (1 - x)^z ,Edit2,"['exponentiation', 'elementary-functions']","['x', '^', 'z', '-', '(', '1', '-', 'x', ')', '^', 'z']","['additive', 'exp', '__ANON_1', 'CARET', '__ANON_1', 'SUB', 'exp', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1', 'R_PAREN', 'CARET', '__ANON_1']"
632f5f4a837ac920af63a7d5_f_0_3_0,SET,\mathbb R[x],,"['algebra-precalculus', 'elementary-functions']","['\\mathbb', 'R', '[', 'x', ']']","['SET_FAT', '__ANON_0', 'group', 'L_BRACKET', '__ANON_1', 'R_BRACKET']"
632f9daf837ac920af69984e_f_0_3_0,FUNC,"F(x,y,z)=x^2+y^2+z^2",,"['real-analysis', 'multivariable-calculus', 'elementary-functions']","['F', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '+', 'z', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']"
632f5f4a837ac920af63a7d5_f_1_4_0,SET,\mathbb R[x],,"['algebra-precalculus', 'elementary-functions']","['\\mathbb', 'R', '[', 'x', ']']","['SET_FAT', '__ANON_0', 'group', 'L_BRACKET', '__ANON_1', 'R_BRACKET']"
