fid,mtype,exprstr,mention,tags,tokens,type_tokens
6327106206a69a3f488d71b2_f_2_21_0,FUNC,f(7)=74.768,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '7', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_22_0,FUNC,f(8)=85.762,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '8', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_23_0,FUNC,f(9)=94.796,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '9', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_34_0,FUNC,f(1.5648)=10.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_35_0,FUNC,f(2.5407)=20.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_36_0,FUNC,f(3.40155)=30.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_37_0,FUNC,f(4.21135)=40.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_39_0,FUNC,f(5.7887)=60.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_40_0,FUNC,f(6.59845)=70.000,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_41_0,FUNC,f(7.4593)=80.000,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_42_0,FUNC,f(8.4352)=90.000,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'number', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_2_43_0,FUNC,f(10)=100.0,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['f', '(', '10', ')', '=']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN', 'EQUAL', 'expr_atom', 'number']"
6327106206a69a3f488d71b2_f_3_27_0,SCAL,2^{71} 5^4 7^2,,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['2', '^', '{', '71', '}', '5', '^', '47', '^', '2']","['unary', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3']"
6327106206a69a3f488d71b2_f_3_28_0,SET,"(0.0, 0.000000)",some data points,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['(', ',', ')']","['interval', 'L_PAREN', 'expr_atom', 'number', 'COMMA', 'expr_atom', 'number', 'R_PAREN']"
6327106206a69a3f488d71b2_f_3_29_0,SET,"(0.1, 0.312953)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['(', ',', ')']","['interval', 'L_PAREN', 'expr_atom', 'number', 'COMMA', 'expr_atom', 'number', 'R_PAREN']"
6327106206a69a3f488d71b2_f_3_30_0,SET,"(0.2, 0.508164)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['(', ',', ')']","['interval', 'L_PAREN', 'expr_atom', 'number', 'COMMA', 'expr_atom', 'number', 'R_PAREN']"
6327106206a69a3f488d71b2_f_3_31_0,SET,"(0.3, 0.680452)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['(', ',', ')']","['interval', 'L_PAREN', 'expr_atom', 'number', 'COMMA', 'expr_atom', 'number', 'R_PAREN']"
6327106206a69a3f488d71b2_f_3_32_0,SET,"(0.4, 0.842809)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['(', ',', ')']","['interval', 'L_PAREN', 'expr_atom', 'number', 'COMMA', 'expr_atom', 'number', 'R_PAREN']"
6327106206a69a3f488d71b2_f_3_33_0,SET,"(0.5, 1.001730)",,"['calculus', 'trigonometry', 'arithmetic', 'conic-sections']","['(', ',', ')']","['interval', 'L_PAREN', 'expr_atom', 'number', 'COMMA', 'expr_atom', 'number', 'R_PAREN']"
6327106206a69a3f488d727c_f_1_5_0,SCAL,(1-x^2)/(1+x^2),,['trigonometry'],"['(', '1', '-', 'x', '^', '2', ')', '/', '(', '1', '+', 'x', '^', '2', ')']","['mp', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'DIV', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN']"
6327106206a69a3f488d73f6_f_3_33_0,SCAL,\frac{2}{7},,"['geometry', 'trigonometry', 'analytic-geometry']","['\\frac', '{', '2', '}', '{', '7', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d7652_f_0_11_0,SCAL,\dfrac{1-x^{2}}{1-x^{2}y^{2}},,"['calculus', 'trigonometry', 'limits', 'transformation', 'multivariable-calculus']","['\\dfrac', '{', '1', '-', 'x', '^', '{', '2', '}', '}', '{', '1', '-', 'x', '^', '{', '2', '}', 'y', '^', '{', '2', '}', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']"
6327106206a69a3f488d7748_f_0_3_0,SCAL,\frac{1+t^2}{1-t^2},,"['calculus', 'trigonometry', 'integration']","['\\frac', '{', '1', '+', 't', '^', '2', '}', '{', '1', '-', 't', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d7797_f_1_7_0,FUNC,A\colon\mathbb{R}^2\to\mathbb{R}^2,,"['geometry', 'trigonometry', 'big-list', 'metric-spaces']","['A', '\\colon', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}', '^', '2']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106206a69a3f488d7797_f_2_0_0,SET,\mathbb{R}^2,,"['geometry', 'trigonometry', 'big-list', 'metric-spaces']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106206a69a3f488d7811_f_1_2_0,SCAL,\frac{a^2}{a^2+x^2},,"['trigonometry', 'integration']","['\\frac', '{', 'a', '^', '2', '}', '{', 'a', '^', '2', '+', 'x', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d7811_f_1_3_0,SCAL,\frac{1}{a^2+x^2},,"['trigonometry', 'integration']","['\\frac', '{', '1', '}', '{', 'a', '^', '2', '+', 'x', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d7931_f_2_6_0,SCAL,0.968946146259369,,"['calculus', 'trigonometry']",[],"['expr_atom', 'number']"
6327106206a69a3f488d793d_f_0_5_0,SCAL,1.0156683209925990818958162414 \cdots,,['trigonometry'],"['10156683209925990818958162414', '\\cdot', 's']","['mp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', 'CMD_CDOT', '__ANON_1']"
6327106206a69a3f488d79b3_f_2_35_0,SCAL,\frac{9}{4},,"['geometry', 'trigonometry']","['\\frac', '{', '9', '}', '{', '4', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106206a69a3f488d7aca_f_1_3_0,FUNC,f(n) = f(n+2),,"['number-theory', 'trigonometry']","['f', '(', 'n', ')', '=', 'f', '(', 'n', '+', '2', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN']"
6327106306a69a3f488d7dab_f_0_2_0,FUNC,"\sin:\mathbb{R}\to [-1, 1]",,"['calculus', 'trigonometry', 'integration']","['\\sin', ':', '\\mathbb{R}', '\\to', '[', '-', '1', ',', '1', ']']","['func_def', 'FUNC_NORMAL', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'interval', 'L_BRACKET', 'expr_atom', 'SUB', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']"
6327106306a69a3f488d81c2_f_1_0_0,SCAL,\frac{dy}{dx},,"['trigonometry', 'ordinary-differential-equations', 'physics']","['\\frac', '{', 'd', 'y', '}', '{', 'd', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE']"
6327106306a69a3f488d81c2_f_1_3_0,SCAL,\frac{d^2y}{dx^2},( 1st order derivative,"['trigonometry', 'ordinary-differential-equations', 'physics']","['\\frac', '{', 'd', '^', '2', 'y', '}', '{', 'd', 'x', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8282_f_3_1_0,SCAL,-\frac{h}{w},Its slope,"['geometry', 'trigonometry']","['-', '\\frac', '{', 'h', '}', '{', 'w', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
6327106306a69a3f488d8282_f_3_4_0,SCAL,\frac{w}{h},the hypotenuse,"['geometry', 'trigonometry']","['\\frac', '{', 'w', '}', '{', 'h', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
6327106306a69a3f488d8282_f_3_17_0,SCAL,\frac{1}{2}wh,,"['geometry', 'trigonometry']","['\\frac', '{', '1', '}', '{', '2', '}', 'w', 'h']","['unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', '__ANON_1', '__ANON_1']"
6327106306a69a3f488d8282_f_5_0_0,SCAL,\frac{1}{2} w h,,"['geometry', 'trigonometry']","['\\frac', '{', '1', '}', '{', '2', '}', 'w', 'h']","['unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', '__ANON_1', '__ANON_1']"
6327106306a69a3f488d8282_f_5_1_0,SCAL,\frac{1}{2}s m,,"['geometry', 'trigonometry']","['\\frac', '{', '1', '}', '{', '2', '}', 's', 'm']","['unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', '__ANON_1', '__ANON_1']"
6327106306a69a3f488d8478_f_2_11_0,SCAL,\frac{1}{2},,['trigonometry'],"['\\frac', '{', '1', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8478_f_2_16_0,SCAL,\frac{4}{3},,['trigonometry'],"['\\frac', '{', '4', '}', '{', '3', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8613_f_1_3_0,SCAL,1 + \frac{b^2}{a^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']","['1', '+', '\\frac', '{', 'b', '^', '2', '}', '{', 'a', '^', '2', '}']","['additive', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8613_f_1_4_0,SCAL,\frac{a^2}{1+b^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']","['\\frac', '{', 'a', '^', '2', '}', '{', '1', '+', 'b', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8613_f_1_6_0,SCAL,\frac{a^2}{a^2+b^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']","['\\frac', '{', 'a', '^', '2', '}', '{', 'a', '^', '2', '+', 'b', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8613_f_1_7_0,SCAL,\frac{1}{1+\frac{b^2}{a^2}},,"['calculus', 'integration', 'trigonometry', 'exponential-function']","['\\frac', '{', '1', '}', '{', '1', '+', '\\frac', '{', 'b', '^', '2', '}', '{', 'a', '^', '2', '}', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']"
6327106306a69a3f488d8613_f_1_9_0,SCAL,\frac{a^2}{a^2+b^2},,"['calculus', 'integration', 'trigonometry', 'exponential-function']","['\\frac', '{', 'a', '^', '2', '}', '{', 'a', '^', '2', '+', 'b', '^', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d8615_f_2_2_0,SCAL,\frac{1}{x},,"['calculus', 'algebra-precalculus', 'trigonometry']","['\\frac', '{', '1', '}', '{', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
6327106306a69a3f488d877f_f_0_15_0,FUNC,\sin(x) = 1,,"['algebra-precalculus', 'trigonometry']","['\\sin', '(', 'x', ')', '=', '1']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']"
6327106306a69a3f488d877f_f_0_16_0,FUNC,\cos(x) = 1,,"['algebra-precalculus', 'trigonometry']","['\\cos', '(', 'x', ')', '=', '1']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']"
6327106306a69a3f488d877f_f_0_19_0,FUNC, \tan(x) = 1 ,,"['algebra-precalculus', 'trigonometry']","['\\tan', '(', 'x', ')', '=', '1']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']"
6327106306a69a3f488d88de_f_2_5_0,SCAL,\frac{dy}{dx},,"['calculus', 'trigonometry']","['\\frac', '{', 'd', 'y', '}', '{', 'd', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE']"
6327106306a69a3f488d88de_f_2_7_0,SCAL,\frac{dy}{dx},,"['calculus', 'trigonometry']","['\\frac', '{', 'd', 'y', '}', '{', 'd', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE']"
6327106406a69a3f488d8bbe_f_1_3_0,SCAL,\frac{1}{2},f_1_2_0 sixths,['trigonometry'],"['\\frac', '{', '1', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106406a69a3f488d8c0d_f_1_3_0,SCAL,\frac{x}{2},,"['calculus', 'trigonometry']","['\\frac', '{', 'x', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106406a69a3f488d8cf2_f_2_3_0,SCAL,0.51097342938856910952001397114508063204535889262375023988987953800752819385525987164073419474333797073844705378201625612601584766524335342369803019732463083576632594596747582089441042803074463769962092,,['trigonometry'],COULD NOT TRANSFORM,COULD NOT TRANSFORM
6327106406a69a3f488d8db6_f_1_26_0,SCAL,w/(2c)+o(1),,"['real-analysis', 'sequences-and-series', 'trigonometry', 'convergence-divergence']","['w', '/', '(', '2', 'c', ')', '+', 'o', '(', '1', ')']","['additive', 'mp', '__ANON_1', 'DIV', 'group', 'L_PAREN', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_PAREN', 'ADD', 'unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']"
