fid,mtype,exprstr,mention,tags
6327106206a69a3f488d7528_f_3_4_0,SCAL,(n+1)^3 + (n+2)^3 + (n+3)^3,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_8_0,SCAL,[(n+1)^3 + (n+2)^3 + (n+3)^3] -[n^3 + (n+1)^3 + (n+2)^3],,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_9_0,SCAL,9n^2+27n+27,,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_3_10_0,SCAL,9(n^2+3n+3),,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7528_f_4_0_0,SCAL,(n-1)^3+n^3+(n+1)^3,a symmetric fashion,"['algebra-precalculus', 'elementary-number-theory', 'induction', 'divisibility']"
6327106206a69a3f488d7540_f_1_10_0,SCAL,\frac{k}{100},,['algebra-precalculus']
6327106206a69a3f488d759d_f_3_2_0,SCAL,\frac{r}{a},,"['algebra-precalculus', 'exponentiation', 'roots']"
6327106206a69a3f488d75cd_f_1_16_0,SCAL,5u - i + 2u,,"['algebra-precalculus', 'inequality']"
6327106206a69a3f488d760f_f_0_1_0,SCAL, (z - 6/2)^2 -36/4 + 25 ,,"['algebra-precalculus', 'complex-numbers']"
6327106206a69a3f488d760f_f_0_2_0,SCAL, (z - 3)^2 -9 + 25 ,,"['algebra-precalculus', 'complex-numbers']"
6327106206a69a3f488d760f_f_0_3_0,SCAL, (z - 3)^2 + 16 ,,"['algebra-precalculus', 'complex-numbers']"
6327106206a69a3f488d760f_f_3_1_0,SCAL,(z - 3)^2 + 16,,"['algebra-precalculus', 'complex-numbers']"
6327106206a69a3f488d762c_f_2_1_0,SCAL,3a^{2}-9a+6,,['algebra-precalculus']
6327106206a69a3f488d762c_f_3_0_0,SCAL, 3a^{2}-9a+6 ,,['algebra-precalculus']
6327106206a69a3f488d7645_f_7_14_0,SCAL,n \times n + 1,,"['algebra-precalculus', 'summation', 'binomial-coefficients']"
6327106206a69a3f488d7645_f_10_3_0,SCAL,\frac{1}{2},,"['algebra-precalculus', 'summation', 'binomial-coefficients']"
6327106206a69a3f488d7645_f_10_10_0,FUNC,A(x) = \frac{x}{(1 - x)^2},this case,"['algebra-precalculus', 'summation', 'binomial-coefficients']"
6327106206a69a3f488d764b_f_2_0_0,SCAL,\frac{n!}{n!},,"['algebra-precalculus', 'binomial-coefficients']"
6327106206a69a3f488d764b_f_5_18_0,SCAL,(2n-1)(2)(2n-3)(2)\cdots(1)(2),,"['algebra-precalculus', 'binomial-coefficients']"
6327106206a69a3f488d764b_f_5_24_0,SCAL,(n)(n-1)\cdots(1),freedom,"['algebra-precalculus', 'binomial-coefficients']"
6327106206a69a3f488d7666_f_0_1_0,SCAL,\frac {15}{2} ,,"['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d7666_f_2_3_0,SCAL,y^k + (-y)^k,,"['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d76a0_f_0_1_0,SCAL,x + \frac{1}{x},,"['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d76a0_f_0_2_0,SCAL,(x-2) (2x - 1) (1 + 3x + x^2),,"['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d76a0_f_1_0_0,SCAL,x + \frac{1}{x},,"['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d76b5_f_0_1_0,SET,"\{1,2,3,4,5,6,7\}",,"['algebra-precalculus', 'elementary-set-theory']"
6327106206a69a3f488d76c3_f_0_0_0,SET,\mathbb C^n,,"['linear-algebra', 'geometry', 'algebra-precalculus']"
6327106206a69a3f488d76c3_f_1_0_0,SET,\mathbb{R}^2,,"['linear-algebra', 'geometry', 'algebra-precalculus']"
6327106206a69a3f488d76ef_f_1_5_0,FUNC,f(x) = f(y),,['algebra-precalculus']
6327106206a69a3f488d7726_f_4_0_0,SCAL,\frac{1}{x^{2}},,['algebra-precalculus']
6327106206a69a3f488d7726_f_4_2_0,SCAL,\frac{1}{x^{2}},finite,['algebra-precalculus']
6327106206a69a3f488d78ca_f_1_9_0,SCAL,\binom{n+r-1}{r},replacement,"['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d78ca_f_1_61_0,SCAL,\binom{n+r-1}{r},repetition,"['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d78ce_f_3_7_0,SCAL,\frac{1}{2},the result,"['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d78e7_f_1_14_0,SCAL,-(x\cdot y),,"['abstract-algebra', 'algebra-precalculus', 'arithmetic', 'education', 'faq']"
6327106206a69a3f488d78e7_f_1_16_0,SCAL,(-x)\cdot y,,"['abstract-algebra', 'algebra-precalculus', 'arithmetic', 'education', 'faq']"
6327106206a69a3f488d78e7_f_5_5_0,SCAL,(-3) \cdot (-40),,"['abstract-algebra', 'algebra-precalculus', 'arithmetic', 'education', 'faq']"
6327106206a69a3f488d78ee_f_4_2_0,FUNC,f(x)=f(x-a)+f(x-b)-f(x+a+b),,"['calculus', 'algebra-precalculus', 'big-list']"
6327106206a69a3f488d79da_f_2_0_0,SCAL,(a-y-qt)(b-x-rt),two things,['algebra-precalculus']
6327106206a69a3f488d79da_f_2_1_0,SCAL,(d-y-qt)(c-x-rt),,['algebra-precalculus']
6327106206a69a3f488d79da_f_2_6_0,SCAL,ab - ax - a(rt) - by + xy + (rt)y - b(qt) + x(qt) + (qt)(rt),straight form      f_2_6_0       f_2_7_0      hr,['algebra-precalculus']
6327106206a69a3f488d79da_f_2_7_0,SCAL,dc - dx - d(rt) - cy + xy + (rt)y - c(qt) + x(qt) + (qt)(rt),,['algebra-precalculus']
6327106206a69a3f488d79f2_f_0_1_0,SCAL, f^{-1}(x) ,the inverse function   f_0_1_0,"['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_1_0_0,FUNC,f(x) = f(y),,"['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_1_5_0,FUNC,f(x) = f(y),,"['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_2_82_0,FUNC,f\colon X\to Y,,"['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d7a36_f_0_0_0,FUNC,g(x) =\frac{3-5x}{5-x},,['algebra-precalculus']
6327106206a69a3f488d7a36_f_2_0_0,FUNC,f(x) = x + 3,,['algebra-precalculus']
6327106206a69a3f488d7a36_f_2_3_0,FUNC,f(x) = 7x - 2,,['algebra-precalculus']
6327106206a69a3f488d7a36_f_2_4_0,FUNC,f(x) = \frac{3}{x},,['algebra-precalculus']
6327106206a69a3f488d7a85_f_2_9_0,SCAL,\frac{p}{q},,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_2_22_0,FUNC,p(x) = x^2-7x+10,,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_2_53_0,FUNC,q(x)=x^4+x^3-120x^2-121x-121,,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_2_54_0,FUNC,q(x) = p(x)r(x),a   product,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_11_18_0,SET,"\{1, 5, 10, 25, 100, 200\}",values,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_11_19_0,FUNC,c(x) = x^1 + x^5 + x^{10} + x^{25} + x^{100} + x^{200},the polynomial,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_11_24_0,SCAL,"x^5 + 5 x^9 + 10 x^{13} + 5 x^{14} + 10 x^{17} + 20 x^{18} + 5 x^{21} + 
 30 x^{22} + 10 x^{23} + x^{25} + 20 x^{26} + 30 x^{27} + 5 x^{29} + 5 x^{30} + 
 30 x^{31} + 10 x^{32} + 20 x^{33} + 10 x^{35} + 20 x^{36} + 30 x^{37} + 
 20 x^{38} + 10 x^{40} + 25 x^{41} + 60 x^{42} + 10 x^{45} + 60 x^{46} + 
 30 x^{47} + 21 x^{50} + 60 x^{51} + 10 x^{53} + 30 x^{55} + 20 x^{56} + 
 30 x^{57} + 20 x^{60} + 30 x^{61} + 30 x^{62} + 15 x^{65} + 60 x^{66} + 
 30 x^{70} + 30 x^{71} + 30 x^{75} + 10 x^{77} + 10 x^{80} + 20 x^{81} + 
 10 x^{85} + 20 x^{86} + 20 x^{90} + 10 x^{95} + 5 x^{101} + 5 x^{104} + 
 5 x^{105} + 20 x^{108} + 5 x^{110} + 30 x^{112} + 20 x^{113} + 20 x^{116} + 
 60 x^{117} + 5 x^{120} + 60 x^{121} + 30 x^{122} + 21 x^{125} + 60 x^{126} + 
 20 x^{128} + 30 x^{130} + 20 x^{131} + 60 x^{132} + 20 x^{135} + 60 x^{136} + 
 60 x^{137} + 25 x^{140} + 120 x^{141} + 60 x^{145} + 60 x^{146} + 60 x^{150} + 
 30 x^{152} + 20 x^{155} + 60 x^{156} + 30 x^{160} + 60 x^{161} + 60 x^{165} + 
 30 x^{170} + 20 x^{176} + 20 x^{180} + 20 x^{185} + 5 x^{200} + 10 x^{203} + 
 5 x^{204} + 30 x^{207} + 20 x^{208} + 30 x^{211} + 60 x^{212} + 20 x^{213} + 
 10 x^{215} + 80 x^{216} + 60 x^{217} + 35 x^{220} + 90 x^{221} + 30 x^{222} + 
 50 x^{225} + 60 x^{226} + 30 x^{227} + 20 x^{228} + 40 x^{230} + 80 x^{231} + 
 60 x^{232} + 50 x^{235} + 120 x^{236} + 60 x^{237} + 85 x^{240} + 120 x^{241} + 
 90 x^{245} + 60 x^{246} + 60 x^{250} + 30 x^{251} + 30 x^{252} + 50 x^{255} + 
 60 x^{256} + 60 x^{260} + 60 x^{261} + 60 x^{265} + 30 x^{270} + 10 x^{275} + 
 20 x^{276} + 20 x^{280} + 20 x^{285} + 5 x^{300} + 10 x^{302} + 20 x^{303} + 
 20 x^{306} + 60 x^{307} + 10 x^{310} + 80 x^{311} + 60 x^{312} + 40 x^{315} + 
 120 x^{316} + 70 x^{320} + 60 x^{321} + 60 x^{325} + 20 x^{326} + 60 x^{327} + 
 40 x^{330} + 120 x^{331} + 80 x^{335} + 120 x^{336} + 120 x^{340} + 60 x^{345} + 
 10 x^{350} + 60 x^{351} + 60 x^{355} + 60 x^{360} + 20 x^{375} + 5 x^{401} + 
 30 x^{402} + 10 x^{403} + 5 x^{405} + 60 x^{406} + 30 x^{407} + 35 x^{410} + 
 90 x^{411} + 30 x^{412} + 70 x^{415} + 60 x^{416} + 60 x^{420} + 30 x^{421} + 
 35 x^{425} + 60 x^{426} + 30 x^{427} + 70 x^{430} + 60 x^{431} + 90 x^{435} + 
 60 x^{436} + 60 x^{440} + 30 x^{445} + 30 x^{450} + 30 x^{451} + 30 x^{455} + 
 30 x^{460} + 10 x^{475} + x^{500} + 20 x^{501} + 30 x^{502} + 20 x^505 + 
 60 x^{506} + 50 x^{510} + 60 x^{511} + 60 x^{515} + 30 x^{520} + 20 x^{525} + 
 60 x^{526} + 60 x^{530} + 60 x^{535} + 30 x^{550} + 5 x^{600} + 30 x^{601} + 
 10 x^{602} + 30 x^{605} + 20 x^{606} + 40 x^{610} + 20 x^{611} + 20 x^{615} + 
 10 x^{620} + 30 x^{625} + 20 x^{626} + 20 x^{630} + 20 x^{635} + 10 x^{650} + 
 10 x^{700} + 20 x^{701} + 20 x^{705} + 20 x^{710} + 20 x^{725} + 10 x^{800} + 
 5 x^{801} + 5 x^{805} + 5 x^{810} + 5 x^{825} + 5 x^{900} + x^{1000}",,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_12_6_0,SCAL,x +3x^2y + 2 z^{10} x,several variables,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_12_11_0,SCAL,x^2 + 0x + 2,,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_12_12_0,SCAL,f(x) + g(y) + h(z),,"['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7aaf_f_0_1_0,SET,"\{ 70,75,80,85 \}",,"['sequences-and-series', 'algebra-precalculus']"
6327106206a69a3f488d7aaf_f_0_3_0,SET,"\{212,221,241,242 \}",,"['sequences-and-series', 'algebra-precalculus']"
6327106206a69a3f488d7aaf_f_3_3_0,FUNC,a(n) = n^{3} + 3n^{2} + 3n - 3,,"['sequences-and-series', 'algebra-precalculus']"
6327106206a69a3f488d7ac8_f_1_10_0,SCAL,b^{n-1} \times (a-b),possible ways,['algebra-precalculus']
6327106206a69a3f488d7ac8_f_1_19_0,SCAL,b^{n-2} \times (a-b) \times a,possible ways,['algebra-precalculus']
6327106206a69a3f488d7ac8_f_1_23_0,SCAL,(n-k+1)^{th},,['algebra-precalculus']
6327106206a69a3f488d7ac8_f_1_25_0,SCAL,(n-k+1)^{th},,['algebra-precalculus']
6327106206a69a3f488d7ac8_f_1_30_0,SCAL,b^{n-k} \times (a-b) \times a^{k-1},possible ways,['algebra-precalculus']
6327106206a69a3f488d7ac8_f_3_16_0,SCAL,(a - b) a^k b^{n-k-1},,['algebra-precalculus']
6327106206a69a3f488d7ae3_f_7_2_0,SCAL,\frac{1-x^{n+1}}{1-x},a polynomial,"['sequences-and-series', 'algebra-precalculus', 'limits', 'summation', 'geometric-progressions']"
6327106206a69a3f488d7ae3_f_7_12_0,SET,\mathbb A^k,,"['sequences-and-series', 'algebra-precalculus', 'limits', 'summation', 'geometric-progressions']"
6327106206a69a3f488d7b8b_f_0_0_0,SCAL,(1+x)^{\frac{27}{5}},,['algebra-precalculus']
6327106206a69a3f488d7c58_f_1_2_0,SCAL,\frac{4}{3},,['algebra-precalculus']
6327106306a69a3f488d7c9b_f_1_0_0,SCAL,q \times (1) - p \times (2),,['algebra-precalculus']
6327106306a69a3f488d7cb4_f_1_1_0,FUNC,f(2)=f(1+1),,['algebra-precalculus']
6327106306a69a3f488d7cb4_f_1_2_0,FUNC,f(3)=f(1+2),,['algebra-precalculus']
6327106306a69a3f488d7cd0_f_0_1_0,SCAL,(\dfrac{m+a-1}{a}\times \dfrac{n+a-1}{a}),this problem,['algebra-precalculus']
6327106306a69a3f488d7cec_f_2_5_0,SET,"[\frac{1}{7},7]",,['algebra-precalculus']
6327106306a69a3f488d7cf3_f_4_4_0,SCAL,(-x^{2}-2x+35),,"['algebra-precalculus', 'roots']"
6327106306a69a3f488d7cf3_f_4_7_0,SCAL,\dfrac{1}{2},,"['algebra-precalculus', 'roots']"
6327106306a69a3f488d7d23_f_1_2_0,SCAL,\frac{1}{2},,['algebra-precalculus']
6327106306a69a3f488d7d23_f_2_1_0,SCAL,\frac{1}{2},,['algebra-precalculus']
6327106306a69a3f488d7d38_f_2_24_0,SCAL,\frac{11}{3},,"['algebra-precalculus', 'inequality']"
6327106306a69a3f488d7d46_f_4_10_0,SCAL,\frac{3}{5}+\frac{4}{5}i,,['algebra-precalculus']
6327106306a69a3f488d7d8b_f_1_0_0,SCAL,(1+x)^{n-2},,"['algebra-precalculus', 'binomial-coefficients']"
6327106306a69a3f488d7d8e_f_2_3_0,SCAL,\frac{(1+t)^{n+1}-1}{n+1},,"['algebra-precalculus', 'binomial-coefficients']"
6327106306a69a3f488d7d9e_f_2_0_0,SCAL,\frac{2y}{y+1},,"['algebra-precalculus', 'fractions']"
6327106306a69a3f488d7e81_f_1_11_0,SCAL, cancels with the ,,['algebra-precalculus']
6327106306a69a3f488d7e81_f_1_16_0,SCAL, gives us back ,\frac{X}{100,['algebra-precalculus']
6327106306a69a3f488d7e88_f_0_32_0,FUNC,f(x)=ax^2+bx+c,,['algebra-precalculus']
6327106306a69a3f488d7e88_f_2_0_0,SCAL,ax^2 + bx + c,any quadratic,['algebra-precalculus']
6327106306a69a3f488d7ede_f_2_3_0,SCAL,\frac{1}{3}\cdot \frac {1}{2},,"['algebra-precalculus', 'inequality', 'summation', 'triangular-numbers']"
6327106306a69a3f488d7ede_f_2_9_0,SCAL,3 \frac{1}{2},the right side,"['algebra-precalculus', 'inequality', 'summation', 'triangular-numbers']"
6327106306a69a3f488d7ede_f_3_7_0,FUNC,f(3)=\frac{3}{2},,"['algebra-precalculus', 'inequality', 'summation', 'triangular-numbers']"
