fid,mtype,exprstr,mention,tags,tokens,type_tokens
6327106306a69a3f488d7cab_f_3_13_0,FUNC,f(x)=9x^2-6x+2,,"['calculus', 'geometry', 'euclidean-geometry']","['f', '(', 'x', ')', '=', '9', 'x', '^', '2', '-', '6', 'x', '+', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']"
6327106306a69a3f488d850b_f_1_5_0,FUNC,"f(x,y) = xy",,"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']","['f', '(', 'x', ',', 'y', ')', '=', 'x', 'y']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', '__ANON_1', '__ANON_1']"
6327106306a69a3f488d850b_f_1_8_0,FUNC,"f(x,x) = x^{2}",,"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']","['f', '(', 'x', ',', 'x', ')', '=', 'x', '^', '{', '2', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106306a69a3f488d850b_f_3_5_0,FUNC,"f(x,y)=-g(x)g(y)",a counterexample,"['real-analysis', 'functions', 'euclidean-geometry', 'convex-analysis']","['f', '(', 'x', ',', 'y', ')', '=', '-', 'g', '(', 'x', ')', 'g', '(', 'y', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'SUB', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']"
6327106306a69a3f488d88c8_f_1_3_0,SET,\mathbb{R}^2,,['euclidean-geometry'],"['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f9087837ac920af6842af_f_0_27_0,SCAL,\frac{10}{11}n,,"['combinatorics', 'geometry', 'graph-theory', 'euclidean-geometry', 'combinatorial-geometry']","['\\frac', '{', '10', '}', '{', '11', '}', 'n']","['unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE', '__ANON_1']"
632f9087837ac920af684310_f_3_14_0,SCAL,- \dfrac{1}{m},,"['geometry', 'euclidean-geometry']","['-', '\\dfrac', '{', '1', '}', '{', 'm', '}']","['unary', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
6327106406a69a3f488d8fd8_f_0_1_0,SET,\mathbb{R}^3,,"['reference-request', 'euclidean-geometry', 'polyhedra']","['\\mathbb{R}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106406a69a3f488d8fd8_f_0_5_0,SET,\mathbb{R}^2,,"['reference-request', 'euclidean-geometry', 'polyhedra']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106406a69a3f488d8fd8_f_1_1_0,SET,\mathbb{R}^2,,"['reference-request', 'euclidean-geometry', 'polyhedra']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f9087837ac920af684858_f_0_0_0,SET,\mathbb{R}^2,,"['group-theory', 'euclidean-geometry', 'isometry']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f9088837ac920af68491b_f_0_0_0,SET,\mathbb R^2,,"['real-analysis', 'differential-geometry', 'euclidean-geometry', 'plane-curves']","['\\mathbb', 'R', '^', '2']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']"
632f9089837ac920af6851d2_f_3_65_0,SCAL,\frac{1}{2}s+t,,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles']","['\\frac', '{', '1', '}', '{', '2', '}', 's', '+', 't']","['additive', 'unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', '__ANON_1', 'ADD', '__ANON_1']"
632f9089837ac920af6851d2_f_3_67_0,SCAL,-\frac{1}{2}s+\frac{1}{2}t+3,,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles']","['-', '\\frac', '{', '1', '}', '{', '2', '}', 's', '+', '\\frac', '{', '1', '}', '{', '2', '}', 't', '+', '3']","['additive', 'additive', 'unary', 'SUB', 'unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', '__ANON_1', 'ADD', 'unary', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']"
6327106506a69a3f488d9fce_f_0_2_0,SCAL,n^{\frac{3}{2}},,"['linear-algebra', 'euclidean-geometry']","['n', '^', '{', '\\frac', '{', '3', '}', '{', '2', '}', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']"
632f9089837ac920af68520d_f_0_1_0,SET,\mathbb R^{n+1},,"['differential-geometry', 'euclidean-geometry', 'riemannian-geometry', 'surfaces']","['\\mathbb', 'R', '^', '{', 'n', '+', '1', '}']","['SET_FAT', '__ANON_0', 'CARET', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE']"
632f9089837ac920af685255_f_1_11_0,FUNC,f(t)=2t^2-1,,['euclidean-geometry'],"['f', '(', 't', ')', '=', '2', 't', '^', '2', '-', '1']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3']"
632f9089837ac920af6852d1_f_2_58_0,SCAL,\frac{4r^2}{y^4z^4},,"['trigonometry', 'euclidean-geometry']","['\\frac', '{', '4', 'r', '^', '2', '}', '{', 'y', '^', '4', 'z', '^', '4', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'unary', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE']"
632f9089837ac920af6855ff_f_1_0_0,SET,\mathbb R^n,,"['group-theory', 'metric-spaces', 'finite-groups', 'euclidean-geometry', 'transformation']","['\\mathbb', 'R', '^', 'n']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']"
632f9089837ac920af6855ff_f_3_8_0,SCAL,\frac{(n-1)n}{2},,"['group-theory', 'metric-spaces', 'finite-groups', 'euclidean-geometry', 'transformation']","['\\frac', '{', '(', 'n', '-', '1', ')', 'n', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106606a69a3f488da66d_f_1_64_0,SCAL,n(n^2-1)/24,the end result,"['algorithms', 'euclidean-geometry', 'computational-geometry']","['n', '(', 'n', '^', '2', '-', '1', ')', '/', '24']","['mp', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'DIV', 'expr_atom', 'integer', '__ANON_3', '__ANON_3']"
632f9089837ac920af6855ff_f_3_18_0,SCAL,\frac{(n-1)n}{2},,"['group-theory', 'metric-spaces', 'finite-groups', 'euclidean-geometry', 'transformation']","['\\frac', '{', '(', 'n', '-', '1', ')', 'n', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106606a69a3f488da734_f_0_1_0,SET,\mathbb{R}^3,,"['geometry', 'terminology', 'euclidean-geometry', '3d', 'solid-geometry']","['\\mathbb{R}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106606a69a3f488da907_f_1_4_0,SCAL,\frac{b}{a},the line,"['geometry', 'euclidean-geometry', 'analytic-geometry']","['\\frac', '{', 'b', '}', '{', 'a', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']"
632f908a837ac920af68574e_f_0_2_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'model-theory', 'metric-geometry']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f908a837ac920af68574e_f_0_4_0,SET,\mathbb{R}^2,models,"['geometry', 'euclidean-geometry', 'model-theory', 'metric-geometry']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f908b837ac920af685e81_f_2_2_0,SCAL, is the incenter of ,,['euclidean-geometry'],"['i', 's', 't', 'h', 'e', 'i', 'n', 'c', 'e', 'n', 't', 'e', 'r', 'o', 'f']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']"
632f908b837ac920af685e81_f_2_14_0,SCAL, is the incenter of ,} f_2_12_0 \overline{BP } f_2_13_0,['euclidean-geometry'],"['i', 's', 't', 'h', 'e', 'i', 'n', 'c', 'e', 'n', 't', 'e', 'r', 'o', 'f']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']"
6327106706a69a3f488dad58_f_1_11_0,SCAL,(b^2/a^2)(a^2-p^2),,"['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']","['(', 'b', '^', '2', '/', 'a', '^', '2', ')', '(', 'a', '^', '2', '-', 'p', '^', '2', ')']","['unary', 'group', 'L_PAREN', 'mp', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'DIV', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN']"
632f971d837ac920af6867f7_f_0_3_0,FUNC,"
\cos(90) = 0.61x + 0.61y + 0.5z
",any sense,"['trigonometry', 'euclidean-geometry', 'analytic-geometry']","['\\cos', '(', '90', ')', '=', '061', 'x', '+', '061', 'y', '+', '05', 'z']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', 'func_arg', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_1', 'ADD', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_1', 'ADD', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_1']"
632f971d837ac920af6867f7_f_0_4_0,FUNC,"
\cos(60) = 0x + 0y + 1z
",,"['trigonometry', 'euclidean-geometry', 'analytic-geometry']","['\\cos', '(', '60', ')', '=', '0', 'x', '+', '0', 'y', '+', '1', 'z']","['func_expr', 'func_name_arg', 'FUNC_NORMAL', 'L_PAREN', 'func_arg', 'integer', '__ANON_3', '__ANON_3', 'R_PAREN', 'EQUAL', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'unary', 'expr_atom', '__ANON_3', '__ANON_1']"
6327106706a69a3f488dad58_f_1_44_0,SCAL,2a^2b^2/(a^2+b^2),the above equation simplifies,"['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']","['2', 'a', '^', '2', 'b', '^', '2', '/', '(', 'a', '^', '2', '+', 'b', '^', '2', ')']","['mp', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'DIV', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN']"
6327106706a69a3f488dad58_f_1_45_0,SCAL,(n^2+1)(4b^4a^4)/(a^2+b^2),,"['geometry', 'euclidean-geometry', 'conic-sections', 'plane-curves']","['(', 'n', '^', '2', '+', '1', ')', '(', '4', 'b', '^', '4', 'a', '^', '4', ')', '/', '(', 'a', '^', '2', '+', 'b', '^', '2', ')']","['mp', 'unary', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN', 'DIV', 'group', 'L_PAREN', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_PAREN']"
632f971d837ac920af686840_f_0_0_0,SET,\mathbb{R}^2,the plane,['euclidean-geometry'],"['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f971e837ac920af686da1_f_0_7_0,SET,\mathbb R^n,,"['linear-algebra', 'euclidean-geometry', 'orthogonal-matrices']","['\\mathbb', 'R', '^', 'n']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']"
632f971e837ac920af686da1_f_0_13_0,SCAL,(n-k)\times (n-k),,"['linear-algebra', 'euclidean-geometry', 'orthogonal-matrices']","['(', 'n', '-', 'k', ')', '\\times', '(', 'n', '-', 'k', ')']","['mp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN', 'CMD_TIMES', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN']"
6327106706a69a3f488daec5_f_1_31_0,FUNC,"f : (0,a) \to \mathbb R",,"['measure-theory', 'euclidean-geometry']","['f', ':', '(', '0', ',', 'a', ')', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_PAREN', 'expr_atom', '__ANON_3', 'COMMA', '__ANON_1', 'R_PAREN', 'TO', 'SET_FAT', '__ANON_0']"
6327106706a69a3f488daec5_f_1_45_0,SCAL, and the inequality comes from the fact that you can enclose your convex set in a box of width ,\frac{3}{16}(d(h_1+h_2,"['measure-theory', 'euclidean-geometry']","['a', 'n', 'd', 't', 'h', 'e', 'i', 'n', 'e', 'q', 'u', 'a', 'l', 'i', 't', 'y', 'c', 'o', 'm', 'e', 's', 'f', 'r', 'o', 'm', 't', 'h', 'e', 'f', 'a', 'c', 't', 't', 'h', 'a', 't', 'y', 'o', 'u', 'c', 'a', 'n', 'e', 'n', 'c', 'l', 'o', 's', 'e', 'y', 'o', 'u', 'r', 'c', 'o', 'n', 'v', 'e', 'x', 's', 'e', 't', 'i', 'n', 'a', 'b', 'o', 'x', 'o', 'f', 'w', 'i', 'd', 't', 'h']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']"
6327106706a69a3f488daec5_f_1_46_0,SCAL, and height ,,"['measure-theory', 'euclidean-geometry']","['a', 'n', 'd', 'h', 'e', 'i', 'g', 'h', 't']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']"
6327106706a69a3f488daec5_f_1_48_0,SCAL, is the maximal height of one of the constructions and ,f_1_47_0 h,"['measure-theory', 'euclidean-geometry']","['i', 's', 't', 'h', 'e', 'm', 'a', 'x', 'i', 'm', 'a', 'l', 'h', 'e', 'i', 'g', 'h', 't', 'o', 'f', 'o', 'n', 'e', 'o', 'f', 't', 'h', 'e', 'c', 'o', 'n', 's', 't', 'r', 'u', 'c', 't', 'i', 'o', 'n', 's', 'a', 'n', 'd']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']"
6327106706a69a3f488daec5_f_1_51_0,SCAL, of the set ,f_1_49_0 1 f_1_50_0 r=3/16 f_1_51_0,"['measure-theory', 'euclidean-geometry']","['o', 'f', 't', 'h', 'e', 's', 'e', 't']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']"
6327106706a69a3f488daf05_f_1_1_0,SET,\mathbb R^3,,"['euclidean-geometry', 'complex-numbers']","['\\mathbb', 'R', '^', '3']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3']"
6327106706a69a3f488daf05_f_3_1_0,SET,\mathbb{R}^3,,"['euclidean-geometry', 'complex-numbers']","['\\mathbb{R}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f971f837ac920af68745c_f_0_2_0,SET,\mathbb{R}^2,,"['abstract-algebra', 'euclidean-geometry']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f971f837ac920af68745c_f_0_3_0,SET,\mathbb{C}^2,,"['abstract-algebra', 'euclidean-geometry']","['\\mathbb{C}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f9720837ac920af687b74_f_0_6_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'triangles']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
632f9720837ac920af687b74_f_2_1_0,SET,\mathbb{R}^2,,"['geometry', 'euclidean-geometry', 'triangles']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106806a69a3f488db7c2_f_1_1_0,SET,\mathbb{R}^3,,"['matrices', 'euclidean-geometry', 'coordinate-systems']","['\\mathbb{R}', '^', '3']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106806a69a3f488db7c2_f_1_2_0,SET,\mathbb{R}^2,,"['matrices', 'euclidean-geometry', 'coordinate-systems']","['\\mathbb{R}', '^', '2']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']"
6327106806a69a3f488db820_f_1_2_0,SET,\mathbb R^n,,"['geometry', 'euclidean-geometry']","['\\mathbb', 'R', '^', 'n']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']"
632f9722837ac920af688570_f_0_12_0,SET,\mathbb{R}^N,,"['linear-algebra', 'reference-request', 'euclidean-geometry', 'riemannian-geometry', 'exterior-algebra']","['\\mathbb{R}', '^', 'N']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_0']"
6327106806a69a3f488db820_f_4_5_0,SET,\mathbb R^n,,"['geometry', 'euclidean-geometry']","['\\mathbb', 'R', '^', 'n']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']"
6327106806a69a3f488dbac2_f_0_6_0,SCAL,\frac{n(n-1)}{2},a system,"['graph-theory', 'euclidean-geometry']","['\\frac', '{', 'n', '(', 'n', '-', '1', ')', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']"
6327106806a69a3f488dbac2_f_2_13_0,SET,\mathbb R^d,,"['graph-theory', 'euclidean-geometry']","['\\mathbb', 'R', '^', 'd']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']"
