fid,mtype,exprstr,mention,tags
632fd3dc837ac920af6edb32_f_3_4_0,SCAL,(x+5)(x+1)(x+1)-5x,,"['real-analysis', 'calculus', 'polynomials', 'elementary-functions']"
632fa432837ac920af69b350_f_1_0_0,FUNC,f(x) = a x^3 + bx^2+ c x + d,,"['functions', 'exponential-function', 'elementary-functions']"
632fd3dc837ac920af6edb32_f_4_0_0,FUNC,f(x)=x^3+7x^2+6x+5,,"['real-analysis', 'calculus', 'polynomials', 'elementary-functions']"
632fd3dc837ac920af6edb32_f_5_0_0,FUNC,f(x)=x^3+7x^2+6x+5,,"['real-analysis', 'calculus', 'polynomials', 'elementary-functions']"
632fd3dc837ac920af6edb32_f_5_2_0,FUNC,g(x)=(x+6)(x+1)x,,"['real-analysis', 'calculus', 'polynomials', 'elementary-functions']"
632fd3dd837ac920af6edd29_f_0_0_0,FUNC,f : \mathbb{R}\rightarrow\mathbb{R},,"['real-analysis', 'calculus', 'elementary-functions']"
632fa436837ac920af69cff3_f_1_18_0,SCAL,f(x) \cdot f(x),,"['functions', 'elementary-set-theory', 'products', 'elementary-functions']"
632fa438837ac920af69de2d_f_0_0_0,SCAL,0.1x^9+0.6x^5+0.5x^2 + x,,"['calculus', 'algebra-precalculus', 'polynomials', 'intuition', 'elementary-functions']"
632fa438837ac920af69de2d_f_0_3_0,SET,"(10000000018.3, 10000000019.1)",,"['calculus', 'algebra-precalculus', 'polynomials', 'intuition', 'elementary-functions']"
632fa438837ac920af69de2d_f_0_4_0,SET,"(-398, -386)",,"['calculus', 'algebra-precalculus', 'polynomials', 'intuition', 'elementary-functions']"
63300bba837ac920af73f0f1_f_0_3_0,FUNC,f(x)=-f(-x),,"['functions', 'elementary-functions', 'even-and-odd-functions']"
632fa438837ac920af69de2d_f_0_5_0,SCAL,x^{340} + 0.5x^{238} + 0.4x^{77} + 4,,"['calculus', 'algebra-precalculus', 'polynomials', 'intuition', 'elementary-functions']"
632fa438837ac920af69de2d_f_3_4_0,FUNC,f(x)=(x-2)(x-8),,"['calculus', 'algebra-precalculus', 'polynomials', 'intuition', 'elementary-functions']"
632f6600837ac920af641bef_f_0_1_0,FUNC,q(x)=x^{2}-ax-b,,"['real-analysis', 'proof-verification', 'complex-numbers', 'elementary-functions']"
632fa438837ac920af69de2d_f_4_0_0,SCAL,"
2.2{x}^{1}-81.7{x}^{3}+1576.6{x}^{5}-12865{x}^{7}+53760.4{x}^{9}-128928.6{x}^{11}+185521.7{x}^{13}-158630{x}^{15}+74398.9{x}^{17}-14754.5{x}^{19}",,"['calculus', 'algebra-precalculus', 'polynomials', 'intuition', 'elementary-functions']"
632fdaf1837ac920af6f184f_f_1_3_0,FUNC,p(x)=ax^3+bx^2+cx+d,,"['ordinary-differential-equations', 'polynomials', 'solution-verification', 'elementary-functions']"
632fdaf1837ac920af6f184f_f_1_12_0,FUNC,p(x) = x^3+d,,"['ordinary-differential-equations', 'polynomials', 'solution-verification', 'elementary-functions']"
632fdaf7837ac920af6f4256_f_0_20_0,FUNC,f(u)=u^3-3u^2+3u,,"['elementary-number-theory', 'polynomials', 'elementary-functions']"
63300bc5837ac920af7423ea_f_0_2_0,SCAL,\frac{1}{x-1},,"['integration', 'sequences-and-series', 'definite-integrals', 'big-list', 'elementary-functions']"
632fa43b837ac920af69f35f_f_2_53_0,FUNC,f(n) = g(n),,"['real-analysis', 'functions', 'elementary-functions']"
632fdafc837ac920af6f64c7_f_0_9_0,SCAL,\dfrac{1}{{x-5}},,['elementary-functions']
632fdafc837ac920af6f64c7_f_0_11_0,SCAL,\dfrac{1}{{y^2}},,['elementary-functions']
632fa43e837ac920af6a06b7_f_0_10_0,SCAL,\frac{1}{2},,"['integration', 'divergent-series', 'elementary-functions']"
632fa43e837ac920af6a06b7_f_0_11_0,SCAL,\frac{1}{2}x^2,,"['integration', 'divergent-series', 'elementary-functions']"
632f6601837ac920af641eaf_f_1_5_0,FUNC,Z(x)=4356.07 -9.53035 x,,"['summation', 'recreational-mathematics', 'elementary-functions']"
632fa43e837ac920af6a07cb_f_0_0_0,FUNC,f:\mathbb{R} \to \mathbb{R},analytic,"['analysis', 'elementary-functions']"
632fdafe837ac920af6f6fef_f_0_5_0,FUNC, f(x) = \frac {6x+4} {4x+5},,"['algebra-precalculus', 'elementary-set-theory', 'inverse-function', 'elementary-functions']"
63300bce837ac920af745df6_f_0_9_0,FUNC,f(x) = f(y),,"['abstract-algebra', 'functions', 'relations', 'elementary-functions']"
632fa440837ac920af6a1130_f_0_1_0,FUNC,g(x)=f(x)-2,,"['inverse', 'inverse-function', 'elementary-functions']"
632fa440837ac920af6a1130_f_2_0_0,FUNC,g(x) = f(x) - 2,,"['inverse', 'inverse-function', 'elementary-functions']"
632f6608837ac920af6448c7_f_1_1_0,FUNC,\sin(x)=\frac{e^{ix}-e^{-ix}}{2i},,"['calculus', 'real-analysis', 'algebra-precalculus', 'big-list', 'elementary-functions']"
632f6608837ac920af6448c7_f_1_2_0,FUNC,\cos(x)=\frac{e^{ix}+e^{-ix}}{2},,"['calculus', 'real-analysis', 'algebra-precalculus', 'big-list', 'elementary-functions']"
632fdaff837ac920af6f7a7a_f_0_5_0,FUNC,f(x)= i(s(m(q(x)))),,"['algebra-precalculus', 'elementary-set-theory', 'function-and-relation-composition', 'elementary-functions']"
632fdaff837ac920af6f7a8a_f_0_9_0,SCAL,e^x+e^y+e^z,,"['combinatorics', 'galois-theory', 'symmetric-polynomials', 'elementary-functions', 'symmetric-functions']"
632fdb00837ac920af6f81be_f_0_1_0,FUNC,f(x) = x^2 + x - 1,,"['functions', 'exponential-function', 'elementary-functions']"
632f6608837ac920af6448c7_f_3_1_0,SCAL,(1.000001)^{693417},,"['calculus', 'real-analysis', 'algebra-precalculus', 'big-list', 'elementary-functions']"
632fdb02837ac920af6f898f_f_0_16_0,SET,\varnothing,,"['functions', 'elementary-set-theory', 'elementary-functions']"
632fdb02837ac920af6f898f_f_0_23_0,SET,\varnothing,,"['functions', 'elementary-set-theory', 'elementary-functions']"
632fdb02837ac920af6f898f_f_1_2_0,SET,\varnothing,the domain,"['functions', 'elementary-set-theory', 'elementary-functions']"
632fdb02837ac920af6f898f_f_1_3_0,SET,\varnothing,the range,"['functions', 'elementary-set-theory', 'elementary-functions']"
632fa445837ac920af6a3548_f_6_10_0,FUNC,f (e) = \frac {1}{e},,"['calculus', 'limits', 'proof-verification', 'elementary-functions']"
632f660f837ac920af64758f_f_1_1_0,FUNC,G:\mathbb{R} \to \mathbb{R},,"['functions', 'elementary-functions']"
633012be837ac920af74accf_f_0_5_0,SCAL,\frac{1}{t},the function,"['real-analysis', 'elementary-functions']"
632fe1bf837ac920af6f94ba_f_0_3_0,SCAL,z^{\dfrac{1}{5}},,"['complex-analysis', 'inverse', 'elementary-functions']"
632fe1bf837ac920af6f94ba_f_0_4_0,SCAL,-(ln(2 sinh(z)/z) - z),,"['complex-analysis', 'inverse', 'elementary-functions']"
632f6cfe837ac920af649b61_f_0_0_0,SCAL,\frac{12m-n-3mn+7}{5m-2n-2mn+5},,"['calculus', 'fractions', 'partial-fractions', 'elementary-functions']"
632f6cfe837ac920af649b61_f_2_6_0,SCAL,\frac{3}{2}+\frac{-1}{m+1}+\frac{\frac{9}{2}}{5-2n},,"['calculus', 'fractions', 'partial-fractions', 'elementary-functions']"
632f6d08837ac920af64d547_f_2_4_0,SCAL,\frac{2^x +2^{-x}}{2},only two solutions,"['transcendental-equations', 'elementary-functions']"
632fe1d3837ac920af701c44_f_1_8_0,SCAL,(1000)^2(1/2)^4,,"['calculus', 'real-analysis', 'elementary-functions']"
632fe1d3837ac920af701c44_f_1_9_0,SCAL,(1000)^2(1/2)^4,,"['calculus', 'real-analysis', 'elementary-functions']"
632fab06837ac920af6aa97e_f_0_1_0,FUNC,f(x) = g(x) + h(x),,"['calculus', 'elementary-functions']"
632fab06837ac920af6aa97e_f_1_3_0,SCAL,f(x)+(-g(x)),the sum,"['calculus', 'elementary-functions']"
632fe8ae837ac920af703a75_f_1_0_0,FUNC,f(x) = a({x^3+x-2})+{b}({x^3+2x^2-1}),,"['calculus', 'elementary-functions']"
632fab08837ac920af6ab13e_f_4_3_0,FUNC,g(x) = -\frac {2}{7},,"['algebra-precalculus', 'functions', 'elementary-functions']"
632fab0d837ac920af6ad7ff_f_0_3_0,SCAL,\frac{x^2+x}{2},,"['graphing-functions', 'inverse-function', 'elementary-functions']"
632fab0d837ac920af6ad7ff_f_0_7_0,FUNC,g(x)=\frac{x^2+x}{2},,"['graphing-functions', 'inverse-function', 'elementary-functions']"
632fab0d837ac920af6ad7ff_f_0_10_0,SCAL,x^2-\frac{1}{4},,"['graphing-functions', 'inverse-function', 'elementary-functions']"
633012cd837ac920af751631_f_0_2_0,FUNC,f(x)=x^3+ax^2+bx+c,the cubic,['elementary-functions']
632fab0d837ac920af6ad7ff_f_0_11_0,SCAL,x-\frac{1}{4},,"['graphing-functions', 'inverse-function', 'elementary-functions']"
632fab0e837ac920af6ae0bf_f_2_8_0,SCAL,u^4+u^3+3u^2+3u+4,the polynomial,"['trigonometry', 'elementary-functions']"
632f74da837ac920af653d03_f_1_11_0,SCAL,(1+x+x^2)^n,,"['summation', 'closed-form', 'elementary-functions']"
632fb216837ac920af6b1d8c_f_0_14_0,FUNC,g(x)=\dfrac{e^x-e^{-x}}{2},,"['functions', 'inverse-function', 'elementary-functions']"
632fe8ba837ac920af708a4a_f_1_9_0,FUNC,g:\mathbb{R}\rightarrow\mathbb{R},,"['functions', 'recreational-mathematics', 'interpolation', 'elementary-functions', 'smooth-functions']"
633012d1837ac920af752f8f_f_3_1_0,SCAL,(2/3)arctan(x),The above graph,"['graphing-functions', 'elementary-functions']"
632f74df837ac920af655a73_f_1_7_0,FUNC,f(x)=x^2+2x+3,,"['elementary-set-theory', 'elementary-functions']"
632fb217837ac920af6b2502_f_0_0_0,FUNC,f: \mathbb{R} \rightarrow \mathbb{R},,"['limits', 'elementary-functions']"
632f74e0837ac920af655e5c_f_2_2_0,SCAL,\frac{1}{2k},,"['algebra-precalculus', 'elementary-set-theory', 'diophantine-equations', 'elementary-functions']"
632f74e0837ac920af655e5c_f_2_4_0,SCAL, both sums add up to ,"  f_2_3_0 \left\{a',b',c ' \right\}=\left\{21k,42k,84k\right\","['algebra-precalculus', 'elementary-set-theory', 'diophantine-equations', 'elementary-functions']"
632f74e0837ac920af655e5c_f_4_6_0,SCAL,\frac{ab}{a + b},,"['algebra-precalculus', 'elementary-set-theory', 'diophantine-equations', 'elementary-functions']"
632fe8ba837ac920af708a4a_f_2_51_0,FUNC,f: \mathbb{R} \rightarrow \mathbb{C},a complex valued continuous function   f_2_51_0,"['functions', 'recreational-mathematics', 'interpolation', 'elementary-functions', 'smooth-functions']"
632fe8bc837ac920af709955_f_0_7_0,SCAL,f(x) + g(x),addition,"['sequences-and-series', 'elementary-functions']"
632fe8bc837ac920af709955_f_0_9_0,SCAL,f(x)^{g(x)},,"['sequences-and-series', 'elementary-functions']"
632fb221837ac920af6b6cff_f_0_10_0,FUNC,f:X\rightarrow X,,"['elementary-number-theory', 'integers', 'elementary-functions', 'collatz-conjecture']"
632f74e5837ac920af6582e0_f_0_10_0,SCAL,(n+1) - 2^{n+1},,"['proof-verification', 'elementary-functions']"
632f74e5837ac920af6582e0_f_0_11_0,SCAL,n+1 - (2^n \times 2),,"['proof-verification', 'elementary-functions']"
632f74e5837ac920af6582e0_f_0_12_0,SCAL,n+1 - (2^n + 2^n),,"['proof-verification', 'elementary-functions']"
632f74e5837ac920af6582e0_f_0_13_0,SCAL,n - (2^n + 2^n) + 1,,"['proof-verification', 'elementary-functions']"
632fb8d2837ac920af6b8e12_f_0_8_0,SCAL,5^4 \times 5,,['elementary-functions']
632f74e5837ac920af6582e0_f_0_14_0,SCAL,n - 2^n - 2^n + 1,,"['proof-verification', 'elementary-functions']"
632f74e5837ac920af6582e0_f_0_15_0,SCAL,(n - 2^n) - (2^n-1),,"['proof-verification', 'elementary-functions']"
632fb8d2837ac920af6b8e12_f_0_10_0,SCAL,5^2 \times 5,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_0_0,FUNC,f: \mathbb{N} \rightarrow A,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_1_0,FUNC,g: \mathbb{N} \rightarrow B,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_2_0,FUNC,h: \mathbb{N} \rightarrow C,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_5_0,FUNC,j: \mathbb{N} \rightarrow A \cup B \cup C,a surjection,['elementary-functions']
632f74e5837ac920af6584b1_f_0_8_0,FUNC,j: \mathbb{N} \rightarrow A \cup B \cup C,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_21_0,FUNC,j(x) = 3*\frac{y+2}{3}-2,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_26_0,FUNC,j(x) = 3*\frac{y+1}{3}-1,,['elementary-functions']
632f74e5837ac920af6584b1_f_0_31_0,FUNC,j(x) = 3*\frac{y}{3},,['elementary-functions']
632f74e5837ac920af6584b1_f_3_4_0,FUNC,j(x) = 3(f(x)) - 2,,['elementary-functions']
632f74e5837ac920af6584b1_f_3_11_0,SCAL,3(f(x)) -2 ,chance   f_3_11_0,['elementary-functions']
632fe8bf837ac920af70ad3d_f_0_3_0,SCAL,x^{101}+101x^{100}+102,,"['algebra-precalculus', 'polynomials', 'irreducible-polynomials', 'elementary-functions']"
632f74e5837ac920af6584b1_f_4_0_0,SET, \mathbb{N} ,,['elementary-functions']
632f74e5837ac920af6584b1_f_4_1_0,SET, \mathbb{N} ,,['elementary-functions']
632f74e5837ac920af6584b1_f_4_2_0,FUNC, i : \mathbb{N} \to D ,,['elementary-functions']
63301969837ac920af756c60_f_1_0_0,SCAL,18abcd -4b^3d + b^2c^2 - 4ac^3 - 27a^2d^2,the discriminant,"['real-analysis', 'elementary-functions']"
63301969837ac920af756c60_f_3_4_0,FUNC,f(x)=ax^3+bx+cx+d,,"['real-analysis', 'elementary-functions']"
63301969837ac920af756c60_f_3_10_0,FUNC,p(x)=ax^3+bx^2+cx+d,,"['real-analysis', 'elementary-functions']"
632fe8c2837ac920af70bf58_f_0_7_0,FUNC,r(x)=\frac{p(x)}{q(x)},,"['number-theory', 'solution-verification', 'closed-form', 'elementary-functions', 'article-writing']"
6330196a837ac920af757292_f_1_2_0,FUNC,g(n) = f(n-1) + g(n-1),,"['combinatorics', 'elementary-number-theory', 'elementary-functions']"
6330196a837ac920af757292_f_1_8_0,FUNC,g(1) = f(0),,"['combinatorics', 'elementary-number-theory', 'elementary-functions']"
632fe8c4837ac920af70d2a1_f_0_8_0,SCAL,\frac{1}{3},,"['real-analysis', 'functions', 'recreational-mathematics', 'elementary-functions', 'coprime']"
632fe8c4837ac920af70d2a1_f_0_9_0,SCAL,\frac{1+1}{3+1},no new information,"['real-analysis', 'functions', 'recreational-mathematics', 'elementary-functions', 'coprime']"
632f74e8837ac920af659394_f_1_1_0,SCAL,\frac{x^2+ax+b}{(x-1)^2},,"['calculus', 'integration', 'algebra-precalculus', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_1_0,FUNC, f(2) = 260 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_2_0,FUNC, f(3) = 627 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_3_0,FUNC, f(4) = 1066 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_4_0,FUNC, f(5) = 1561 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_5_0,FUNC, f(10) = 4694 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_6_0,FUNC, f(50) = 53312 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_7_0,FUNC,f(100) = 160330 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632f74e8837ac920af659844_f_0_0_0,FUNC,f:A\rightarrow B,,"['proof-verification', 'elementary-functions']"
632fb8d7837ac920af6bb21c_f_0_8_0,FUNC,f(200) = 548423 ,,"['inverse', 'inverse-function', 'elementary-functions']"
632f74e8837ac920af659844_f_0_1_0,FUNC,g:B \rightarrow C,,"['proof-verification', 'elementary-functions']"
632f74e9837ac920af659b5b_f_0_9_0,FUNC,f:A\rightarrow B,,"['proof-verification', 'proof-writing', 'elementary-functions']"
63301971837ac920af75a71f_f_2_1_0,SCAL,2^{2^{2^{2^{2^{2^{1/2}}}}}},an integer,"['algebra-precalculus', 'logic', 'axioms', 'elementary-functions']"
63301972837ac920af75ae27_f_1_16_0,SCAL,\frac{1}{2},,"['elementary-number-theory', 'functions', 'elementary-functions']"
632fb8e5837ac920af6c115c_f_0_12_0,SCAL,(a)(\frac{-b}{a}),,"['calculus', 'elementary-functions']"
632f74e9837ac920af659b8c_f_0_1_0,FUNC,f: \mathbb{R} \rightarrow \mathbb{R},,"['proof-verification', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659b8c_f_0_2_0,FUNC,f(x) = ax+b,,"['proof-verification', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659b8c_f_0_19_0,FUNC,f(x) = ax + b,,"['proof-verification', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659b8c_f_0_28_0,FUNC,f(x) = a(\frac{y-b}{a})+b,,"['proof-verification', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659cef_f_0_8_0,FUNC,h: \mathbb{N} \rightarrow A \cup B,,"['proof-verification', 'alternative-proof', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659cef_f_0_10_0,SCAL,f(\frac{x}{2}),,"['proof-verification', 'alternative-proof', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659cef_f_0_12_0,SCAL,g(\frac{x+1}{2}),,"['proof-verification', 'alternative-proof', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659cef_f_0_22_0,FUNC,h: \mathbb{N} \rightarrow A \cup B,,"['proof-verification', 'alternative-proof', 'proof-explanation', 'elementary-functions']"
632fb8e8837ac920af6c2252_f_2_0_0,FUNC,f : \mathbb N \to \mathbb R,,"['number-theory', 'elementary-functions']"
632ff01f837ac920af712a68_f_1_17_0,FUNC,f(x) =x e^x,,"['real-analysis', 'power-series', 'elementary-functions']"
632ff01f837ac920af712a68_f_1_19_0,FUNC,f(x) = x + e^x,,"['real-analysis', 'power-series', 'elementary-functions']"
632ff021837ac920af713430_f_0_5_0,FUNC,"f(x,y,0) = x + y",,"['integration', 'functions', 'elementary-functions']"
