fid,mtype,exprstr,mention,tokens,tags
6327106a06a69a3f488ddcfe_f_1_0_0,FUNC,f: \mathbb{Z} \to \mathbb{Z},the map,"['f', ':', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry', 'analytic-geometry']"
6327106b06a69a3f488de2e1_f_1_0_0,FUNC,f(x) = x^2 + 2x -4,a quadratic function,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', '2', 'x', '-', '4']","['algebra-precalculus', 'analytic-geometry', 'conic-sections']"
632fb8e4837ac920af6c0aab_f_3_25_0,SCAL,-1,non - constant term,"['-', '1']","['calculus', 'analytic-geometry']"
6327106b06a69a3f488de989_f_2_4_0,FUNC,A,map   f_2_3_0   takes,['A'],"['geometry', 'complex-numbers', 'analytic-geometry']"
6327106c06a69a3f488df04f_f_0_0_0,SET,"\{0, 1, 2, 3\}",the set   f_0_0_0,"['\\{', '0', ',', '1', ',', '2', ',', '3', '\\}']","['group-theory', 'analytic-geometry']"
6327106d06a69a3f488df65f_f_3_7_0,SCAL,\frac{130}{3},the y value,"['\\frac', '{', '1', '}', '{', '3', '}']","['geometry', 'analytic-geometry']"
632f89f9837ac920af6731e2_f_1_23_0,SCAL,0,f_1_22_0   values,0,"['geometry', 'analytic-geometry']"
632f89fb837ac920af673d7b_f_1_0_0,FUNC,f,"that is , a mapping",['f'],"['geometry', 'differential-geometry', 'analytic-geometry', 'curvature']"
63271c3306a69a3f488e0f42_f_1_0_0,FUNC,f,the function,['f'],"['analytic-geometry', 'conic-sections']"
632fbf50837ac920af6c438a_f_0_0_0,FUNC,f(x)=x^2+px+q,A quadratic function,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', 'p', 'x', '+', 'q']","['analytic-geometry', 'plane-geometry']"
632f89fd837ac920af67490c_f_1_1_0,FUNC,L,a differentiable function,['L'],"['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632f89fd837ac920af67490c_f_1_28_0,FUNC,f,non - differentiable ) function&nbsp,['f'],"['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632f89fd837ac920af67490c_f_1_29_0,FUNC,"F(x, y) = y - f(x)",the continuous function,"['F', '(', 'x', ',', 'y', ')', '=', 'y', '-', 'f', '(', 'x', ')']","['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632f89fd837ac920af67490c_f_1_36_0,FUNC,F,the function&nbsp,['F'],"['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632ff6dd837ac920af71d519_f_1_0_0,SCAL,1,The number,1,"['real-analysis', 'calculus', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
63271c3606a69a3f488e3137_f_2_2_0,SCAL,1,number   f_2_2_0,1,"['geometry', 'analytic-geometry', 'polygons']"
63271c3606a69a3f488e3137_f_2_4_0,SCAL,2,number,2,"['geometry', 'analytic-geometry', 'polygons']"
63271c3606a69a3f488e3137_f_2_5_0,SCAL,4,number   f_2_5_0,4,"['geometry', 'analytic-geometry', 'polygons']"
632fbf52837ac920af6c5073_f_2_71_0,SCAL,9 ,f_2_70_0   vector constant needs   f_2_71_0 multiplications,9,"['geometry', 'analytic-geometry']"
632ff6df837ac920af71e2c4_f_1_48_0,FUNC,w,a function,['w'],"['geometry', 'algebraic-geometry', 'analytic-geometry', 'solid-geometry']"
632ff6e3837ac920af71fc0b_f_1_6_0,SCAL,13,the value,1,"['combinatorics', 'geometry', 'number-theory', 'optimization', 'analytic-geometry']"
632f8a05837ac920af677ed5_f_2_3_0,FUNC,T,a linear map,['T'],"['linear-algebra', 'analytic-geometry']"
632fbf56837ac920af6c6b14_f_0_6_0,SCAL,2,a constant speed,2,"['algebra-precalculus', 'ordinary-differential-equations', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_1_2_0,SCAL,90,the value   f_1_2_0,9,"['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632f8a09837ac920af679b23_f_0_0_0,FUNC,f:\mathbb R^2\to\mathbb R,a function,"['f', ':', '\\mathbb', 'R', '^', '2', '\\to', '\\mathbb', 'R']","['notation', 'analytic-geometry']"
632f8a09837ac920af679b23_f_1_2_0,FUNC,f,the function,['f'],"['notation', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_4_6_0,FUNC,s,functions,['s'],"['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_4_15_0,FUNC,c,the functions,['c'],"['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632ff6e5837ac920af720c66_f_0_5_0,FUNC,g,an analytic function,['g'],"['functional-analysis', 'differential-geometry', 'analytic-geometry', 'analytic-functions']"
632ff6e7837ac920af7219e8_f_0_8_0,FUNC,A,a function,['A'],"['optimization', 'analytic-geometry']"
632ff6e7837ac920af7219e8_f_0_10_0,FUNC,g(x) = 2 x f(x),the function   f_0_10_0,"['g', '(', 'x', ')', '=', '2', 'x', 'f', '(', 'x', ')']","['optimization', 'analytic-geometry']"
632ff6e7837ac920af7219e8_f_1_17_0,FUNC,f,a function   f_1_17_0,['f'],"['optimization', 'analytic-geometry']"
632fbf5c837ac920af6c9316_f_0_22_0,FUNC,f:X\to Y,non - proper ) mapping   f_0_22_0,"['f', ':', 'X', '\\to', 'Y']","['algebraic-geometry', 'analytic-geometry', 'complex-geometry']"
632fbf5c837ac920af6c97c7_f_1_21_0,FUNC,g,the   f_1_20_0 -adic function   f_1_21_0,['g'],"['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632fbf5c837ac920af6c97c7_f_1_63_0,FUNC,g,function,['g'],"['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632fbf5c837ac920af6c97c7_f_1_66_0,FUNC,f,an analytic function   f_1_66_0,['f'],"['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632fbf5c837ac920af6c97c7_f_1_69_0,FUNC,h,analytic function,['h'],"['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632f9072837ac920af67b9d4_f_4_20_0,FUNC,f,a function,['f'],"['calculus', 'real-analysis', 'analytic-geometry', 'tangent-line']"
6327306806a69a3f488edea8_f_0_0_0,SCAL,4,the number,4,"['calculus', 'geometry', 'analytic-geometry']"
632fbf61837ac920af6cb9b4_f_1_0_0,FUNC,f:\{1\} \to \{1\},the identity function,"['f', ':', '\\{', '1', '\\}', '\\to', '\\{', '1', '\\}']","['functions', 'analytic-geometry']"
632fbf61837ac920af6cb9b4_f_2_10_0,FUNC,X,such a function,['X'],"['functions', 'analytic-geometry']"
6327307006a69a3f488f218b_f_0_0_0,SCAL,1 ,a constant disance,1,['analytic-geometry']
632f9077837ac920af67d84d_f_4_4_0,FUNC,f,continuous function,['f'],"['geometry', 'inequality', 'analytic-geometry', 'circles', 'jensen-inequality']"
632f9077837ac920af67d84d_f_4_17_0,SCAL,12,the number,1,"['geometry', 'inequality', 'analytic-geometry', 'circles', 'jensen-inequality']"
632fc61b837ac920af6cdb49_f_0_3_0,FUNC,z,the function   f_0_3_0,['z'],"['calculus', 'analytic-geometry']"
632ffdd5837ac920af725665_f_0_7_0,SCAL,176.78,that number,"['1', '7']","['geometry', 'trigonometry', 'analytic-geometry', 'rotations']"
632ffdd6837ac920af725885_f_0_0_0,FUNC,f(x) = ax^2 + bx + c,the function,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b', 'x', '+', 'c']","['analytic-geometry', 'quadratics', 'graphing-functions']"
632f5f3d837ac920af63607d_f_2_38_0,FUNC,g,the function,['g'],"['geometry', 'analytic-geometry']"
632f5f3d837ac920af636130_f_1_3_0,FUNC,f,the function   f_1_3_0,['f'],['analytic-geometry']
632fc622837ac920af6d0c27_f_0_13_0,FUNC,g\circ f,the map,"['g', '\\circ', 'f']","['general-topology', 'multivariable-calculus', 'analytic-geometry']"
632fc622837ac920af6d0c27_f_1_0_0,FUNC,f,the function,['f'],"['general-topology', 'multivariable-calculus', 'analytic-geometry']"
632f907d837ac920af6800b0_f_1_98_0,SCAL,x(t),the values,"['x', '(', 't', ')']","['geometry', 'analytic-geometry', 'coordinate-systems']"
632f907d837ac920af680418_f_3_21_0,SCAL,g(x),a real - valued function,"['g', '(', 'x', ')']","['algebra-precalculus', 'geometry', 'analytic-geometry']"
632f907d837ac920af680505_f_0_0_0,FUNC,f:\mathbb{R}\rightarrow\mathbb{R},a continuous function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['geometry', 'analytic-geometry', 'reflection']"
632f907d837ac920af680505_f_0_8_0,FUNC,f,functions,['f'],"['geometry', 'analytic-geometry', 'reflection']"
632f5f40837ac920af636fd8_f_2_0_0,FUNC,f\colon X\to Y,a smooth map,"['f', '\\colon', 'X', '\\to', 'Y']",['analytic-geometry']
632f907e837ac920af680bc2_f_3_0_0,FUNC,"g(x,y) = x^2+y^2-6x+2y-8 ",height function,"['g', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '-', '6', 'x', '+', '2', 'y', '-', '8']","['geometry', 'analytic-geometry', 'circles']"
632f907f837ac920af680ef3_f_3_0_0,FUNC,g,Your function,['g'],"['calculus', 'functions', 'analytic-geometry']"
632f907f837ac920af681326_f_1_0_0,FUNC,f,enough nice function,['f'],"['geometry', 'algebraic-geometry', 'analytic-geometry']"
632f907f837ac920af681326_f_1_8_0,FUNC,g,linear function,['g'],"['geometry', 'algebraic-geometry', 'analytic-geometry']"
632f5f42837ac920af637dc7_f_0_2_0,SCAL,r^2,the values,"['r', '^', '2']","['analytic-geometry', 'supremum-and-infimum']"
632f5f44837ac920af63857c_f_0_34_0,FUNC,f : \mathbb{R} \rightarrow \mathbb{R},the previously - mentioned function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['definition', 'analytic-geometry']"
632ffde3837ac920af72b361_f_0_22_0,FUNC,F,implicit function,['F'],"['geometry', 'analytic-geometry']"
632f5f45837ac920af638bce_f_1_4_0,FUNC,"f : [a,b] \to \mathbb{R}",an increasing function,"['f', ':', '[', 'a', ',', 'b', ']', '\\to', '\\mathbb{R}']","['calculus', 'analytic-geometry']"
632f5f45837ac920af638bce_f_1_6_0,FUNC,f(x) = x,the function,"['f', '(', 'x', ')', '=', 'x']","['calculus', 'analytic-geometry']"
632ffde4837ac920af72b86a_f_1_2_0,FUNC,f,"-axis , then the function   f_1_2_0",['f'],"['euclidean-geometry', 'analytic-geometry']"
632fc62e837ac920af6d5b17_f_1_1_0,SCAL,f(x),a value   f_1_1_0,"['f', '(', 'x', ')']","['trigonometry', 'analytic-geometry']"
632ffde4837ac920af72b92f_f_3_15_0,SCAL,-1,these numbers,"['-', '1']","['calculus', 'analytic-geometry', 'quadratics', 'curves', 'tangent-line']"
632f9084837ac920af6833fe_f_0_8_0,SCAL,14 ,input   f_0_8_0 numbers,1,"['linear-algebra', 'linear-transformations', 'analytic-geometry', 'plane-geometry']"
632f9084837ac920af6834a9_f_1_10_0,FUNC,f,your function,['f'],"['geometry', 'differential-geometry', 'analytic-geometry', 'coordinate-systems', 'curves']"
632f9085837ac920af683629_f_0_1_0,FUNC,f,function,['f'],"['geometry', 'trigonometry', 'analytic-geometry']"
632ffde6837ac920af72c66c_f_2_2_0,FUNC,k,functions,['k'],"['geometry', 'analytic-geometry', 'circles', 'conic-sections']"
632fc632837ac920af6d7723_f_1_13_0,FUNC,M,  f_1_12_0   maps,['M'],"['geometry', 'euclidean-geometry', 'analytic-geometry']"
632f5f4c837ac920af63b1cc_f_1_0_0,FUNC,"f(x,y) = x^2-xy+y^2-3/4 ",the function,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '-', 'x', 'y', '+', 'y', '^', '2', '-', '3', '/', '4']","['multivariable-calculus', 'analytic-geometry', 'conic-sections']"
632f9088837ac920af684aa6_f_1_7_0,SCAL,1,the number line,1,['analytic-geometry']
632ffde8837ac920af72d370_f_1_7_0,FUNC,L,an even function,['L'],"['geometry', 'analytic-geometry', 'conic-sections', 'euler-lagrange-equation']"
632fcd10837ac920af6d89fd_f_1_7_0,FUNC,f,these functions,['f'],"['linear-algebra', 'geometry', 'analytic-geometry', 'parametrization']"
632ffdec837ac920af72ecaf_f_0_8_0,SCAL,180 ,value *   f_0_8_0 / Math,1,"['geometry', 'analytic-geometry', 'spherical-coordinates', 'geodesy']"
632f971d837ac920af686376_f_0_2_0,SCAL,2,  f_0_1_0   values,2,['analytic-geometry']
633004be837ac920af73189f_f_0_8_0,FUNC,g:\mathbb{R}^3\to\mathbb{R},a function   f_0_8_0,"['g', ':', '\\mathbb{R}', '^', '3', '\\to', '\\mathbb{R}']","['calculus', 'geometry', 'functions', 'analytic-geometry', 'quadratics']"
632f65fa837ac920af63f596_f_1_0_0,FUNC,"F(x,y)=x^2+3xy+3y^2",The function,"['F', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '+', '3', 'x', 'y', '+', '3', 'y', '^', '2']","['calculus', 'general-topology', 'geometry', 'functions', 'analytic-geometry']"
632f65fb837ac920af640088_f_1_2_0,FUNC,"f(x,y,z) = z",The   height   function   f_1_2_0,"['f', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'z']","['calculus', 'optimization', 'analytic-geometry', 'lagrange-multiplier']"
632f9724837ac920af6895c6_f_1_13_0,FUNC,u,every bounded measurable function,['u'],"['probability-distributions', 'analytic-geometry']"
632f9724837ac920af689632_f_0_7_0,FUNC,P,even a smooth function,['P'],"['differential-geometry', 'analytic-geometry', 'surfaces']"
633004c1837ac920af732fd0_f_1_25_0,FUNC,"f(x,y,z)=x^2+z^2",the function   f_1_25_0,"['f', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'x', '^', '2', '+', 'z', '^', '2']","['integration', 'analytic-geometry', 'coordinate-systems', 'surface-integrals', 'cylindrical-coordinates']"
633004c1837ac920af73309c_f_2_8_0,FUNC,y,a function,['y'],"['geometry', 'analytic-geometry']"
633004c1837ac920af7330f7_f_0_28_0,SCAL,g(x),the value,"['g', '(', 'x', ')']","['real-analysis', 'trigonometry', 'analytic-geometry', 'lie-algebras', 'cauchy-sequences']"
633004c1837ac920af733173_f_0_8_0,FUNC,X,maps,['X'],"['geometry', 'analytic-geometry']"
633004c1837ac920af733173_f_1_8_0,FUNC,f,your map,['f'],"['geometry', 'analytic-geometry']"
632fcd23837ac920af6e0660_f_0_3_0,FUNC,g,an analytic function   f_0_3_0,['g'],"['complex-analysis', 'analytic-geometry']"
632fcd23837ac920af6e0660_f_0_6_0,FUNC,g(z)=e^{f(z)},the function   f_0_6_0,"['g', '(', 'z', ')', '=', 'e', '^', '{', 'f', '(', 'z', ')', '}']","['complex-analysis', 'analytic-geometry']"
632fcd23837ac920af6e0660_f_1_0_0,FUNC,g(z)=e^{f(z)},a function,"['g', '(', 'z', ')', '=', 'e', '^', '{', 'f', '(', 'z', ')', '}']","['complex-analysis', 'analytic-geometry']"
632f6605837ac920af643865_f_2_0_0,FUNC," f(a,b) = \frac{2}{a^2} + \frac{4}{b^2} - 1 ",Your constraint function,"['f', '(', 'a', ',', 'b', ')', '=', '\\frac', '{', '2', '}', '{', 'a', '^', '2', '}', '+', '\\frac', '{', '4', '}', '{', 'b', '^', '2', '}', '-', '1']","['optimization', 'analytic-geometry', 'conic-sections', 'constraints']"
632f972c837ac920af68c917_f_0_0_0,FUNC,f(x)=ax^2+b,two functions,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b']","['functional-analysis', 'analytic-geometry', 'exponentiation']"
632f972c837ac920af68c917_f_0_9_0,FUNC,f(1)=g(1),the base functions,"['f', '(', '1', ')', '=', 'g', '(', '1', ')']","['functional-analysis', 'analytic-geometry', 'exponentiation']"
632f6609837ac920af645074_f_1_0_0,FUNC,f(x)=c,the function,"['f', '(', 'x', ')', '=', 'c']","['calculus', 'derivatives', 'analytic-geometry']"
632fd3c2837ac920af6e384c_f_2_1_0,FUNC,f:\mathbb R\times\mathbb R\to\mathbb R\times\mathbb R,a bijection   f_2_1_0,"['f', ':', '\\mathbb', 'R', '\\times', '\\mathbb', 'R', '\\to', '\\mathbb', 'R', '\\times', '\\mathbb', 'R']","['geometry', 'analytic-geometry', 'axioms']"
632fd3c2837ac920af6e384c_f_2_6_0,FUNC,f,a bijection,['f'],"['geometry', 'analytic-geometry', 'axioms']"
632fd3c2837ac920af6e384c_f_2_9_0,FUNC,f,the bijection,['f'],"['geometry', 'analytic-geometry', 'axioms']"
633004c8837ac920af736093_f_0_1_0,FUNC,f,quot;the function   f_0_1_0,['f'],"['group-theory', 'number-theory', 'notation', 'analytic-geometry']"
633004c8837ac920af736093_f_1_0_0,FUNC,f,a function,['f'],"['group-theory', 'number-theory', 'notation', 'analytic-geometry']"
632f972e837ac920af68dc8e_f_6_4_0,FUNC,p,a function,['p'],"['algebra-precalculus', 'analytic-geometry']"
633004c9837ac920af7362c0_f_2_11_0,FUNC,f,Sometimes different support functions,['f'],"['real-analysis', 'matrices', 'analytic-geometry', 'approximation', '3d']"
632fd3c6837ac920af6e500b_f_2_9_0,FUNC,d:\mathbb{R}^4\times\mathbb{R}^4\to\mathbb{R},the function,"['d', ':', '\\mathbb{R}', '^', '4', '\\times', '\\mathbb{R}', '^', '4', '\\to', '\\mathbb{R}']","['soft-question', 'analytic-geometry', 'coordinate-systems']"
632f660d837ac920af646988_f_0_1_0,SCAL,x+ yi,the complex number,"['x', '+', 'y', 'i']","['geometry', 'complex-numbers', 'analytic-geometry', 'mobius-transformation']"
632fd3c6837ac920af6e50c5_f_0_6_0,FUNC,F,the function   f_0_6_0,['F'],"['geometry', 'analytic-geometry']"
632fd3c6837ac920af6e50c5_f_0_12_0,FUNC,F,the function,['F'],"['geometry', 'analytic-geometry']"
632f660e837ac920af646de4_f_1_10_0,SCAL,(1),absolute value,"['(', '1', ')']","['analytic-geometry', 'circles']"
632fd3c9837ac920af6e6222_f_0_6_0,FUNC,f:D^3 \to R,the maps   f_0_6_0,"['f', ':', 'D', '^', '3', '\\to', 'R']","['general-topology', 'analytic-geometry']"
633004cf837ac920af73917a_f_1_0_0,FUNC,f(x)=x^x,the function,"['f', '(', 'x', ')', '=', 'x', '^', 'x']","['limits', 'soft-question', 'analytic-geometry']"
632fd3cc837ac920af6e6faa_f_1_2_0,SCAL,0,the winding number,0,"['algorithms', 'analytic-geometry', 'computational-geometry', 'polygons']"
632fd3cc837ac920af6e6fff_f_0_7_0,FUNC,g,the proper functions,['g'],"['general-topology', 'functions', 'analytic-geometry']"
632fd3ce837ac920af6e7a38_f_0_25_0,SET,\mathbb P^1,an affinoid subset,"['\\mathbb', 'P', '^', '1']","['abstract-algebra', 'algebraic-number-theory', 'analytic-geometry', 'projective-space', 'rigid-analytic-spaces']"
632f9d9b837ac920af690e09_f_1_56_0,FUNC,p: K^n \to K^{n - 1},the map,"['p', ':', 'K', '^', 'n', '\\to', 'K', '^', '{', 'n', '-', '1', '}']","['algebraic-geometry', 'analytic-geometry', 'complex-geometry']"
632f9d9c837ac920af691666_f_1_3_0,SCAL,0,the eigenvalues,0,['analytic-geometry']
632f9d9f837ac920af692742_f_0_11_0,FUNC,f,meromorphic functions,['f'],"['algebraic-geometry', 'analytic-geometry', 'complex-geometry', 'riemann-surfaces', 'sheaf-cohomology']"
632fd3d9837ac920af6ec460_f_0_1_0,FUNC,f(x) = x^2,two functions,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['geometry', 'functions', 'analytic-geometry']"
632fd3d9837ac920af6ec460_f_2_0_0,FUNC,f(x) = g(x),the two functions,"['f', '(', 'x', ')', '=', 'g', '(', 'x', ')']","['geometry', 'functions', 'analytic-geometry']"
632fd3d9837ac920af6ec69a_f_1_14_0,FUNC,f,a function,['f'],"['vectors', 'analytic-geometry', 'circles', 'polar-coordinates', 'spherical-coordinates']"
632f6d00837ac920af64a758_f_0_0_0,FUNC,f:\mathbb{R}^2 \rightarrow  \mathbb{R},a scalar function,"['f', ':', '\\mathbb{R}', '^', '2', '\\rightarrow', '\\mathbb{R}']","['euclidean-geometry', 'analytic-geometry']"
632f6d01837ac920af64acb6_f_0_3_0,FUNC,f:B^n\to B^n,any continuous map,"['f', ':', 'B', '^', 'n', '\\to', 'B', '^', 'n']","['real-analysis', 'general-topology', 'algebraic-topology', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_1_8_0,FUNC,f : X \to Y,a function,"['f', ':', 'X', '\\to', 'Y']","['vector-spaces', 'metric-spaces', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_1_10_0,FUNC,f,& quot;the mere function,['f'],"['vector-spaces', 'metric-spaces', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_1_31_0,FUNC,f : X \to Y,only   some   functions,"['f', ':', 'X', '\\to', 'Y']","['vector-spaces', 'metric-spaces', 'analytic-geometry']"
63300bb8837ac920af73e0b1_f_2_3_0,SET,\mathbb{R},a set,\mathbb{R},"['vector-spaces', 'metric-spaces', 'analytic-geometry']"
632f9da1837ac920af6938d1_f_1_0_0,SCAL,0.9^m,values,"['^', 'm']","['probability', 'geometry', 'analytic-geometry']"
632fd3dc837ac920af6edb7f_f_2_5_0,FUNC,"f(x,y)=x^2+y^2-r^2",a function,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '-', 'r', '^', '2']","['functions', 'analytic-geometry', 'graphing-functions']"
63300bb9837ac920af73e982_f_1_2_0,FUNC,P,the function   f_1_2_0,['P'],"['matrices', 'geometry', 'analytic-geometry']"
632fd3dd837ac920af6edd2d_f_3_17_0,FUNC,g,The function   f_3_17_0,['g'],"['analytic-geometry', 'plane-geometry']"
632f9da2837ac920af693b70_f_2_8_0,FUNC,H,The corresponding affine map,['H'],"['linear-algebra', 'analytic-geometry']"
632fdaeb837ac920af6eeb6f_f_2_13_0,SCAL,168,the number   f_2_13_0,1,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles', 'slope']"
632f6d0a837ac920af64e2d7_f_0_2_0,SCAL,k/f^2,value   f_0_2_0,"['k', '/', 'f', '^', '2']","['analytic-geometry', 'conic-sections']"
632f6d0c837ac920af64f0f3_f_3_14_0,SCAL,y^2,the value,"['y', '^', '2']","['derivatives', 'analytic-geometry', 'conic-sections']"
63300bc8837ac920af7434cd_f_1_2_0,FUNC,f,the function,['f'],['analytic-geometry']
63300bc9837ac920af743cfa_f_0_0_0,FUNC,d,a distance function,['d'],"['geometry', 'metric-spaces', 'analytic-geometry', 'coordinate-systems']"
632f74dd837ac920af654d53_f_1_5_0,FUNC,g:I \to X,every   bijective   function,"['g', ':', 'I', '\\to', 'X']","['algebra-precalculus', 'analytic-geometry', 'parametric']"
632f74e4837ac920af657b12_f_1_13_0,SCAL,-\frac{1}{4i},the constant,"['-', '\\frac', '{', '1', '}', '{', '4', 'i', '}']","['geometry', 'complex-numbers', 'euclidean-geometry', 'analytic-geometry', 'area']"
63300bd5837ac920af748895_f_2_7_0,FUNC,x,an odd function,['x'],"['integration', 'multivariable-calculus', 'analytic-geometry', 'volume', 'multiple-integral']"
633012af837ac920af749427_f_0_0_0,FUNC,f,a function,['f'],"['algebra-precalculus', 'soft-question', 'analytic-geometry', 'graphing-functions']"
633012af837ac920af749427_f_0_4_0,FUNC,g,a   function,['g'],"['algebra-precalculus', 'soft-question', 'analytic-geometry', 'graphing-functions']"
633012af837ac920af749427_f_0_6_0,FUNC,h,a function   f_0_6_0,['h'],"['algebra-precalculus', 'soft-question', 'analytic-geometry', 'graphing-functions']"
633012c0837ac920af74b834_f_0_18_0,FUNC,f,a function,['f'],"['definition', 'analytic-geometry']"
633012c0837ac920af74b932_f_0_0_0,SCAL,2,the number,2,['analytic-geometry']
632f74e9837ac920af659ab8_f_0_7_0,SCAL,2a,constant length,"['2', 'a']","['analytic-geometry', '3d']"
632fa43a837ac920af69eae9_f_0_7_0,FUNC,f(x) = ex^{-x},the function,"['f', '(', 'x', ')', '=', 'e', 'x', '^', '{', '-', 'x', '}']","['asymptotics', 'analytic-geometry']"
632fa43c837ac920af69f518_f_1_0_0,SCAL,0 ,a simple eigenvalue,0,"['linear-algebra', 'geometry', 'graph-theory', 'analytic-geometry', 'algebraic-graph-theory']"
632fdb01837ac920af6f8695_f_0_2_0,FUNC,n,entire complex functions,['n'],"['complex-analysis', 'analytic-geometry', 'ideals', 'several-complex-variables']"
