fid,mtype,exprstr,mention,tokens,tags
632f6604837ac920af643242_f_0_2_0,FUNC,F,an elementary function,['F'],"['calculus', 'real-analysis', 'sequences-and-series', 'power-series', 'elementary-functions']"
632fdaff837ac920af6f7477_f_0_4_0,FUNC,g,  f_0_3_0   defining function,['g'],"['algebra-precalculus', 'exponential-function', 'radicals', 'inverse-function', 'elementary-functions']"
632fa43f837ac920af6a09c0_f_1_9_0,FUNC,f \colon X \to Y,a function   f_1_9_0,"['f', '\\colon', 'X', '\\to', 'Y']","['elementary-set-theory', 'elementary-functions']"
632fa43f837ac920af6a09c0_f_1_12_0,FUNC,f \colon X \to Y,A function,"['f', '\\colon', 'X', '\\to', 'Y']","['elementary-set-theory', 'elementary-functions']"
632fdaff837ac920af6f7477_f_0_12_0,FUNC,g,function,['g'],"['algebra-precalculus', 'exponential-function', 'radicals', 'inverse-function', 'elementary-functions']"
632fdaff837ac920af6f7477_f_0_18_0,FUNC,g,function,['g'],"['algebra-precalculus', 'exponential-function', 'radicals', 'inverse-function', 'elementary-functions']"
632fdaff837ac920af6f7477_f_1_0_0,FUNC,f,- to - one function,['f'],"['algebra-precalculus', 'exponential-function', 'radicals', 'inverse-function', 'elementary-functions']"
63300bd2837ac920af74789c_f_1_7_0,FUNC,h:\mathbb R\to\mathbb R,"In particular , any map","['h', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['calculus', 'functions', 'functional-equations', 'elementary-functions']"
63300bd2837ac920af74789c_f_1_18_0,FUNC,h,The discontinuous functions,['h'],"['calculus', 'functions', 'functional-equations', 'elementary-functions']"
632fdb00837ac920af6f81be_f_0_0_0,FUNC,f(x) = \frac{1}{100} e^{5x} - \frac{1}{4},this function,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '}', '{', '1', '}', 'e', '^', '{', '5', 'x', '}', '-', '\\frac', '{', '1', '}', '{', '4', '}']","['functions', 'exponential-function', 'elementary-functions']"
632fdb02837ac920af6f898f_f_0_24_0,FUNC,f,any real function,['f'],"['functions', 'elementary-set-theory', 'elementary-functions']"
632f6608837ac920af6448c7_f_4_22_0,FUNC,I,the identity function,['I'],"['calculus', 'real-analysis', 'algebra-precalculus', 'big-list', 'elementary-functions']"
633012b0837ac920af7497d9_f_0_0_0,FUNC,f:R^n\rightarrow R,a function,"['f', ':', 'R', '^', 'n', '\\rightarrow', 'R']",['elementary-functions']
632fdb02837ac920af6f898f_f_2_29_0,FUNC,f,A function   f_2_29_0,['f'],"['functions', 'elementary-set-theory', 'elementary-functions']"
632fdb02837ac920af6f898f_f_2_38_0,FUNC,f,a relation,['f'],"['functions', 'elementary-set-theory', 'elementary-functions']"
632fe1c8837ac920af6fcb56_f_0_0_0,FUNC,f(u)=\frac{u^2}{(au^4+bu^2+c)^{3/2}},the function,"['f', '(', 'u', ')', '=', '\\frac', '{', 'u', '^', '2', '}', '{', '(', 'a', 'u', '^', '4', '+', 'b', 'u', '^', '2', '+', 'c', ')', '^', '{', '3', '/', '2', '}', '}']","['real-analysis', 'elementary-functions']"
632fe1d0837ac920af7007ff_f_0_15_0,FUNC,f,the function,['f'],"['functions', 'inverse', 'elementary-functions']"
632fab04837ac920af6a98dd_f_1_8_0,FUNC,f,rational functions,['f'],"['integration', 'definite-integrals', 'elementary-functions']"
632fab04837ac920af6a98dd_f_1_12_0,FUNC,h,some rational function,['h'],"['integration', 'definite-integrals', 'elementary-functions']"
632f6d0c837ac920af64f041_f_0_5_0,FUNC,f:B\rightarrow A,a function   f_0_5_0,"['f', ':', 'B', '\\rightarrow', 'A']","['elementary-set-theory', 'elementary-functions']"
632f6d0c837ac920af64f041_f_1_0_0,FUNC,f,the function,['f'],"['elementary-set-theory', 'elementary-functions']"
632f6d0c837ac920af64f041_f_2_6_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'elementary-functions']"
632fab0d837ac920af6ad7ff_f_0_0_0,FUNC,g,a function,['g'],"['graphing-functions', 'inverse-function', 'elementary-functions']"
632fab0d837ac920af6ad7ff_f_0_4_0,FUNC,f,the function,['f'],"['graphing-functions', 'inverse-function', 'elementary-functions']"
632f6d11837ac920af6509e3_f_0_2_0,FUNC,f(x)=e^{-x^2},such a function,"['f', '(', 'x', ')', '=', 'e', '^', '{', '-', 'x', '^', '2', '}']","['integration', 'elementary-functions']"
632f6d11837ac920af6509e3_f_0_3_0,FUNC,f,such a function   f_0_3_0,['f'],"['integration', 'elementary-functions']"
632f6d11837ac920af6509e3_f_0_7_0,FUNC,f\circ g ,a function,"['f', '\\circ', 'g']","['integration', 'elementary-functions']"
632fe8b9837ac920af70848f_f_1_4_0,FUNC,n,elementary functions,['n'],"['factorial', 'elementary-functions', 'bernoulli-numbers', 'bernoulli-polynomials']"
632fe8b9837ac920af70848f_f_1_8_0,FUNC,f(n) = \frac{g(n)+(-1)^ng(n)}{2},the following function,"['f', '(', 'n', ')', '=', '\\frac', '{', 'g', '(', 'n', ')', '+', '(', '-', '1', ')', '^', 'n', 'g', '(', 'n', ')', '}', '{', '2', '}']","['factorial', 'elementary-functions', 'bernoulli-numbers', 'bernoulli-polynomials']"
632fe8b9837ac920af7084a3_f_1_2_0,FUNC,g(x)=x^5,the functions,"['g', '(', 'x', ')', '=', 'x', '^', '5']","['real-analysis', 'algebra-precalculus', 'functions', 'elementary-functions']"
632f74dc837ac920af6548cd_f_0_5_0,FUNC,h,a bijective function,['h'],"['combinatorics', 'elementary-set-theory', 'relations', 'equivalence-relations', 'elementary-functions']"
633012d1837ac920af753055_f_2_2_0,FUNC,f,the map,['f'],"['general-topology', 'elementary-set-theory', 'functions', 'elementary-functions']"
632f74dc837ac920af6548cd_f_1_3_0,FUNC,j,some bijections,['j'],"['combinatorics', 'elementary-set-theory', 'relations', 'equivalence-relations', 'elementary-functions']"
633012d1837ac920af753055_f_2_4_0,FUNC,f,the single map,['f'],"['general-topology', 'elementary-set-theory', 'functions', 'elementary-functions']"
633012d1837ac920af753055_f_2_6_0,FUNC,f:J \to J \cup I,the map   f_2_6_0,"['f', ':', 'J', '\\to', 'J', '\\cup', 'I']","['general-topology', 'elementary-set-theory', 'functions', 'elementary-functions']"
632fb216837ac920af6b1d8c_f_2_7_0,FUNC,y,f_2_6_0   maps,['y'],"['functions', 'inverse-function', 'elementary-functions']"
632f74dc837ac920af6548cd_f_1_7_0,FUNC,l,some function   f_1_7_0,['l'],"['combinatorics', 'elementary-set-theory', 'relations', 'equivalence-relations', 'elementary-functions']"
633012d1837ac920af753055_f_2_9_0,FUNC,f:I \to I,a bijection,"['f', ':', 'I', '\\to', 'I']","['general-topology', 'elementary-set-theory', 'functions', 'elementary-functions']"
633012d1837ac920af753055_f_2_27_0,FUNC,f,a bijection,['f'],"['general-topology', 'elementary-set-theory', 'functions', 'elementary-functions']"
632fe8ba837ac920af708a4a_f_2_53_0,FUNC,g: \mathbb{C} \rightarrow \mathbb{C},an entire function   f_2_53_0,"['g', ':', '\\mathbb{C}', '\\rightarrow', '\\mathbb{C}']","['functions', 'recreational-mathematics', 'interpolation', 'elementary-functions', 'smooth-functions']"
632fe8bc837ac920af709955_f_0_1_0,FUNC,f : X \to \mathbb C,an elementary function   f_0_1_0,"['f', ':', 'X', '\\to', '\\mathbb', 'C']","['sequences-and-series', 'elementary-functions']"
632f74e3837ac920af657655_f_0_5_0,FUNC,f,a function   f_0_5_0,['f'],"['elementary-set-theory', 'elementary-functions']"
632f74e4837ac920af657e7a_f_0_5_0,SCAL,50 ,the base number,5,['elementary-functions']
632f74e4837ac920af657e7a_f_0_7_0,SCAL,60 ,the base number,6,['elementary-functions']
632fe8bc837ac920af709955_f_1_17_0,FUNC,f,The original elementary function,['f'],"['sequences-and-series', 'elementary-functions']"
632fe8bc837ac920af709955_f_1_33_0,FUNC,F,the original holomorphic function,['F'],"['sequences-and-series', 'elementary-functions']"
63301968837ac920af756827_f_2_8_0,FUNC,f,a function,['f'],"['integration', 'galois-theory', 'indefinite-integrals', 'radicals', 'elementary-functions']"
63301968837ac920af756878_f_2_15_0,FUNC,f,functions,['f'],"['integration', 'definite-integrals', 'closed-form', 'elementary-functions', 'error-function']"
632fb8d6837ac920af6bab01_f_1_5_0,FUNC,m,the inverse   f_1_5_0   map,['m'],"['algebra-precalculus', 'differential-topology', 'elementary-functions']"
63301969837ac920af756c60_f_3_8_0,SCAL,f(x),these two values,"['f', '(', 'x', ')']","['real-analysis', 'elementary-functions']"
63301969837ac920af756c60_f_3_9_0,SCAL,f(x),these numbers,"['f', '(', 'x', ')']","['real-analysis', 'elementary-functions']"
632fb8d7837ac920af6bad9a_f_2_1_0,FUNC,f:X\times Y\to \mathbb{R},function,"['f', ':', 'X', '\\times', 'Y', '\\to', '\\mathbb{R}']","['calculus', 'real-analysis', 'elementary-number-theory', 'continuity', 'elementary-functions']"
632f74e8837ac920af659394_f_1_2_0,SCAL,\frac{x^2+ax+b}{x^2-2x+1},the fraction,"['\\frac', '{', 'x', '^', '2', '+', 'a', 'x', '+', 'b', '}', '{', 'x', '^', '2', '-', '2', 'x', '+', '1', '}']","['calculus', 'integration', 'algebra-precalculus', 'elementary-functions']"
632fe8c4837ac920af70d2a1_f_0_15_0,SCAL,\frac{a}{b},all fractions,"['\\frac', '{', 'a', '}', '{', 'b', '}']","['real-analysis', 'functions', 'recreational-mathematics', 'elementary-functions', 'coprime']"
632f74e9837ac920af659b5b_f_0_0_0,FUNC,f:A\rightarrow B,a specific function,"['f', ':', 'A', '\\rightarrow', 'B']","['proof-verification', 'proof-writing', 'elementary-functions']"
632fb8db837ac920af6bcc62_f_0_0_0,FUNC,f:\mathbb{R}\rightarrow\mathbb{R},  A function   f_0_0_0,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['functions', 'inequality', 'elementary-functions']"
632ff016837ac920af70ea8d_f_2_12_0,FUNC,\sin,your function,\sin,"['trigonometry', 'closed-form', 'elementary-functions']"
632ff019837ac920af7101e8_f_1_12_0,SET,X \times Y,the set,"['X', '\\times', 'Y']","['functions', 'elementary-set-theory', 'definition', 'elementary-functions']"
632f74e9837ac920af659b8c_f_0_15_0,SET,\mathbb{R},the infinite set,\mathbb{R},"['proof-verification', 'proof-explanation', 'elementary-functions']"
632fb8e7837ac920af6c1e29_f_0_1_0,FUNC,f(n) = \frac{4^n - 2}{7},this,"['f', '(', 'n', ')', '=', '\\frac', '{', '4', '^', 'n', '-', '2', '}', '{', '7', '}']","['terminology', 'elementary-functions']"
632f74e9837ac920af659cef_f_0_28_0,FUNC,h,The function,['h'],"['proof-verification', 'alternative-proof', 'proof-explanation', 'elementary-functions']"
632f74e9837ac920af659cef_f_2_13_0,FUNC,h,This piecewise function   f_2_13_0,['h'],"['proof-verification', 'alternative-proof', 'proof-explanation', 'elementary-functions']"
632fb8ea837ac920af6c2f79_f_0_3_0,FUNC,g(n)=n/4,another function   f_0_3_0,"['g', '(', 'n', ')', '=', 'n', '/', '4']","['functions', 'elementary-functions']"
632fbf52837ac920af6c4e9c_f_0_0_0,FUNC,f:\mathbb{Z} \rightarrow \mathbb{Z},functions,"['f', ':', '\\mathbb{Z}', '\\rightarrow', '\\mathbb{Z}']","['real-analysis', 'functions', 'elementary-functions']"
632ff029837ac920af716c5b_f_0_0_0,FUNC,f \colon A \rightarrow B,a function,"['f', '\\colon', 'A', '\\rightarrow', 'B']","['discrete-mathematics', 'proof-explanation', 'solution-verification', 'elementary-functions']"
632ff029837ac920af716c5b_f_0_1_0,FUNC,S,a function,['S'],"['discrete-mathematics', 'proof-explanation', 'solution-verification', 'elementary-functions']"
632f74ef837ac920af65c221_f_2_12_0,SCAL,g(x),constant,"['g', '(', 'x', ')']","['real-analysis', 'elementary-functions']"
632f74ef837ac920af65c221_f_3_48_0,FUNC,g,The function,['g'],"['real-analysis', 'elementary-functions']"
632ff6d7837ac920af71abe6_f_0_0_0,FUNC,f:\mathbb{R}\to \mathbb{R},any elementary function,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",['elementary-functions']
632ff6d7837ac920af71abe6_f_1_4_0,FUNC,g,a function   f_1_4_0,['g'],['elementary-functions']
632f74ef837ac920af65c221_f_4_1_0,FUNC,g(x) = f(x)f(-x),the function   f_4_1_0,"['g', '(', 'x', ')', '=', 'f', '(', 'x', ')', 'f', '(', '-', 'x', ')']","['real-analysis', 'elementary-functions']"
632ff6d7837ac920af71abe6_f_1_9_0,FUNC,g,Such a function   f_1_9_0,['g'],['elementary-functions']
632ff6d9837ac920af71b804_f_1_2_0,FUNC,f,a function,['f'],"['real-analysis', 'elementary-functions']"
632ff6d9837ac920af71b804_f_2_0_0,FUNC,f,A function,['f'],"['real-analysis', 'elementary-functions']"
632fbf5e837ac920af6ca5f3_f_1_0_0,SCAL,"
\frac{100}{102}
",a fraction,"['\\frac', '{', '1', '}', '{', '1', '}']","['fractions', 'elementary-functions']"
63301fa4837ac920af765685_f_0_3_0,FUNC,f: \mathbb{R} \rightarrow \mathbb{R},many Riemann integrable functions,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['integration', 'elementary-functions']"
632ff6e0837ac920af71e90b_f_0_7_0,FUNC,F,a function,['F'],"['functions', 'matrix-equations', 'elementary-functions']"
632fbf5f837ac920af6cab89_f_0_0_0,FUNC,\sin,elementary trigonometric functions,\sin,"['trigonometry', 'elementary-functions']"
63301fa5837ac920af7660fc_f_0_1_0,FUNC,q,rational function   f_0_1_0,['q'],"['integration', 'complex-integration', 'elementary-functions']"
632fbf63837ac920af6cc350_f_1_1_0,FUNC,g,an elementary function,['g'],"['closed-form', 'elementary-functions', 'differential-algebra']"
632ff6e0837ac920af71e90b_f_0_28_0,FUNC,F,a communitive function,['F'],"['functions', 'matrix-equations', 'elementary-functions']"
6330263e837ac920af767f09_f_0_0_0,FUNC, g(x) = a f(x) ,the function,"['g', '(', 'x', ')', '=', 'a', 'f', '(', 'x', ')']","['inverse', 'elementary-functions']"
6330263e837ac920af767f09_f_1_13_0,FUNC,g,bijections,['g'],"['inverse', 'elementary-functions']"
632ffdd1837ac920af723c83_f_1_0_0,FUNC,R,a rational function,['R'],"['algebra-precalculus', 'polynomials', 'inverse-function', 'elementary-functions']"
632ffdd1837ac920af723c83_f_1_1_0,FUNC,S,a rational function,['S'],"['algebra-precalculus', 'polynomials', 'inverse-function', 'elementary-functions']"
632ffdd1837ac920af723cc0_f_0_0_0,FUNC,f:\mathbb{R}\to\mathbb{R},no known   elementary function,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['number-theory', 'prime-numbers', 'closed-form', 'elementary-functions']"
63302642837ac920af76929a_f_0_9_0,FUNC,y,a function,['y'],"['notation', 'graphing-functions', 'elementary-functions']"
632f7c4a837ac920af660592_f_1_0_0,FUNC,W,the   Lambert W function,['W'],"['inverse', 'elementary-functions', 'inverse-function']"
632f7c4e837ac920af661a12_f_1_0_0,FUNC,f(x)=mx+b,a linear function,"['f', '(', 'x', ')', '=', 'm', 'x', '+', 'b']","['functions', 'elementary-functions']"
632f7c4e837ac920af661c67_f_3_9_0,FUNC,h(x) = \frac{x}{x + 1},    One such function,"['h', '(', 'x', ')', '=', '\\frac', '{', 'x', '}', '{', 'x', '+', '1', '}']","['functions', 'puzzle', 'functional-equations', 'elementary-functions']"
632ffdde837ac920af728fd2_f_0_1_0,FUNC,f : \mathbb R \to \mathbb C,functions,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'C']","['analysis', 'functions', 'functional-equations', 'elementary-functions']"
6330264f837ac920af76d6fe_f_2_0_0,FUNC,f(x)=x^{3}-3x^{2}+5x,the function,"['f', '(', 'x', ')', '=', 'x', '^', '{', '3', '}', '-', '3', 'x', '^', '{', '2', '}', '+', '5', 'x']","['linear-algebra', 'elementary-functions']"
632fc629837ac920af6d3bec_f_2_3_0,FUNC,g,an elementary function,['g'],['elementary-functions']
632fc629837ac920af6d3bec_f_2_5_0,FUNC,f,an elementary function,['f'],['elementary-functions']
632fc629837ac920af6d3bec_f_2_6_0,FUNC,g,an elementary function   f_2_6_0,['g'],['elementary-functions']
632fc629837ac920af6d3bec_f_2_8_0,FUNC,f,an elementary function,['f'],['elementary-functions']
632fc629837ac920af6d3bec_f_2_10_0,FUNC,g,an elementary function,['g'],['elementary-functions']
632fc62b837ac920af6d474a_f_0_1_0,FUNC,g,the functions,['g'],"['elementary-set-theory', 'elementary-functions']"
632fc62b837ac920af6d474a_f_1_4_0,FUNC,f,an injective function,['f'],"['elementary-set-theory', 'elementary-functions']"
632fc631837ac920af6d7417_f_0_1_0,FUNC,Q,an arbitrary function,['Q'],"['abstract-algebra', 'functional-equations', 'elementary-functions']"
632fc631837ac920af6d7417_f_0_7_0,FUNC,Q,many other functions,['Q'],"['abstract-algebra', 'functional-equations', 'elementary-functions']"
632fc634837ac920af6d869d_f_0_2_0,FUNC,\exp,algebraic functions,\exp,"['abstract-algebra', 'algebra-precalculus', 'elementary-functions', 'differential-algebra']"
6330265a837ac920af770db4_f_0_0_0,FUNC,f,functions,['f'],"['calculus', 'functions', 'definition', 'elementary-functions']"
632ffde7837ac920af72cfda_f_2_4_0,SCAL,-1.,the constant,"['-', '1']",['elementary-functions']
