fid,mtype,exprstr,mention,tokens,tags
632f9722837ac920af688570_f_0_5_0,FUNC,n,which   f_0_4_0   maps,['n'],"['linear-algebra', 'reference-request', 'euclidean-geometry', 'riemannian-geometry', 'exterior-algebra']"
6327106806a69a3f488dbfc1_f_0_0_0,FUNC,"f: [0,1] \rightarrow \mathbb{R}^2",a continuous map,"['f', ':', '[', '0', ',', '1', ']', '\\rightarrow', '\\mathbb{R}', '^', '2']","['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_6_0,FUNC,f,a Jordan map   f_0_6_0,['f'],"['general-topology', 'euclidean-geometry']"
6327106806a69a3f488dbfc1_f_0_23_0,FUNC,f:\mathbb{R}\rightarrow \mathbb{R}^2,an injective   continuous map,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}', '^', '2']","['general-topology', 'euclidean-geometry']"
632fc631837ac920af6d6fca_f_1_34_0,SCAL,-(n-1),the values,"['-', '(', 'n', '-', '1', ')']","['geometry', 'discrete-mathematics', 'euclidean-geometry', 'discrete-geometry']"
6327106906a69a3f488dcb17_f_1_0_0,FUNC,f,the function,['f'],"['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dcb17_f_2_14_0,FUNC,f,a function,['f'],"['euclidean-geometry', 'analytic-geometry', 'plane-curves']"
6327106906a69a3f488dd022_f_1_11_0,SCAL,4 ,The numbers,4,"['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106906a69a3f488dd022_f_1_26_0,SCAL,16 ,The numbers,1,"['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106906a69a3f488dd022_f_1_29_0,SCAL,32 ,The numbers,3,"['combinatorics', 'group-theory', 'euclidean-geometry', 'finite-groups']"
6327106a06a69a3f488ddcfe_f_1_0_0,FUNC,f: \mathbb{Z} \to \mathbb{Z},the map,"['f', ':', '\\mathbb{Z}', '\\to', '\\mathbb{Z}']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry', 'analytic-geometry']"
632fc631837ac920af6d75c9_f_1_9_0,SCAL,1.1294,the value   f_1_9_0,"['1', '1']","['geometry', 'euclidean-geometry', 'triangles', 'circles']"
6327106b06a69a3f488de470_f_1_20_0,FUNC,P,", mapping   f_1_20_0",['P'],"['geometry', 'euclidean-geometry', 'triangles', 'circles', 'sangaku']"
632f9726837ac920af68a369_f_1_13_0,FUNC,I,the regularized incomplete beta function,['I'],"['geometry', 'euclidean-geometry']"
632fc632837ac920af6d7723_f_1_13_0,FUNC,M,  f_1_12_0   maps,['M'],"['geometry', 'euclidean-geometry', 'analytic-geometry']"
6327106b06a69a3f488de788_f_0_2_0,FUNC,g,a polynomial function,['g'],"['linear-algebra', 'algebraic-geometry', 'euclidean-geometry', 'quaternions']"
632fcd11837ac920af6d8c0f_f_2_35_0,SET,"\{i,j,k\}","But , the sets","['\\{', 'i', ',', 'j', ',', 'k', '\\}']","['euclidean-geometry', 'triangles', 'plane-geometry', 'polygons']"
63271c3406a69a3f488e2100_f_6_0_0,SET,\mathbb P,the set   f_6_0_0,"['\\mathbb', 'P']","['euclidean-geometry', 'noneuclidean-geometry']"
63271c3606a69a3f488e348c_f_1_0_0,SCAL,3,The numbers,3,"['geometry', 'euclidean-geometry']"
63271c3d06a69a3f488e79f1_f_2_7_0,FUNC,T:V\to V,the linear map,"['T', ':', 'V', '\\to', 'V']","['linear-algebra', 'abstract-algebra', 'euclidean-geometry']"
63271c4006a69a3f488e9af2_f_1_2_0,FUNC,A: X \rightarrow Y,", and a linear map","['A', ':', 'X', '\\rightarrow', 'Y']","['real-analysis', 'continuity', 'euclidean-geometry', 'normed-spaces']"
63271c4006a69a3f488e9af2_f_1_10_0,FUNC,A,the map,['A'],"['real-analysis', 'continuity', 'euclidean-geometry', 'normed-spaces']"
632f9d9a837ac920af6907a2_f_0_0_0,FUNC,g,the map,['g'],"['geometry', 'euclidean-geometry', 'isometry']"
632f9d9c837ac920af691430_f_0_13_0,FUNC,R,some map,['R'],"['linear-algebra', 'geometry', 'euclidean-geometry', 'isometry', 'orthogonal-matrices']"
632f9d9c837ac920af691430_f_1_38_0,FUNC,u,the mapping,['u'],"['linear-algebra', 'geometry', 'euclidean-geometry', 'isometry', 'orthogonal-matrices']"
632f9d9c837ac920af691644_f_1_0_0,FUNC,f,a map,['f'],"['geometry', 'euclidean-geometry', 'projective-geometry']"
632ffdd1837ac920af723b7e_f_1_0_0,FUNC,T,a linear map,['T'],"['general-topology', 'functional-analysis', 'euclidean-geometry']"
632fcd1a837ac920af6dcc28_f_2_3_0,SCAL,0,number,0,"['geometry', 'trigonometry', 'complex-numbers', 'vectors', 'euclidean-geometry']"
6327307106a69a3f488f2940_f_0_10_0,SET,L(r),the set,"['L', '(', 'r', ')']","['geometry', 'euclidean-geometry']"
6327307406a69a3f488f3dfa_f_0_1_0,SET,\mathbb{R}^2,all the finite sets,"['\\mathbb{R}', '^', '2']","['geometry', 'euclidean-geometry']"
632fcd1c837ac920af6dd817_f_1_13_0,SCAL,k+1,the number,"['k', '+', '1']","['geometry', 'euclidean-geometry', 'machine-learning']"
632fcd1e837ac920af6de784_f_2_34_0,FUNC,Y,and   f_2_33_0   map,['Y'],"['general-topology', 'group-theory', 'euclidean-geometry']"
632fcd1e837ac920af6de784_f_2_48_0,FUNC,Z,maps,['Z'],"['general-topology', 'group-theory', 'euclidean-geometry']"
632f9d9f837ac920af692929_f_0_2_0,FUNC,f:P\to L,a bijective map,"['f', ':', 'P', '\\to', 'L']","['geometry', 'contest-math', 'euclidean-geometry', 'projective-geometry']"
632f5f37837ac920af63435f_f_0_2_0,FUNC,F: P \to P,an isometry,"['F', ':', 'P', '\\to', 'P']","['euclidean-geometry', 'isometry']"
632f5f37837ac920af63435f_f_0_7_0,FUNC,F,the function,['F'],"['euclidean-geometry', 'isometry']"
632f5f37837ac920af63435f_f_0_15_0,FUNC,f:\mathbb R\to\mathbb R,a function   f_0_15_0,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['euclidean-geometry', 'isometry']"
632ffdd6837ac920af725eb8_f_1_59_0,FUNC,f,The projection function,['f'],"['geometry', 'euclidean-geometry', 'simplex']"
632f5f3a837ac920af6350a6_f_0_15_0,SCAL,m/n,the same rational numbers,"['m', '/', 'n']","['real-analysis', 'geometry', 'euclidean-geometry', 'math-history', 'real-numbers']"
632f9da0837ac920af693427_f_1_2_0,SCAL,0,a minimal value,0,"['calculus', 'euclidean-geometry', 'triangles', 'volume', 'lagrange-multiplier']"
632f9da0837ac920af693427_f_1_21_0,SCAL,0,a minimal value,0,"['calculus', 'euclidean-geometry', 'triangles', 'volume', 'lagrange-multiplier']"
632f5f3a837ac920af6350d2_f_0_15_0,SCAL,m/n,the same rational numbers,"['m', '/', 'n']","['real-analysis', 'geometry', 'euclidean-geometry', 'math-history', 'real-numbers']"
632f5f3a837ac920af635367_f_0_3_0,SET,\mathbb{N},the set,\mathbb{N},"['combinatorics', 'geometry', 'hilbert-spaces', 'euclidean-geometry', 'combinatorial-geometry']"
632f9da1837ac920af693732_f_2_2_0,FUNC,K,an affine invertible map,['K'],"['geometry', 'euclidean-geometry', 'polyhedra', 'polytopes']"
632f5f3b837ac920af635637_f_3_1_0,FUNC,"g:[c,d]\rightarrow\mathbb{R}",a function   f_3_1_0,"['g', ':', '[', 'c', ',', 'd', ']', '\\rightarrow', '\\mathbb{R}']","['proof-writing', 'euclidean-geometry']"
632f5f3b837ac920af635681_f_0_7_0,FUNC,S:X\rightarrow X,    Edit     A mapping,"['S', ':', 'X', '\\rightarrow', 'X']","['linear-algebra', 'euclidean-geometry']"
632f9da2837ac920af693bd5_f_2_34_0,FUNC,f,an increasing function,['f'],"['geometry', 'trigonometry', 'euclidean-geometry']"
632f9da2837ac920af693bd5_f_2_41_0,FUNC,f,our function   f_2_41_0,['f'],"['geometry', 'trigonometry', 'euclidean-geometry']"
632f9da2837ac920af693cce_f_3_3_0,FUNC,x,this function,['x'],"['geometry', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632fcd21837ac920af6dfa21_f_1_8_0,SET,\mathbb R^n,any bounded subset,"['\\mathbb', 'R', '^', 'n']","['linear-algebra', 'multivariable-calculus', 'euclidean-geometry', 'definition', 'intuition']"
632f5f3d837ac920af6360d1_f_0_7_0,FUNC,y,the function,['y'],"['calculus', 'geometry', 'limits', 'derivatives', 'euclidean-geometry']"
632f9da2837ac920af693cce_f_3_9_0,SCAL,f(3),the minimal value,"['f', '(', '3', ')']","['geometry', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632f5f3f837ac920af636b9f_f_1_29_0,SET,\mathbb{N}^C,an uncountable set,"['\\mathbb{N}', '^', 'C']","['combinatorics', 'euclidean-geometry']"
632f5f3f837ac920af636d79_f_0_5_0,FUNC,f,the function,['f'],"['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_0_7_0,FUNC,f,the function,['f'],"['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_1_2_0,FUNC,f,a function,['f'],"['euclidean-geometry', 'linear-transformations']"
632ffdd9837ac920af727109_f_1_37_0,SCAL,s^3,the numbers,"['s', '^', '3']","['trigonometry', 'prime-numbers', 'euclidean-geometry', 'math-software', 'ratio']"
632f5f3f837ac920af636d79_f_3_4_0,SCAL,a+ ib,the complex number,"['a', '+', 'i', 'b']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_3_6_0,FUNC,f,the function,['f'],"['euclidean-geometry', 'linear-transformations']"
632ffdd9837ac920af727109_f_1_231_0,SCAL,11^{5/2},each the absolute value   f_1_231_0,"['1', '^', '{', '5', '/', '2', '}']","['trigonometry', 'prime-numbers', 'euclidean-geometry', 'math-software', 'ratio']"
632f5f42837ac920af637bbb_f_0_0_0,FUNC,d: X\times X \to \mathbb{R},a function,"['d', ':', 'X', '\\times', 'X', '\\to', '\\mathbb{R}']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f5f42837ac920af637bbb_f_3_26_0,FUNC,d: X\times Y\to \mathbb R,a function   f_3_26_0,"['d', ':', 'X', '\\times', 'Y', '\\to', '\\mathbb', 'R']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f5f43837ac920af638013_f_1_0_0,SCAL,4 ,numbers,4,"['geometry', 'euclidean-geometry', 'quadrilateral']"
632f5f45837ac920af638b54_f_0_4_0,FUNC,f:X \rightarrow X,a mapping,"['f', ':', 'X', '\\rightarrow', 'X']","['geometry', 'functions', 'euclidean-geometry', 'transformation']"
632f5f45837ac920af638b54_f_0_7_0,FUNC,f:X \rightarrow X,a mapping,"['f', ':', 'X', '\\rightarrow', 'X']","['geometry', 'functions', 'euclidean-geometry', 'transformation']"
632f5f46837ac920af638f82_f_1_17_0,FUNC,A,this map,['A'],"['group-theory', 'analysis', 'geometry', 'euclidean-geometry']"
632f5f46837ac920af639232_f_0_12_0,SCAL,2,The number,2,"['euclidean-geometry', 'standard-deviation']"
632f9da8837ac920af6968ef_f_1_8_0,FUNC,p,the Minkowski functional,['p'],"['geometry', 'convex-analysis', 'euclidean-geometry', 'convex-geometry']"
632f9da8837ac920af6968ef_f_1_28_0,FUNC,l,the continuous function,['l'],"['geometry', 'convex-analysis', 'euclidean-geometry', 'convex-geometry']"
632fd3c6837ac920af6e4eb2_f_1_4_0,FUNC,f \circ p,The function   f_1_4_0,"['f', '\\circ', 'p']","['real-analysis', 'proof-explanation', 'euclidean-geometry']"
632f5f47837ac920af639739_f_1_34_0,SCAL,1,its value,1,"['geometry', 'euclidean-geometry']"
632f5f47837ac920af639739_f_1_38_0,SCAL,1,its   value,1,"['geometry', 'euclidean-geometry']"
632fd3c6837ac920af6e50fd_f_0_4_0,FUNC,F,a map,['F'],"['functions', 'euclidean-geometry']"
632ffddf837ac920af7299a5_f_2_4_0,FUNC,t,smooth functions,['t'],"['ordinary-differential-equations', 'differential-geometry', 'euclidean-geometry', 'circles', 'polygons']"
632ffde1837ac920af72a184_f_0_16_0,FUNC,g \colon A \to \mathbb{R},a continuous function,"['g', '\\colon', 'A', '\\to', '\\mathbb{R}']","['real-analysis', 'geometry', 'euclidean-geometry', 'geometric-measure-theory']"
632ffde4837ac920af72b86a_f_1_2_0,FUNC,f,"-axis , then the function   f_1_2_0",['f'],"['euclidean-geometry', 'analytic-geometry']"
632f65fa837ac920af63f84a_f_1_0_0,SET,A^B,the set,"['A', '^', 'B']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fa837ac920af63f84a_f_2_0_0,SET,\mathbb R^\mathbb N,the set,"['\\mathbb', 'R', '^', '\\mathbb', 'N']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fa837ac920af63f84a_f_3_4_0,FUNC,f\colon \mathbb N \to \mathbb R,functions,"['f', '\\colon', '\\mathbb', 'N', '\\to', '\\mathbb', 'R']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fa837ac920af63f84a_f_3_5_0,FUNC,f\colon \mathbb N \to \mathbb R,same,"['f', '\\colon', '\\mathbb', 'N', '\\to', '\\mathbb', 'R']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fb837ac920af640031_f_0_24_0,FUNC,F,f_0_23_0   mapping,['F'],"['contest-math', 'euclidean-geometry']"
632ffde5837ac920af72c00e_f_1_5_0,SCAL,0,the minimizing value,0,"['geometry', 'euclidean-geometry', 'quadrilateral']"
632f6601837ac920af641d90_f_2_22_0,FUNC,i,a rigid motion,['i'],"['geometry', 'euclidean-geometry', 'projective-geometry']"
632f6601837ac920af64223d_f_0_2_0,FUNC,f:S\to \mathbb{R}^4,a map   f_0_2_0,"['f', ':', 'S', '\\to', '\\mathbb{R}', '^', '4']","['optimization', 'euclidean-geometry']"
632fd3da837ac920af6ecf87_f_0_9_0,SCAL,\frac{4}{45},the value,"['\\frac', '{', '4', '}', '{', '4', '}']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-geometry', 'extremal-combinatorics']"
632f660b837ac920af645973_f_3_0_0,SCAL,2 ,the number,2,"['geometry', 'euclidean-geometry', 'philosophy']"
632fdaea837ac920af6ee5c8_f_2_2_0,FUNC,B,This map,['B'],"['geometry', 'euclidean-geometry', 'triangles', 'locus', 'geometric-transformation']"
632fdaeb837ac920af6eeb6f_f_2_13_0,SCAL,168,the number   f_2_13_0,1,"['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles', 'slope']"
632f660e837ac920af646fd9_f_3_0_0,SCAL,f(r),    The only nonconstant functions,"['f', '(', 'r', ')']","['integration', 'euclidean-geometry', 'average', 'centroid']"
632f660e837ac920af646fd9_f_5_10_0,FUNC,r,only a function,['r'],"['integration', 'euclidean-geometry', 'average', 'centroid']"
633004bc837ac920af730cf3_f_0_3_0,SET,"\{w, x, y, z\}",a   f_0_2_0 -element set   f_0_3_0,"['\\{', 'w', ',', 'x', ',', 'y', ',', 'z', '\\}']","['real-analysis', 'geometry', 'metric-spaces', 'euclidean-geometry', 'isometry']"
633004bc837ac920af730cf3_f_0_9_0,FUNC,f,function,['f'],"['real-analysis', 'geometry', 'metric-spaces', 'euclidean-geometry', 'isometry']"
632f6cfa837ac920af648589_f_1_6_0,SCAL,1,the value,1,"['finite-groups', 'permutations', 'euclidean-geometry', 'symmetry']"
632f6cfe837ac920af6499bf_f_0_7_0,FUNC,S,a bijection,['S'],"['geometry', 'euclidean-geometry', 'plane-geometry']"
632f6cff837ac920af64a04f_f_2_0_0,FUNC,d:S \times S \rightarrow \mathbb R,a function,"['d', ':', 'S', '\\times', 'S', '\\rightarrow', '\\mathbb', 'R']",['euclidean-geometry']
632f6d00837ac920af64a758_f_0_0_0,FUNC,f:\mathbb{R}^2 \rightarrow  \mathbb{R},a scalar function,"['f', ':', '\\mathbb{R}', '^', '2', '\\rightarrow', '\\mathbb{R}']","['euclidean-geometry', 'analytic-geometry']"
632f6d02837ac920af64b3d6_f_0_4_0,FUNC,p,a rotation mapping,['p'],"['euclidean-geometry', '3d', 'rotations']"
632faaf7837ac920af6a4180_f_0_3_0,FUNC,r,a function,['r'],"['geometry', 'differential-geometry', 'convex-analysis', 'euclidean-geometry', 'spherical-coordinates']"
632f6d04837ac920af64bcbb_f_1_3_0,FUNC,d,a   distance   function   f_1_3_0,['d'],"['geometry', 'euclidean-geometry', 'pi', 'noneuclidean-geometry']"
633004c0837ac920af73281b_f_0_11_0,SCAL,1 ,the eigenvalues,1,"['linear-algebra', 'geometry', 'euclidean-geometry', 'discrete-geometry']"
632fdaf2837ac920af6f1ceb_f_1_0_0,SCAL,(n-1),the maximum number,"['(', 'n', '-', '1', ')']","['geometry', 'euclidean-geometry', 'tiling', 'music-theory']"
632f6d07837ac920af64cec6_f_0_5_0,FUNC,S:Y\to X,a mapping   f_0_5_0,"['S', ':', 'Y', '\\to', 'X']","['general-topology', 'euclidean-geometry']"
632fdaf3837ac920af6f2126_f_0_0_0,FUNC,f:\mathbb{R}^2\to \mathbb{R}^2,a mapping   f_0_0_0,"['f', ':', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}', '^', '2']","['real-analysis', 'functions', 'euclidean-geometry', 'plane-geometry', 'contraction-operator']"
632fdaf3837ac920af6f2126_f_0_4_0,FUNC,f,The function,['f'],"['real-analysis', 'functions', 'euclidean-geometry', 'plane-geometry', 'contraction-operator']"
632fdaf3837ac920af6f2126_f_1_5_0,FUNC,T,the function,['T'],"['real-analysis', 'functions', 'euclidean-geometry', 'plane-geometry', 'contraction-operator']"
632fdaf3837ac920af6f213a_f_0_0_0,FUNC,F,the implicit function,['F'],"['calculus', 'euclidean-geometry']"
632f6d09837ac920af64d7a9_f_1_0_0,FUNC,f(x)=-x,the two functions,"['f', '(', 'x', ')', '=', '-', 'x']","['geometry', 'inequality', 'euclidean-geometry', 'graphing-functions', 'wolfram-alpha']"
633004c1837ac920af7331e1_f_1_54_0,FUNC,C,a cyclicity map   f_1_54_0,['C'],"['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
633004c1837ac920af7331e1_f_1_69_0,SET,"\{a,b,c,d\}",the set,"['\\{', 'a', ',', 'b', ',', 'c', ',', 'd', '\\}']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
633004c1837ac920af7331e1_f_1_87_0,SET,"\{a,b,c,d,e\}",the set   f_1_87_0,"['\\{', 'a', ',', 'b', ',', 'c', ',', 'd', ',', 'e', '\\}']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
633004c1837ac920af7331e1_f_1_89_0,SCAL,5,a prime number,5,"['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-proofs', 'combinatorial-geometry']"
632fdaf5837ac920af6f30a6_f_2_4_0,SCAL,14,the desired number,1,"['geometry', 'euclidean-geometry', 'combinatorial-geometry']"
632fdaf7837ac920af6f43ea_f_1_33_0,FUNC,f,an   f_1_32_0 -invariant function,['f'],"['group-theory', 'euclidean-geometry', 'lie-groups', 'invariant-theory']"
633004c4837ac920af734471_f_1_37_0,FUNC,h,a function,['h'],"['euclidean-geometry', 'affine-geometry']"
632fdafa837ac920af6f51f3_f_1_2_0,FUNC,f,that any distance preserving map,['f'],"['differential-geometry', 'euclidean-geometry', 'isometry']"
632fdafa837ac920af6f51f3_f_1_15_0,FUNC,A,a unique orthgonal linear map   f_1_15_0,['A'],"['differential-geometry', 'euclidean-geometry', 'isometry']"
632f74d9837ac920af653124_f_1_0_0,FUNC,f:\mathbb R^n\to\mathbb R,Any function,"['f', ':', '\\mathbb', 'R', '^', 'n', '\\to', '\\mathbb', 'R']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632f74d9837ac920af653124_f_1_5_0,FUNC,f:\mathbb R\to\mathbb R,The function,"['f', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632f74d9837ac920af653124_f_1_6_0,FUNC,F:\mathbb R\to\mathbb R^2,a function,"['F', ':', '\\mathbb', 'R', '\\to', '\\mathbb', 'R', '^', '2']","['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632f74d9837ac920af653124_f_1_8_0,FUNC,F,The function,['F'],"['real-analysis', 'functional-analysis', 'functions', 'euclidean-geometry', 'graphing-functions']"
632fdafb837ac920af6f596f_f_0_16_0,SCAL,\frac{1}{7},the area ratio,"['\\frac', '{', '1', '}', '{', '7', '}']","['geometry', 'euclidean-geometry', 'triangles', 'area', 'ratio']"
632f74dc837ac920af65450c_f_0_0_0,FUNC,f(x)=-x^2+1,the functions,"['f', '(', 'x', ')', '=', '-', 'x', '^', '2', '+', '1']","['geometry', 'algebraic-geometry', 'euclidean-geometry']"
632fdafb837ac920af6f5b41_f_2_7_0,SCAL,9,a maximal value,9,"['optimization', 'euclidean-geometry', 'triangles', 'circles', 'plane-geometry']"
633004c7837ac920af735459_f_0_6_0,FUNC,f,a bijection   f_0_6_0,['f'],"['geometry', 'metric-spaces', 'euclidean-geometry']"
632f74de837ac920af65533e_f_0_3_0,FUNC,f:X \rightarrow Y,a function   f_0_3_0,"['f', ':', 'X', '\\rightarrow', 'Y']","['geometry', 'functions', 'metric-spaces', 'euclidean-geometry', 'isometry']"
632f74de837ac920af65533e_f_0_7_0,FUNC,f(x) = x + a,function,"['f', '(', 'x', ')', '=', 'x', '+', 'a']","['geometry', 'functions', 'metric-spaces', 'euclidean-geometry', 'isometry']"
632fdafb837ac920af6f5f00_f_1_33_0,SCAL,1,absolute value,1,"['geometry', 'euclidean-geometry', 'isometry']"
632f74e0837ac920af655fed_f_0_0_0,SCAL,618 ,the golden number,6,"['geometry', 'trigonometry', 'euclidean-geometry', 'golden-ratio']"
632fdafd837ac920af6f66b3_f_3_81_0,SCAL,1,its maximum value   f_3_81_0,1,"['geometry', 'euclidean-geometry', 'triangles', 'alternative-proof']"
632f74e1837ac920af6566e5_f_0_2_0,FUNC,u,  and a continuous function,['u'],"['calculus', 'geometry', 'differential-geometry', 'euclidean-geometry']"
633004c9837ac920af73677a_f_0_4_0,SCAL,a^2+b^2-c^2,the value,"['a', '^', '2', '+', 'b', '^', '2', '-', 'c', '^', '2']","['euclidean-geometry', 'triangles', 'visualization', 'triangle-inequality']"
633004ca837ac920af73698d_f_0_4_0,FUNC,n,a function,['n'],"['sequences-and-series', 'geometry', 'euclidean-geometry', 'education', 'alternative-proof']"
632f74e4837ac920af657b12_f_1_13_0,SCAL,-\frac{1}{4i},the constant,"['-', '\\frac', '{', '1', '}', '{', '4', 'i', '}']","['geometry', 'complex-numbers', 'euclidean-geometry', 'analytic-geometry', 'area']"
632fab0b837ac920af6ac6b4_f_1_0_0,FUNC,D,the midpoint,['D'],"['euclidean-geometry', 'triangles', 'area']"
632fdb00837ac920af6f7ca8_f_1_0_0,SCAL,1 ,Pink vertex number   f_1_0_0,1,['euclidean-geometry']
632fab0d837ac920af6ad79b_f_0_12_0,FUNC,K,the homothety maps,['K'],"['geometry', 'vectors', 'euclidean-geometry']"
632fb20e837ac920af6ae46a_f_1_33_0,FUNC,p:Z\to X,the map,"['p', ':', 'Z', '\\to', 'X']","['general-topology', 'euclidean-geometry', 'hyperbolic-geometry', 'covering-spaces', 'conformal-geometry']"
632fb20e837ac920af6ae46a_f_2_6_0,FUNC,f,the map   f_2_6_0,['f'],"['general-topology', 'euclidean-geometry', 'hyperbolic-geometry', 'covering-spaces', 'conformal-geometry']"
632fb20e837ac920af6ae744_f_1_0_0,SET,A \cup B,exactly a triangle,"['A', '\\cup', 'B']","['general-topology', 'geometry', 'euclidean-geometry', 'convex-geometry']"
633004cd837ac920af737f72_f_0_17_0,FUNC,"
I: R^n\times R^n\times R^n \rightarrow R
",a multilinear map   f_0_17_0   satisfy,"['I', ':', 'R', '^', 'n', '\\times', 'R', '^', 'n', '\\times', 'R', '^', 'n', '\\rightarrow', 'R']","['linear-algebra', 'geometry', 'euclidean-geometry', 'inner-products', 'tensors']"
632fe1c1837ac920af6fa20f_f_1_0_0,FUNC,x,the function,['x'],"['geometry', 'euclidean-geometry']"
632fb210837ac920af6af0bf_f_0_0_0,FUNC,d,a distance function,['d'],"['euclidean-geometry', 'riemannian-geometry', 'geometric-inequalities']"
633004ce837ac920af7387b6_f_1_14_0,SET,\mathbb{R}^2,circle - center set,"['\\mathbb{R}', '^', '2']","['geometry', 'set-theory', 'euclidean-geometry', 'triangles', 'triangle-centres']"
632f7c41837ac920af65c972_f_1_142_0,SCAL,1,The complex numbers,1,"['geometry', 'field-theory', 'euclidean-geometry', 'polygons']"
632fe1c7837ac920af6fca0d_f_0_4_0,SET,C(n),this set,"['C', '(', 'n', ')']","['euclidean-geometry', 'recreational-mathematics']"
