fid,mtype,exprstr,mention,tokens,tags
632f8347837ac920af66de03_f_0_6_0,SCAL,a+b,the value   f_0_6_0,"['a', '+', 'b']","['geometry', 'trigonometry']"
6327106906a69a3f488dc9d8_f_0_2_0,SCAL,x + iy,the complex number   f_0_2_0,"['x', '+', 'i', 'y']","['trigonometry', 'inequality', 'complex-numbers']"
6327106906a69a3f488dc9d8_f_2_1_0,SCAL,x + iy,number,"['x', '+', 'i', 'y']","['trigonometry', 'inequality', 'complex-numbers']"
6327106906a69a3f488dccdf_f_1_6_0,SCAL,[[x]],the fractional part,"['[', '[', 'x', ']', ']']","['real-analysis', 'analysis', 'limits', 'trigonometry', 'convergence-divergence']"
632f8349837ac920af66e8d9_f_0_0_0,FUNC,f: \mathbb{R} \to \mathbb{R},the function,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e8d9_f_1_0_0,FUNC,"f: \mathbb{R} \to [-1, 1]",  The function,"['f', ':', '\\mathbb{R}', '\\to', '[', '1', ',', '1', ']']","['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e8d9_f_1_25_0,FUNC,k,the function   f_1_25_0,['k'],"['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e8d9_f_1_29_0,FUNC,m,The function,['m'],"['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e918_f_1_5_0,SCAL,4,The maximal value,4,"['trigonometry', 'maxima-minima']"
6327106a06a69a3f488dd1d7_f_1_2_0,SCAL,1+xi,the complex number   f_1_2_0,"['1', '+', 'x', 'i']","['reference-request', 'trigonometry', 'irrational-numbers']"
6327106a06a69a3f488dd1d7_f_1_3_0,SCAL,(1+xi)^n,a real number,"['(', '1', '+', 'x', 'i', ')', '^', 'n']","['reference-request', 'trigonometry', 'irrational-numbers']"
632f8349837ac920af66e930_f_3_11_0,FUNC,f \colon \mathbb{R} \to \mathbb{R},the auxiliary function   f_3_11_0,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['real-analysis', 'sequences-and-series', 'trigonometry']"
6327106a06a69a3f488dd244_f_1_3_0,FUNC,f,a bijection,['f'],"['trigonometry', 'functions']"
6327106a06a69a3f488dd244_f_1_4_0,FUNC,g:Y\to X,a function   f_1_4_0,"['g', ':', 'Y', '\\to', 'X']","['trigonometry', 'functions']"
632f8349837ac920af66eb2d_f_2_4_0,FUNC,f,an analytic function,['f'],"['real-analysis', 'trigonometry', 'convergence-divergence', 'fourier-series', 'trigonometric-series']"
6327106a06a69a3f488dd265_f_2_2_0,FUNC,g,the function,['g'],['trigonometry']
632f8349837ac920af66edc1_f_2_23_0,SCAL,\frac{dy}{dx},constant,"['\\frac', '{', 'd', 'y', '}', '{', 'd', 'x', '}']","['calculus', 'trigonometry', 'derivatives', 'proof-verification', 'absolute-value']"
632f8349837ac920af66ee81_f_3_11_0,FUNC,f,a function   f_3_11_0,['f'],['trigonometry']
6327106a06a69a3f488dd74f_f_1_14_0,FUNC,\cos,the function,\cos,['trigonometry']
6327106a06a69a3f488dd74f_f_1_19_0,SCAL,1,the value,1,['trigonometry']
6327106a06a69a3f488dd84e_f_1_32_0,SCAL,g(744),the value,"['g', '(', '7', ')']","['algebra-precalculus', 'trigonometry']"
6327106a06a69a3f488dd84e_f_1_46_0,FUNC,f,our function   f_1_46_0,['f'],"['algebra-precalculus', 'trigonometry']"
632fb8e8837ac920af6c25d0_f_0_2_0,FUNC,f,the function,['f'],"['algebra-precalculus', 'multivariable-calculus', 'trigonometry']"
632f834a837ac920af66f4aa_f_1_12_0,FUNC,\sin,the functions,\sin,"['limits', 'trigonometry', 'derivatives', 'alternative-proof']"
6327106b06a69a3f488de199_f_1_3_0,SCAL,\frac{a}{b},a rational number   f_1_3_0,"['\\frac', '{', 'a', '}', '{', 'b', '}']",['trigonometry']
6327106b06a69a3f488de29a_f_1_13_0,SCAL,\dfrac{1}{5^{2n+1}},the fractions,"['\\dfrac', '{', '1', '}', '{', '5', '^', '{', '2', 'n', '+', '1', '}', '}']","['calculus', 'sequences-and-series', 'trigonometry', 'pi']"
632f834b837ac920af66f5dd_f_2_0_0,FUNC,\sin,the inverse   f_2_0_0   function,\sin,"['trigonometry', 'complex-numbers', 'inverse-function']"
632fb8e9837ac920af6c2a84_f_2_0_0,FUNC,\tan,The function,\tan,"['real-analysis', 'trigonometry', 'continuity', 'inverse-function']"
6327106b06a69a3f488de328_f_6_14_0,SCAL,1,number,1,"['trigonometry', 'functions', 'graphing-functions']"
6327106b06a69a3f488de328_f_6_18_0,FUNC,E,function,['E'],"['trigonometry', 'functions', 'graphing-functions']"
6327106b06a69a3f488de361_f_5_8_0,FUNC,\exp,the function,\exp,['trigonometry']
6327106b06a69a3f488de45a_f_2_6_0,FUNC,\sin,an odd function,\sin,"['algebra-precalculus', 'trigonometry']"
632f834b837ac920af66fa49_f_1_15_0,SCAL,\frac{2x}{x^2-1},an algebraic number,"['\\frac', '{', '2', 'x', '}', '{', 'x', '^', '2', '-', '1', '}']","['trigonometry', 'nonlinear-system']"
6327106b06a69a3f488de5b7_f_3_4_0,SCAL,1,the simpler numbers,1,"['trigonometry', 'triangles']"
632fb8ea837ac920af6c2f10_f_3_0_0,FUNC,y,the function,['y'],"['functions', 'trigonometry']"
6327106b06a69a3f488de777_f_1_2_0,FUNC,\sin,the sine function,\sin,"['algebra-precalculus', 'trigonometry']"
6327106b06a69a3f488de777_f_1_3_0,FUNC,\cos,the sine function,\cos,"['algebra-precalculus', 'trigonometry']"
632fbf4e837ac920af6c3508_f_0_3_0,SCAL,5 ,a constant angular speed,5,"['geometry', 'trigonometry', 'classical-mechanics']"
632f834c837ac920af66fec7_f_2_4_0,FUNC,f(x) = x,the function,"['f', '(', 'x', ')', '=', 'x']","['calculus', 'trigonometry', 'fourier-series']"
632f834c837ac920af66fec7_f_2_6_0,FUNC,f(x) = x,the   target   function   f_2_6_0,"['f', '(', 'x', ')', '=', 'x']","['calculus', 'trigonometry', 'fourier-series']"
632fbf4f837ac920af6c37a9_f_1_0_0,FUNC,f,A function,['f'],"['functions', 'trigonometry']"
6327106b06a69a3f488de938_f_2_5_0,SCAL,y(x),constant,"['y', '(', 'x', ')']","['calculus', 'trigonometry', 'integral-equations']"
632f834c837ac920af66fffc_f_0_5_0,SCAL,1,the constant functions,1,"['trigonometry', 'power-series', 'approximation', 'hyperbolic-functions']"
632fbf4f837ac920af6c399b_f_1_4_0,FUNC,u,the function,['u'],"['calculus', 'functions', 'derivatives', 'trigonometry', 'partial-derivative']"
6327106c06a69a3f488dea38_f_2_9_0,FUNC,f,the function   f_2_9_0,['f'],"['calculus', 'trigonometry', 'polynomials', 'derivatives']"
6327106c06a69a3f488dea83_f_0_0_0,FUNC,\cot,the image,\cot,['trigonometry']
632f834c837ac920af6700da_f_1_4_0,FUNC,f,The function   f_1_4_0,['f'],"['complex-analysis', 'trigonometry', 'polynomials']"
632f834d837ac920af6702ee_f_1_19_0,FUNC,h,the function,['h'],['trigonometry']
6327106c06a69a3f488deea7_f_2_0_0,FUNC,\cos,The function,\cos,"['complex-analysis', 'trigonometry', 'complex-numbers']"
6327106c06a69a3f488deea7_f_2_19_0,FUNC,\cos,the function,\cos,"['complex-analysis', 'trigonometry', 'complex-numbers']"
6327106c06a69a3f488def12_f_1_16_0,SCAL,1,the value    f_1_16_0,1,"['trigonometry', 'signal-processing']"
632f834e837ac920af670850_f_3_2_0,FUNC,f,a bijection,['f'],"['trigonometry', 'intuition']"
6327106c06a69a3f488df198_f_3_0_0,FUNC,\cosh,The functions,\cosh,"['trigonometry', 'hyperbolic-geometry', 'learning']"
632fbf51837ac920af6c4768_f_4_2_0,FUNC,x,the inner function,['x'],"['calculus', 'functions', 'trigonometry']"
6327106c06a69a3f488df1a6_f_1_0_0,SCAL,0,just what,0,"['integration', 'trigonometry']"
632fbf51837ac920af6c4768_f_4_9_0,FUNC,f(x)=x^2,  and the outer function,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['calculus', 'functions', 'trigonometry']"
6327106c06a69a3f488df1a6_f_2_17_0,FUNC,F,some function   f_2_17_0,['F'],"['integration', 'trigonometry']"
6327106c06a69a3f488df1a6_f_2_33_0,FUNC,F,the function   f_2_33_0,['F'],"['integration', 'trigonometry']"
6327106c06a69a3f488df1a6_f_2_41_0,FUNC,f,function,['f'],"['integration', 'trigonometry']"
632f834e837ac920af670c52_f_1_9_0,SCAL,1,the constant,1,"['trigonometry', 'products', 'angle']"
632fbf51837ac920af6c49ba_f_0_19_0,FUNC,x,f_0_18_0   quadratic function,['x'],"['geometry', 'trigonometry', 'euclidean-geometry', 'alternative-proof', 'transformational-geometry']"
632f834e837ac920af670ca2_f_2_19_0,FUNC,f,a continuous real function,['f'],"['functions', 'trigonometry']"
632f834f837ac920af670ec9_f_3_3_0,FUNC,f,the function   f_3_3_0,['f'],['trigonometry']
6327106d06a69a3f488df5cf_f_3_27_0,SCAL,1/4,the ' nice ' value,"['1', '/', '4']","['trigonometry', 'approximation']"
632fbf52837ac920af6c52a0_f_0_5_0,SCAL,1,the real number   f_0_5_0,1,"['algebra-precalculus', 'trigonometry']"
6327106d06a69a3f488df71c_f_0_14_0,SCAL,2^y,an unsigned number,"['2', '^', 'y']","['trigonometry', 'numerical-methods', 'approximation', 'signal-processing', 'computational-mathematics']"
632fbf53837ac920af6c53d3_f_1_0_0,FUNC,f(x)=a^x,the exponential function,"['f', '(', 'x', ')', '=', 'a', '^', 'x']","['functions', 'trigonometry', 'logarithms', 'exponential-function', 'exponentiation']"
632f89f5837ac920af6712bc_f_1_11_0,SCAL,1.9189,an approximate value,"['1', '9']","['trigonometry', 'systems-of-equations', 'hyperbolic-functions']"
6327106d06a69a3f488df84f_f_1_22_0,FUNC,x,f_1_21_0    maps,['x'],"['calculus', 'algebra-precalculus', 'trigonometry', 'functions', 'notation']"
6327106d06a69a3f488df84f_f_2_6_0,FUNC,f,a   function    f_2_6_0,['f'],"['calculus', 'algebra-precalculus', 'trigonometry', 'functions', 'notation']"
6327106d06a69a3f488df84f_f_2_16_0,FUNC,f,a function   f_2_16_0,['f'],"['calculus', 'algebra-precalculus', 'trigonometry', 'functions', 'notation']"
632f89f5837ac920af67146e_f_0_6_0,SCAL,[h],a very small positive number f_0_6_0,"['[', 'h', ']']","['limits', 'trigonometry', 'ceiling-and-floor-functions']"
6327106d06a69a3f488df936_f_0_2_0,FUNC,y,the second function,['y'],['trigonometry']
632f89f5837ac920af6714a4_f_0_3_0,SCAL,e^{(-a)},a real number,"['e', '^', '{', '(', '-', 'a', ')', '}']","['trigonometry', 'complex-numbers']"
632f89f5837ac920af6714a4_f_5_2_0,FUNC,\cosh,the hyperbolic functions,\cosh,"['trigonometry', 'complex-numbers']"
632f89f5837ac920af67150a_f_2_0_0,FUNC,f,the function,['f'],"['trigonometry', 'derivatives']"
632f89f5837ac920af67150a_f_2_18_0,FUNC,f,function,['f'],"['trigonometry', 'derivatives']"
632f89f5837ac920af67150a_f_2_25_0,FUNC,f,the function   f_2_25_0,['f'],"['trigonometry', 'derivatives']"
6327106d06a69a3f488dfbef_f_1_8_0,SCAL,0,A fraction,0,"['trigonometry', 'contest-math']"
632f89f5837ac920af6716fc_f_0_2_0,FUNC,x,floor function,['x'],"['limits', 'trigonometry', 'ceiling-and-floor-functions']"
632fbf54837ac920af6c59ed_f_3_3_0,FUNC,\tan,an odd function,\tan,"['complex-analysis', 'functional-analysis', 'trigonometry', 'complex-numbers']"
6327106d06a69a3f488dfe05_f_0_1_0,SCAL,8 ,Question number   f_0_1_0,8,"['trigonometry', 'applications']"
63271c3106a69a3f488dfe44_f_3_2_0,FUNC,f,the function,['f'],"['calculus', 'algebra-precalculus', 'trigonometry']"
63271c3106a69a3f488dfe44_f_6_1_0,SCAL,0,obvious,0,"['calculus', 'algebra-precalculus', 'trigonometry']"
632f89f6837ac920af671f53_f_1_0_0,FUNC,e,trig functions,['e'],"['trigonometry', 'pi']"
63271c3206a69a3f488e073e_f_1_6_0,SCAL,e^{i},a trascendental number,"['e', '^', '{', 'i', '}']","['trigonometry', 'rationality-testing']"
63271c3206a69a3f488e08b1_f_3_2_0,SCAL,10 ,the number,1,"['algebra-precalculus', 'trigonometry']"
63271c3206a69a3f488e08b1_f_3_3_0,SCAL,1/4,the number   f_3_3_0,"['1', '/', '4']","['algebra-precalculus', 'trigonometry']"
63271c3206a69a3f488e094d_f_2_6_0,SCAL,0,the Dottie number,0,"['sequences-and-series', 'functions', 'trigonometry', 'infinity', 'trigonometric-series']"
63271c3206a69a3f488e094d_f_2_10_0,SCAL,1,the Dottie number,1,"['sequences-and-series', 'functions', 'trigonometry', 'infinity', 'trigonometric-series']"
63271c3206a69a3f488e094d_f_2_17_0,SCAL,2,the Dottie number,2,"['sequences-and-series', 'functions', 'trigonometry', 'infinity', 'trigonometric-series']"
632f89f7837ac920af6721e4_f_2_2_0,FUNC,f,an increasing function,['f'],"['real-analysis', 'trigonometry', 'exponential-function', 'hyperbolic-functions', 'inverse-function']"
632f89f7837ac920af67227e_f_0_5_0,FUNC,"f(x,y) = 0",the respective implicit function   f_0_5_0,"['f', '(', 'x', ',', 'y', ')', '=', '0']","['algebra-precalculus', 'trigonometry', 'parametric', 'curves']"
632f89f7837ac920af67227e_f_0_8_0,FUNC,"f(x,y) = 0",the respective implicit function   f_0_8_0,"['f', '(', 'x', ',', 'y', ')', '=', '0']","['algebra-precalculus', 'trigonometry', 'parametric', 'curves']"
632fbf55837ac920af6c6597_f_1_0_0,FUNC,\arcsin,the better notation,\arcsin,"['trigonometry', 'inverse-function']"
632fbf55837ac920af6c6597_f_2_13_0,SCAL,f^{-1}(y),a number,"['f', '^', '{', '-', '1', '}', '(', 'y', ')']","['trigonometry', 'inverse-function']"
632fbf55837ac920af6c6612_f_3_1_0,FUNC,\cos,the function,\cos,['trigonometry']
632fbf56837ac920af6c6813_f_4_10_0,SCAL,a+ib,a complex number   f_4_10_0   satisfies   f_4_11_0,"['a', '+', 'i', 'b']","['trigonometry', 'inverse-function']"
632f89f8837ac920af672b33_f_1_5_0,SCAL,x+yi,the complex number,"['x', '+', 'y', 'i']","['geometry', 'trigonometry']"
63271c3306a69a3f488e165f_f_1_5_0,FUNC,\ln,the function,\ln,"['functions', 'trigonometry', 'notation']"
63271c3306a69a3f488e165f_f_2_14_0,FUNC,f,function,['f'],"['functions', 'trigonometry', 'notation']"
63271c3406a69a3f488e17a5_f_3_38_0,SET,S^1,an open set,"['S', '^', '1']","['general-topology', 'trigonometry', 'continuity', 'inverse']"
632f89f9837ac920af67303c_f_1_14_0,FUNC,a,a function,['a'],['trigonometry']
632ffddb837ac920af727edb_f_0_2_0,SCAL,136 ,the value,1,"['integration', 'trigonometry', 'polar-coordinates', 'computational-mathematics']"
632ffddb837ac920af727edb_f_0_4_0,SCAL,2 ,the real value,2,"['integration', 'trigonometry', 'polar-coordinates', 'computational-mathematics']"
632ffddc837ac920af728158_f_1_11_0,SCAL,1,the values,1,"['algebra-precalculus', 'trigonometry', 'inverse-function']"
632ffddc837ac920af72816b_f_0_3_0,SCAL,f(x),the minimum value,"['f', '(', 'x', ')']","['algebra-precalculus', 'trigonometry', 'inverse-function']"
632ffddc837ac920af72816b_f_1_1_0,SCAL,-1,value,"['-', '1']","['algebra-precalculus', 'trigonometry', 'inverse-function']"
632ffddc837ac920af728422_f_1_4_0,SCAL,171.4640044506\cdots,the exact value,"['1', '4', '\\cdot', 's']","['calculus', 'sequences-and-series', 'algebra-precalculus', 'trigonometry']"
632fbf58837ac920af6c79c2_f_0_2_0,FUNC,"f:\mathbb{R}\to[0,1]",a function   f_0_2_0,"['f', ':', '\\mathbb{R}', '\\to', '[', '0', ',', '1', ']']","['calculus', 'functions', 'trigonometry', 'roots']"
632fbf58837ac920af6c79c2_f_0_8_0,FUNC,f,what,['f'],"['calculus', 'functions', 'trigonometry', 'roots']"
632fbf58837ac920af6c79c2_f_1_7_0,SCAL,1/2,the value   f_1_7_0,"['1', '/', '2']","['calculus', 'functions', 'trigonometry', 'roots']"
632fbf58837ac920af6c79ff_f_0_0_0,FUNC,f,a function,['f'],"['real-analysis', 'calculus', 'trigonometry']"
632fbf58837ac920af6c79ff_f_2_0_0,FUNC,f,The function,['f'],"['real-analysis', 'calculus', 'trigonometry']"
632ffddd837ac920af728809_f_2_7_0,SCAL,ix,value,"['i', 'x']","['trigonometry', 'complex-numbers', 'inverse-function']"
63271c3406a69a3f488e207a_f_2_2_0,SCAL,1,the value,1,['trigonometry']
63271c3506a69a3f488e230b_f_1_12_0,FUNC,g,any holomorphic function,['g'],"['complex-analysis', 'trigonometry', 'complex-numbers']"
632f89fa837ac920af673958_f_2_32_0,FUNC,f(x) = x,The sine function,"['f', '(', 'x', ')', '=', 'x']","['trigonometry', 'graphing-functions']"
63271c3506a69a3f488e268f_f_0_7_0,FUNC, f ,the function,['f'],"['integration', 'trigonometry', 'pi']"
632f89fa837ac920af673a71_f_0_0_0,FUNC,f,  A function   f_0_0_0,['f'],['trigonometry']
632ffddf837ac920af7294a1_f_0_1_0,SCAL,50 ,constants,5,['trigonometry']
632fbf5b837ac920af6c8aec_f_2_0_0,SCAL,-1-2i,The number,"['-', '1', '-', '2', 'i']","['complex-analysis', 'trigonometry', 'complex-numbers']"
632f89fb837ac920af673ca0_f_1_7_0,FUNC,f,a linear function,['f'],"['geometry', 'trigonometry', 'puzzle']"
632fbf5b837ac920af6c8daf_f_0_11_0,FUNC,f,such a function,['f'],"['calculus', 'ordinary-differential-equations', 'functions', 'derivatives', 'trigonometry']"
632fbf5b837ac920af6c8f7c_f_1_3_0,FUNC,\log \circ \sin,the ( concave ) function   f_1_3_0,"['\\log', '\\circ', '\\sin']","['algebra-precalculus', 'trigonometry', 'inequality']"
63271c3606a69a3f488e3618_f_1_29_0,SCAL,0 ,the constant speed,0,"['calculus', 'algebra-precalculus', 'geometry', 'trigonometry']"
632f89fc837ac920af674339_f_1_2_0,FUNC,f,A function   f_1_2_0,['f'],['trigonometry']
632ffde1837ac920af72a17d_f_1_12_0,FUNC,z,function,['z'],"['matrices', 'trigonometry', 'inequality', 'systems-of-equations', 'determinant']"
632fbf5c837ac920af6c95af_f_0_2_0,FUNC,f:A\to\mathbb{R},the function   f_0_2_0,"['f', ':', 'A', '\\to', '\\mathbb{R}']","['functions', 'trigonometry', 'recreational-mathematics']"
632f89fc837ac920af674569_f_0_1_0,FUNC,f\colon \mathbb{R}^2 \to \mathbb{R},two functions,"['f', '\\colon', '\\mathbb{R}', '^', '2', '\\to', '\\mathbb{R}']","['real-analysis', 'trigonometry']"
632f89fc837ac920af674700_f_1_1_0,SCAL,-1,the values,"['-', '1']","['functions', 'trigonometry']"
632ffde2837ac920af72aa1f_f_0_1_0,SCAL,48 ,page   f_0_1_0 question number,4,['trigonometry']
632f89fd837ac920af67497b_f_2_11_0,SCAL,m/n,the fraction,"['m', '/', 'n']","['algebra-precalculus', 'trigonometry', 'periodic-functions']"
632ffde2837ac920af72aa68_f_1_5_0,FUNC,A,a function,['A'],"['geometry', 'functions', 'trigonometry', 'area']"
632ffde2837ac920af72aa68_f_1_7_0,FUNC,S,a function,['S'],"['geometry', 'functions', 'trigonometry', 'area']"
632ffde2837ac920af72abd3_f_1_5_0,FUNC, \arctan ,an odd function,\arctan,"['trigonometry', 'complex-numbers']"
63271c3806a69a3f488e4c02_f_1_0_0,FUNC,f,a function,['f'],['trigonometry']
632fbf5e837ac920af6ca23d_f_1_5_0,SCAL,(1-6x^2)+5xi,a complex number,"['(', '1', '-', '6', 'x', '^', '2', ')', '+', '5', 'x', 'i']","['trigonometry', 'inverse-function']"
632f89fd837ac920af674b55_f_1_5_0,SET,S^1,the set,"['S', '^', '1']","['linear-algebra', 'trigonometry']"
632fbf5e837ac920af6ca247_f_2_5_0,FUNC,g,a trigonometric function,['g'],"['calculus', 'trigonometry', 'trigonometric-integrals']"
632fbf5e837ac920af6ca247_f_2_9_0,FUNC,h,a hyperbolic function,['h'],"['calculus', 'trigonometry', 'trigonometric-integrals']"
632fbf5e837ac920af6ca318_f_1_17_0,SCAL,\frac{p}{q},some rational number   f_1_17_0,"['\\frac', '{', 'p', '}', '{', 'q', '}']","['real-analysis', 'calculus', 'sequences-and-series', 'trigonometry', 'summation']"
63271c3906a69a3f488e4d88_f_8_0_0,SCAL,1,the number,1,['trigonometry']
632fbf5e837ac920af6ca5d5_f_0_0_0,FUNC,F:\mathbb{R}\to\mathbb{R},the function,"['F', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']",['trigonometry']
632f89fd837ac920af674cf2_f_2_187_0,SCAL,v + w,such that the numbers,"['v', '+', 'w']","['geometry', 'trigonometry', 'inequality', 'contest-math']"
632f89fd837ac920af674cf2_f_2_225_0,SCAL,v + w,the numbers,"['v', '+', 'w']","['geometry', 'trigonometry', 'inequality', 'contest-math']"
632f89fd837ac920af674cf2_f_2_243_0,SCAL,v + w,the numbers,"['v', '+', 'w']","['geometry', 'trigonometry', 'inequality', 'contest-math']"
632f89fd837ac920af674cf2_f_2_317_0,SCAL,v + w,the numbers,"['v', '+', 'w']","['geometry', 'trigonometry', 'inequality', 'contest-math']"
63271c3906a69a3f488e5170_f_0_5_0,SCAL,10,only upto   f_0_5_0   digits,1,"['trigonometry', 'approximation', 'pi']"
632f89fe837ac920af674f63_f_0_2_0,SCAL,\dfrac{c}{a-b}+\dfrac{a}{b-c}+\dfrac{b}{c-a},the value,"['\\dfrac', '{', 'c', '}', '{', 'a', '-', 'b', '}', '+', '\\dfrac', '{', 'a', '}', '{', 'b', '-', 'c', '}', '+', '\\dfrac', '{', 'b', '}', '{', 'c', '-', 'a', '}']","['calculus', 'trigonometry']"
632f89fe837ac920af6750fd_f_2_0_0,FUNC,\sin,just the sine function,\sin,['trigonometry']
632f89fe837ac920af6750fd_f_2_1_0,FUNC,\cos,") , the cosine function",\cos,['trigonometry']
632f89fe837ac920af6750fd_f_2_2_0,FUNC,\tan,", and the tangent function",\tan,['trigonometry']
632fbf5f837ac920af6caa13_f_0_0_0,FUNC,\tan,the inverse   f_0_0_0   function,\tan,"['complex-analysis', 'trigonometry', 'logarithms', 'inverse-function']"
632fbf5f837ac920af6caa13_f_1_0_0,FUNC,\log,a function,\log,"['complex-analysis', 'trigonometry', 'logarithms', 'inverse-function']"
632ffde4837ac920af72b94d_f_1_0_0,SCAL,1/n,and so rational numbers,"['1', '/', 'n']","['trigonometry', 'diophantine-equations', 'irrational-numbers']"
632fbf5f837ac920af6cab89_f_0_0_0,FUNC,\sin,elementary trigonometric functions,\sin,"['trigonometry', 'elementary-functions']"
632fbf5f837ac920af6cad61_f_0_0_0,FUNC,"L: \mathbb{R}^2 \rightarrow
 \mathbb{R}^2",a linear map,"['L', ':', '\\mathbb{R}', '^', '2', '\\rightarrow', '\\mathbb{R}', '^', '2']","['linear-algebra', 'matrices', 'trigonometry', 'linear-transformations']"
