fid,mtype,exprstr,mention,tokens,tags
6327106306a69a3f488d819b_f_1_27_0,FUNC,f:A\rightarrow B,the function,"['f', ':', 'A', '\\rightarrow', 'B']",['elementary-set-theory']
6327106306a69a3f488d819b_f_3_69_0,SET,A^B,The set,"['A', '^', 'B']",['elementary-set-theory']
6327106306a69a3f488d819b_f_3_88_0,SET,\{3\},the set   f_3_88_0,"['\\{', '3', '\\}']",['elementary-set-theory']
6327106306a69a3f488d81ad_f_1_165_0,SCAL,1,the constant sequence,1,"['general-topology', 'elementary-set-theory', 'order-theory', 'lattice-orders', 'limsup-and-liminf']"
6327106306a69a3f488d8258_f_0_0_0,FUNC,f:\mathbb{R} \to \mathbb{R},functions,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d827e_f_0_3_0,SET,\mathbb{Z},infinite sets,\mathbb{Z},"['elementary-set-theory', 'relations', 'cardinals']"
6327106306a69a3f488d835c_f_0_0_0,FUNC,"f: \mathbb{Q} \rightarrow \{1,2,3\}",functions,"['f', ':', '\\mathbb{Q}', '\\rightarrow', '\\{', '1', ',', '2', ',', '3', '\\}']","['functions', 'elementary-set-theory', 'infinity']"
6327106306a69a3f488d835c_f_1_0_0,FUNC,"f\colon\mathbb{N}\to\{1,2,3\}",functions,"['f', '\\colon', '\\mathbb{N}', '\\to', '\\{', '1', ',', '2', ',', '3', '\\}']","['functions', 'elementary-set-theory', 'infinity']"
6327106306a69a3f488d83a1_f_1_30_0,FUNC,X,nothing,['X'],['elementary-set-theory']
6327106306a69a3f488d83a1_f_1_37_0,SET,\{0\},the subset,"['\\{', '0', '\\}']",['elementary-set-theory']
6327106306a69a3f488d83a1_f_1_50_0,FUNC,f,function,['f'],['elementary-set-theory']
6327106306a69a3f488d8586_f_2_8_0,FUNC,F,no class function,['F'],"['elementary-set-theory', 'logic']"
6327106306a69a3f488d86a4_f_0_9_0,FUNC,f:\mathbb R \rightarrow A,this injective function,"['f', ':', '\\mathbb', 'R', '\\rightarrow', 'A']",['elementary-set-theory']
6327106306a69a3f488d86a7_f_0_4_0,FUNC,A,all functions,['A'],"['functions', 'elementary-set-theory']"
6327106306a69a3f488d86cb_f_0_1_0,SET,A^B,the set,"['A', '^', 'B']","['elementary-set-theory', 'cardinals']"
6327106306a69a3f488d875d_f_1_2_0,FUNC,f,a function   f_1_2_0,['f'],['elementary-set-theory']
6327106306a69a3f488d875f_f_1_0_0,FUNC,f,the function,['f'],['elementary-set-theory']
6327106306a69a3f488d875f_f_3_0_0,FUNC,n,a function,['n'],['elementary-set-theory']
6327106306a69a3f488d875f_f_3_5_0,FUNC,f\colon\mathbb{R}\to\mathbb{R},function,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']",['elementary-set-theory']
6327106306a69a3f488d87aa_f_1_28_0,SET,\mathbb{R},closed and open subsets,\mathbb{R},"['analysis', 'elementary-set-theory']"
6327106306a69a3f488d8800_f_2_1_0,SET,\varnothing,set,\varnothing,['elementary-set-theory']
6327106306a69a3f488d8800_f_2_21_0,FUNC,F,a function,['F'],['elementary-set-theory']
6327106306a69a3f488d8827_f_1_2_0,FUNC, g \circ f,functions,"['g', '\\circ', 'f']","['functions', 'elementary-set-theory']"
6327106306a69a3f488d8827_f_3_5_0,FUNC,g\circ f,a function,"['g', '\\circ', 'f']","['functions', 'elementary-set-theory']"
6327106306a69a3f488d8841_f_0_8_0,SET,X\cup Y,sets,"['X', '\\cup', 'Y']",['elementary-set-theory']
6327106306a69a3f488d8841_f_0_11_0,FUNC,W,The identity function maps,['W'],['elementary-set-theory']
6327106306a69a3f488d8841_f_0_16_0,FUNC,f\colon X\cup Y\to Y,an injection   f_0_16_0,"['f', '\\colon', 'X', '\\cup', 'Y', '\\to', 'Y']",['elementary-set-theory']
6327106306a69a3f488d8841_f_2_0_0,FUNC,f\colon X\cup Y\to Y,an injection,"['f', '\\colon', 'X', '\\cup', 'Y', '\\to', 'Y']",['elementary-set-theory']
6327106406a69a3f488d8951_f_0_0_0,SCAL,2 ,unique number,2,"['functions', 'elementary-set-theory']"
6327106406a69a3f488d8993_f_0_3_0,FUNC,b,a bijection   f_0_3_0,['b'],"['computer-science', 'elementary-set-theory']"
6327106406a69a3f488d8993_f_1_4_0,FUNC,A,function,['A'],"['computer-science', 'elementary-set-theory']"
6327106406a69a3f488d899e_f_1_8_0,FUNC,g,an injection,['g'],['elementary-set-theory']
6327106406a69a3f488d8a95_f_2_5_0,SCAL,0,the number   f_2_5_0,0,['elementary-set-theory']
6327106406a69a3f488d8a95_f_3_3_0,FUNC,f,", e.g. a partial function   f_3_3_0",['f'],['elementary-set-theory']
6327106406a69a3f488d8a95_f_4_36_0,FUNC,f:S\times S\to S,"f_4_35_0 , a function   f_4_36_0","['f', ':', 'S', '\\times', 'S', '\\to', 'S']",['elementary-set-theory']
6327106406a69a3f488d8c42_f_3_0_0,SET,"\{a,b\}",same,"['\\{', 'a', ',', 'b', '\\}']","['elementary-set-theory', 'definition']"
6327106406a69a3f488d8c42_f_4_10_0,SET,A^2,the set,"['A', '^', '2']","['elementary-set-theory', 'definition']"
6327106406a69a3f488d8c42_f_5_3_0,SET,"\{b,a,d,c\}",the same set,"['\\{', 'b', ',', 'a', ',', 'd', ',', 'c', '\\}']","['elementary-set-theory', 'definition']"
6327106406a69a3f488d8d83_f_1_4_0,FUNC,f:\mathbb{N}\times\mathbb{N}\rightarrow\mathbb{N},any bijection   f_1_4_0,"['f', ':', '\\mathbb{N}', '\\times', '\\mathbb{N}', '\\rightarrow', '\\mathbb{N}']","['real-analysis', 'elementary-set-theory']"
6327106406a69a3f488d8f26_f_0_2_0,FUNC,f,a function,['f'],"['functions', 'elementary-set-theory']"
6327106406a69a3f488d8f35_f_1_0_0,SET,"\{x,y\}",the set   f_1_0_0,"['\\{', 'x', ',', 'y', '\\}']","['combinatorics', 'soft-question', 'elementary-set-theory', 'intuition', 'order-theory']"
6327106406a69a3f488d8f35_f_1_13_0,FUNC,f\colon X\to\mathbb{N},a bijection   f_1_13_0,"['f', '\\colon', 'X', '\\to', '\\mathbb{N}']","['combinatorics', 'soft-question', 'elementary-set-theory', 'intuition', 'order-theory']"
6327106406a69a3f488d8f35_f_1_15_0,FUNC,f\colon X\to\mathbb{N},a bijection   f_1_15_0,"['f', '\\colon', 'X', '\\to', '\\mathbb{N}']","['combinatorics', 'soft-question', 'elementary-set-theory', 'intuition', 'order-theory']"
6327106406a69a3f488d8f35_f_1_21_0,FUNC,f,a different bijection   f_1_21_0,['f'],"['combinatorics', 'soft-question', 'elementary-set-theory', 'intuition', 'order-theory']"
6327106406a69a3f488d8fb2_f_3_0_0,FUNC,"f:(-1,1)\rightarrow[-1,1]",a bijection,"['f', ':', '(', '1', ',', '1', ')', '\\rightarrow', '[', '1', ',', '1', ']']","['calculus', 'elementary-set-theory']"
6327106406a69a3f488d91b2_f_1_6_0,SCAL,2,an even number,2,['elementary-set-theory']
6327106406a69a3f488d91d6_f_1_2_0,FUNC,f:\mathbb{R}\to K\cup \mathbb{N},a bijection   f_1_2_0,"['f', ':', '\\mathbb{R}', '\\to', 'K', '\\cup', '\\mathbb{N}']","['elementary-set-theory', 'cardinals', 'axiom-of-choice']"
6327106406a69a3f488d91d6_f_1_10_0,FUNC,g:\mathbb{R}\to K,a bijection,"['g', ':', '\\mathbb{R}', '\\to', 'K']","['elementary-set-theory', 'cardinals', 'axiom-of-choice']"
6327106406a69a3f488d91d6_f_2_2_0,FUNC,f,a bijection,['f'],"['elementary-set-theory', 'cardinals', 'axiom-of-choice']"
6327106406a69a3f488d91d6_f_2_5_0,FUNC,g: \mathbb N \to A,an injection,"['g', ':', '\\mathbb', 'N', '\\to', 'A']","['elementary-set-theory', 'cardinals', 'axiom-of-choice']"
6327106406a69a3f488d91d6_f_2_12_0,SET,\mathbb N,the set,"['\\mathbb', 'N']","['elementary-set-theory', 'cardinals', 'axiom-of-choice']"
6327106406a69a3f488d9209_f_0_5_0,FUNC,f\colon X\to X,some bijection   f_0_5_0,"['f', '\\colon', 'X', '\\to', 'X']","['elementary-set-theory', 'cardinals']"
6327106406a69a3f488d9209_f_1_19_0,FUNC,g,a bijection,['g'],"['elementary-set-theory', 'cardinals']"
6327106406a69a3f488d9209_f_2_2_0,FUNC,g,a function,['g'],"['elementary-set-theory', 'cardinals']"
6327106406a69a3f488d92ae_f_0_0_0,SET,\mathbb{R},each subsets,\mathbb{R},['elementary-set-theory']
6327106406a69a3f488d9366_f_0_34_0,FUNC,y,functions,['y'],['elementary-set-theory']
6327106406a69a3f488d9366_f_1_4_0,FUNC,F,a function,['F'],['elementary-set-theory']
6327106406a69a3f488d9366_f_1_45_0,FUNC,G,a function,['G'],['elementary-set-theory']
6327106406a69a3f488d9409_f_1_15_0,FUNC,f,a choice function   f_1_15_0,['f'],"['elementary-set-theory', 'order-theory', 'axiom-of-choice']"
6327106406a69a3f488d9412_f_2_10_0,FUNC,f\colon A\to\mathbb{N},bijections,"['f', '\\colon', 'A', '\\to', '\\mathbb{N}']","['analysis', 'elementary-set-theory', 'puzzle', 'axiom-of-choice']"
6327106406a69a3f488d9417_f_0_0_0,FUNC,f,function,['f'],"['elementary-set-theory', 'category-theory', 'limits-colimits']"
6327106406a69a3f488d9417_f_0_2_0,FUNC,y,a function,['y'],"['elementary-set-theory', 'category-theory', 'limits-colimits']"
6327106406a69a3f488d9417_f_2_1_0,FUNC,s:B\rightarrow E,a function   f_2_1_0,"['s', ':', 'B', '\\rightarrow', 'E']","['elementary-set-theory', 'category-theory', 'limits-colimits']"
6327106406a69a3f488d94ad_f_0_2_0,SET,"\{a,b\}",a set,"['\\{', 'a', ',', 'b', '\\}']","['elementary-set-theory', 'axioms']"
6327106406a69a3f488d94ad_f_3_26_0,SET,"\{x,y\}",a set,"['\\{', 'x', ',', 'y', '\\}']","['elementary-set-theory', 'axioms']"
6327106506a69a3f488d9a73_f_1_1_0,FUNC,F,a choice function,['F'],"['elementary-set-theory', 'axiom-of-choice']"
6327106506a69a3f488d9a73_f_3_4_0,FUNC,f,a choice function,['f'],"['elementary-set-theory', 'axiom-of-choice']"
6327106506a69a3f488d9a75_f_1_29_0,FUNC,f,a function,['f'],['elementary-set-theory']
632f834a837ac920af66eff9_f_0_0_0,FUNC,f:A\to B,a function,"['f', ':', 'A', '\\to', 'B']","['functions', 'elementary-set-theory']"
6327106506a69a3f488d9aa6_f_3_4_0,FUNC,"f: (0,1) \rightarrow \mathbb{N}",any function,"['f', ':', '(', '0', ',', '1', ')', '\\rightarrow', '\\mathbb{N}']",['elementary-set-theory']
6327106506a69a3f488d9aa6_f_3_6_0,FUNC,f,any function   f_3_6_0,['f'],['elementary-set-theory']
632f834a837ac920af66f00e_f_0_0_0,FUNC,f,a real function,['f'],['elementary-set-theory']
632f834a837ac920af66f00e_f_0_13_0,FUNC,f,the function,['f'],['elementary-set-theory']
6327106506a69a3f488d9abe_f_1_0_0,SET,A(i),sets,"['A', '(', 'i', ')']",['elementary-set-theory']
632f834a837ac920af66f167_f_0_2_0,SCAL,5 ,the number   f_0_2_0,5,['elementary-set-theory']
632f834a837ac920af66f1ac_f_2_0_0,SET,"(a,b)",Every set,"['(', 'a', ',', 'b', ')']","['general-topology', 'elementary-set-theory']"
6327106506a69a3f488d9adb_f_3_0_0,FUNC,f : \mathbb N \to X,a function,"['f', ':', '\\mathbb', 'N', '\\to', 'X']","['elementary-set-theory', 'order-theory', 'model-theory']"
632f834a837ac920af66f1fe_f_0_0_0,FUNC,f:E\to F,a function,"['f', ':', 'E', '\\to', 'F']",['elementary-set-theory']
6327106506a69a3f488d9ba3_f_0_13_0,FUNC,F,a choice function,['F'],"['elementary-set-theory', 'axiom-of-choice']"
6327106506a69a3f488d9ba3_f_1_10_0,FUNC,h \colon A \cup B \rightarrow F,a function,"['h', '\\colon', 'A', '\\cup', 'B', '\\rightarrow', 'F']","['elementary-set-theory', 'axiom-of-choice']"
632f834a837ac920af66f34c_f_0_5_0,SET,"[0,1]",a subset,"['[', '0', ',', '1', ']']","['general-topology', 'elementary-set-theory', 'equivalence-relations', 'set-partition']"
6327106506a69a3f488d9ba3_f_3_11_0,FUNC,g,a choice function   f_3_11_0,['g'],"['elementary-set-theory', 'axiom-of-choice']"
6327106506a69a3f488d9c7d_f_2_12_0,FUNC,H,this function,['H'],['elementary-set-theory']
632f834a837ac920af66f4c1_f_0_0_0,FUNC,f:\mathbb{N} \rightarrow \mathbb{N},a bijection,"['f', ':', '\\mathbb{N}', '\\rightarrow', '\\mathbb{N}']",['elementary-set-theory']
632f834b837ac920af66f558_f_0_1_0,FUNC,h,a bijective function,['h'],"['functions', 'elementary-set-theory']"
6327106506a69a3f488d9d7f_f_2_78_0,FUNC,f,the function,['f'],['elementary-set-theory']
6327106506a69a3f488d9d7f_f_2_86_0,FUNC,g,some   other   function   f_2_86_0,['g'],['elementary-set-theory']
6327106506a69a3f488d9d7f_f_2_101_0,FUNC,f\colon\mathbb{N}\to X,a function,"['f', '\\colon', '\\mathbb{N}', '\\to', 'X']",['elementary-set-theory']
6327106506a69a3f488d9d7f_f_2_135_0,FUNC,h,this map,['h'],['elementary-set-theory']
6327106506a69a3f488d9d7f_f_2_152_0,FUNC,f\colon\mathbb{N}\to\mathbb{R},any function,"['f', '\\colon', '\\mathbb{N}', '\\to', '\\mathbb{R}']",['elementary-set-theory']
6327106506a69a3f488d9d7f_f_3_11_0,SCAL,4 ,real numbers,4,['elementary-set-theory']
6327106506a69a3f488d9d7f_f_3_16_0,SCAL,10 ,an ordinary base   f_3_16_0 decimal number,1,['elementary-set-theory']
6327106506a69a3f488d9dd4_f_1_4_0,FUNC,f\colon X\to Y,a bijection   f_1_4_0,"['f', '\\colon', 'X', '\\to', 'Y']","['elementary-set-theory', 'notation', 'infinity']"
6327106506a69a3f488d9dd4_f_1_19_0,SCAL,0,the natural numbers,0,"['elementary-set-theory', 'notation', 'infinity']"
632f834c837ac920af66fb72_f_0_1_0,FUNC,f,a bijection,['f'],"['elementary-set-theory', 'proof-verification', 'proof-writing']"
632f834c837ac920af66fb72_f_0_5_0,FUNC,f,a bijection,['f'],"['elementary-set-theory', 'proof-verification', 'proof-writing']"
6327106506a69a3f488d9ea3_f_1_5_0,FUNC,f : X \to \{ a \},most one function,"['f', ':', 'X', '\\to', '\\{', 'a', '\\}']","['functions', 'elementary-set-theory', 'computer-science', 'lambda-calculus']"
632f834c837ac920af66fb72_f_0_21_0,FUNC,f,a bijection,['f'],"['elementary-set-theory', 'proof-verification', 'proof-writing']"
6327106506a69a3f488d9ea3_f_1_21_0,FUNC,f : A \to B,the individual function,"['f', ':', 'A', '\\to', 'B']","['functions', 'elementary-set-theory', 'computer-science', 'lambda-calculus']"
632f834c837ac920af66feb9_f_1_8_0,FUNC,f :\mathbb{R} \to \mathbb{R}^2,injective functions,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}', '^', '2']","['discrete-mathematics', 'elementary-set-theory']"
6327106606a69a3f488da074_f_0_0_0,SET,\mathbb{Q},the set,\mathbb{Q},['elementary-set-theory']
6327106606a69a3f488da086_f_0_0_0,FUNC,f,a function,['f'],"['functional-analysis', 'elementary-set-theory', 'limits', 'general-topology']"
632f834c837ac920af670137_f_1_0_0,SET,A\cap B,a subset,"['A', '\\cap', 'B']",['elementary-set-theory']
632f834c837ac920af670137_f_1_3_0,SET,A\cap B\cap C,a subset,"['A', '\\cap', 'B', '\\cap', 'C']",['elementary-set-theory']
6327106606a69a3f488da116_f_1_7_0,FUNC,"f:\{0,1,2\}\rightarrow A",$ Every function,"['f', ':', '\\{', '0', ',', '1', ',', '2', '\\}', '\\rightarrow', 'A']",['elementary-set-theory']
6327106606a69a3f488da116_f_1_17_0,FUNC,"f:\{0,1,2\}\rightarrow A",functions,"['f', ':', '\\{', '0', ',', '1', ',', '2', '\\}', '\\rightarrow', 'A']",['elementary-set-theory']
6327106606a69a3f488da116_f_1_19_0,FUNC,g:\mathbb{N}\rightarrow A,a bijection,"['g', ':', '\\mathbb{N}', '\\rightarrow', 'A']",['elementary-set-theory']
6327106606a69a3f488da116_f_2_0_0,FUNC,"f:\{0,1,2\}\to A",all functions,"['f', ':', '\\{', '0', ',', '1', ',', '2', '\\}', '\\to', 'A']",['elementary-set-theory']
632f834d837ac920af67029f_f_0_7_0,SCAL,x-y,even number,"['x', '-', 'y']","['elementary-set-theory', 'proof-writing']"
632f834d837ac920af67029f_f_0_8_0,SCAL,y-x,even number,"['y', '-', 'x']","['elementary-set-theory', 'proof-writing']"
6327106606a69a3f488da1f5_f_0_2_0,FUNC,f \colon X \to X,a function   f_0_2_0,"['f', '\\colon', 'X', '\\to', 'X']","['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da1f5_f_0_3_0,FUNC,F:\mathbb{N} \to X,a unique function    f_0_3_0,"['F', ':', '\\mathbb{N}', '\\to', 'X']","['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da1f5_f_1_0_0,FUNC,f,the function,['f'],"['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da1f5_f_1_5_0,FUNC,f,a function,['f'],"['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da1f5_f_1_10_0,FUNC,s(n)=n+1,the successor function,"['s', '(', 'n', ')', '=', 'n', '+', '1']","['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da1f5_f_2_3_0,FUNC,F : \mathbb{N} \to \mathbb{N} \times \mathbb{N},a function,"['F', ':', '\\mathbb{N}', '\\to', '\\mathbb{N}', '\\times', '\\mathbb{N}']","['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da1f5_f_2_8_0,FUNC,"p(x, y) = y",the projection map,"['p', '(', 'x', ',', 'y', ')', '=', 'y']","['elementary-set-theory', 'transfinite-recursion']"
6327106606a69a3f488da274_f_1_3_0,FUNC,f,function,['f'],['elementary-set-theory']
632f834d837ac920af670329_f_1_0_0,FUNC,"f \colon [a,b]\to [0,1]",your bijection,"['f', '\\colon', '[', 'a', ',', 'b', ']', '\\to', '[', '0', ',', '1', ']']","['analysis', 'functions', 'elementary-set-theory']"
632f834d837ac920af670329_f_1_1_0,FUNC,a,maps,['a'],"['analysis', 'functions', 'elementary-set-theory']"
632f834d837ac920af670390_f_0_7_0,SET,"\{x,y,z\}",the set   f_0_7_0,"['\\{', 'x', ',', 'y', ',', 'z', '\\}']","['elementary-set-theory', 'notation']"
632f834d837ac920af67045f_f_0_1_0,FUNC,f,and a continuous function   f_0_1_0,['f'],"['general-topology', 'functions', 'elementary-set-theory', 'continuity']"
