fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106b06a69a3f488de2e1_f_1_0_0,FUNC,f(x) = x^2 + 2x -4,a quadratic function,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', '2', 'x', '-', '4']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'analytic-geometry', 'conic-sections']"
632fb8e4837ac920af6c0aab_f_3_25_0,SCAL,-1,non - constant term,"['-', '1']","['unary', 'SUB', 'expr_atom', '__ANON_3']","['calculus', 'analytic-geometry']"
6327106b06a69a3f488de989_f_2_4_0,FUNC,A,map   f_2_3_0   takes,['A'],"['func_name', '__ANON_0']","['geometry', 'complex-numbers', 'analytic-geometry']"
6327106c06a69a3f488df04f_f_0_0_0,SET,"\{0, 1, 2, 3\}",the set   f_0_0_0,"['\\{', '0', ',', '1', ',', '2', ',', '3', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['group-theory', 'analytic-geometry']"
6327106d06a69a3f488df65f_f_3_7_0,SCAL,\frac{130}{3},the y value,"['\\frac', '{', '1', '3', '0', '}', '{', '3', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","['geometry', 'analytic-geometry']"
632f89f9837ac920af6731e2_f_1_23_0,SCAL,0,f_1_22_0   values,0,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry']"
632f89fb837ac920af673d7b_f_1_0_0,FUNC,f,"that is , a mapping",['f'],"['func_name', '__ANON_1']","['geometry', 'differential-geometry', 'analytic-geometry', 'curvature']"
63271c3306a69a3f488e0f42_f_1_0_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['analytic-geometry', 'conic-sections']"
632fbf50837ac920af6c438a_f_0_0_0,FUNC,f(x)=x^2+px+q,A quadratic function,"['f', '(', 'x', ')', '=', 'x', '^', '2', '+', 'p', 'x', '+', 'q']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']","['analytic-geometry', 'plane-geometry']"
632f89fd837ac920af67490c_f_1_1_0,FUNC,L,a differentiable function,['L'],"['func_name', '__ANON_0']","['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632f89fd837ac920af67490c_f_1_28_0,FUNC,f,non - differentiable ) function&nbsp,['f'],"['func_name', '__ANON_1']","['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632f89fd837ac920af67490c_f_1_29_0,FUNC,"F(x, y) = y - f(x)",the continuous function,"['F', '(', 'x', ',', 'y', ')', '=', 'y', '-', 'f', '(', 'x', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', '__ANON_1', 'SUB', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632f89fd837ac920af67490c_f_1_36_0,FUNC,F,the function&nbsp,['F'],"['func_name', '__ANON_0']","['real-analysis', 'general-topology', 'geometry', 'analytic-geometry']"
632ff6dd837ac920af71d519_f_1_0_0,SCAL,1,The number,1,"['expr_atom', '__ANON_3']","['real-analysis', 'calculus', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
63271c3606a69a3f488e3137_f_2_2_0,SCAL,1,number   f_2_2_0,1,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry', 'polygons']"
63271c3606a69a3f488e3137_f_2_4_0,SCAL,2,number,2,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry', 'polygons']"
63271c3606a69a3f488e3137_f_2_5_0,SCAL,4,number   f_2_5_0,4,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry', 'polygons']"
632fbf52837ac920af6c5073_f_2_71_0,SCAL,9 ,f_2_70_0   vector constant needs   f_2_71_0 multiplications,9,"['expr_atom', '__ANON_3']","['geometry', 'analytic-geometry']"
632ff6df837ac920af71e2c4_f_1_48_0,FUNC,w,a function,['w'],"['func_name', '__ANON_1']","['geometry', 'algebraic-geometry', 'analytic-geometry', 'solid-geometry']"
632ff6e3837ac920af71fc0b_f_1_6_0,SCAL,13,the value,"['1', '3']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['combinatorics', 'geometry', 'number-theory', 'optimization', 'analytic-geometry']"
632f8a05837ac920af677ed5_f_2_3_0,FUNC,T,a linear map,['T'],"['func_name', '__ANON_0']","['linear-algebra', 'analytic-geometry']"
632fbf56837ac920af6c6b14_f_0_6_0,SCAL,2,a constant speed,2,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'ordinary-differential-equations', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_1_2_0,SCAL,90,the value   f_1_2_0,"['9', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632f8a09837ac920af679b23_f_0_0_0,FUNC,f:\mathbb R^2\to\mathbb R,a function,"['f', ':', '\\mathbb', 'R', '^', '2', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'SET_FAT', '__ANON_0', 'CARET', '__ANON_3', 'TO', 'SET_FAT', '__ANON_0']","['notation', 'analytic-geometry']"
632f8a09837ac920af679b23_f_1_2_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['notation', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_4_6_0,FUNC,s,functions,['s'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632fbf58837ac920af6c7c1b_f_4_15_0,FUNC,c,the functions,['c'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'euclidean-geometry', 'analytic-geometry']"
632ff6e5837ac920af720c66_f_0_5_0,FUNC,g,an analytic function,['g'],"['func_name', '__ANON_1']","['functional-analysis', 'differential-geometry', 'analytic-geometry', 'analytic-functions']"
632ff6e7837ac920af7219e8_f_0_8_0,FUNC,A,a function,['A'],"['func_name', '__ANON_0']","['optimization', 'analytic-geometry']"
632ff6e7837ac920af7219e8_f_0_10_0,FUNC,g(x) = 2 x f(x),the function   f_0_10_0,"['g', '(', 'x', ')', '=', '2', 'x', 'f', '(', 'x', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['optimization', 'analytic-geometry']"
632ff6e7837ac920af7219e8_f_1_17_0,FUNC,f,a function   f_1_17_0,['f'],"['func_name', '__ANON_1']","['optimization', 'analytic-geometry']"
632fbf5c837ac920af6c9316_f_0_22_0,FUNC,f:X\to Y,non - proper ) mapping   f_0_22_0,"['f', ':', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['algebraic-geometry', 'analytic-geometry', 'complex-geometry']"
632fbf5c837ac920af6c97c7_f_1_21_0,FUNC,g,the   f_1_20_0 -adic function   f_1_21_0,['g'],"['func_name', '__ANON_1']","['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632fbf5c837ac920af6c97c7_f_1_63_0,FUNC,g,function,['g'],"['func_name', '__ANON_1']","['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632fbf5c837ac920af6c97c7_f_1_66_0,FUNC,f,an analytic function   f_1_66_0,['f'],"['func_name', '__ANON_1']","['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632fbf5c837ac920af6c97c7_f_1_69_0,FUNC,h,analytic function,['h'],"['func_name', '__ANON_1']","['abstract-algebra', 'power-series', 'algebraic-number-theory', 'analytic-geometry', 'rigid-analytic-spaces']"
632f9072837ac920af67b9d4_f_4_20_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['calculus', 'real-analysis', 'analytic-geometry', 'tangent-line']"
6327306806a69a3f488edea8_f_0_0_0,SCAL,4,the number,4,"['expr_atom', '__ANON_3']","['calculus', 'geometry', 'analytic-geometry']"
632fbf61837ac920af6cb9b4_f_1_0_0,FUNC,f:\{1\} \to \{1\},the identity function,"['f', ':', '\\{', '1', '\\}', '\\to', '\\{', '1', '\\}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL', 'TO', 'explset', 'L_BRACE_LITERAL', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['functions', 'analytic-geometry']"
632fbf61837ac920af6cb9b4_f_2_10_0,FUNC,X,such a function,['X'],"['func_name', '__ANON_0']","['functions', 'analytic-geometry']"
6327307006a69a3f488f218b_f_0_0_0,SCAL,1 ,a constant disance,1,"['expr_atom', '__ANON_3']",['analytic-geometry']
632f9077837ac920af67d84d_f_4_4_0,FUNC,f,continuous function,['f'],"['func_name', '__ANON_1']","['geometry', 'inequality', 'analytic-geometry', 'circles', 'jensen-inequality']"
632f9077837ac920af67d84d_f_4_17_0,SCAL,12,the number,"['1', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['geometry', 'inequality', 'analytic-geometry', 'circles', 'jensen-inequality']"
632fc61b837ac920af6cdb49_f_0_3_0,FUNC,z,the function   f_0_3_0,['z'],"['func_name', '__ANON_1']","['calculus', 'analytic-geometry']"
632ffdd5837ac920af725665_f_0_7_0,SCAL,176.78,that number,[],"['expr_atom', 'number']","['geometry', 'trigonometry', 'analytic-geometry', 'rotations']"
632ffdd6837ac920af725885_f_0_0_0,FUNC,f(x) = ax^2 + bx + c,the function,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '2', '+', 'b', 'x', '+', 'c']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']","['analytic-geometry', 'quadratics', 'graphing-functions']"
632f5f3d837ac920af63607d_f_2_38_0,FUNC,g,the function,['g'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry']"
632f5f3d837ac920af636130_f_1_3_0,FUNC,f,the function   f_1_3_0,['f'],"['func_name', '__ANON_1']",['analytic-geometry']
632fc622837ac920af6d0c27_f_0_13_0,FUNC,g\circ f,the map,"['g', '\\circ', 'f']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']","['general-topology', 'multivariable-calculus', 'analytic-geometry']"
632fc622837ac920af6d0c27_f_1_0_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['general-topology', 'multivariable-calculus', 'analytic-geometry']"
632f907d837ac920af6800b0_f_1_98_0,SCAL,x(t),the values,"['x', '(', 't', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['geometry', 'analytic-geometry', 'coordinate-systems']"
632f907d837ac920af680418_f_3_21_0,SCAL,g(x),a real - valued function,"['g', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['algebra-precalculus', 'geometry', 'analytic-geometry']"
632f907d837ac920af680505_f_0_0_0,FUNC,f:\mathbb{R}\rightarrow\mathbb{R},a continuous function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['geometry', 'analytic-geometry', 'reflection']"
632f907d837ac920af680505_f_0_8_0,FUNC,f,functions,['f'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry', 'reflection']"
632f5f40837ac920af636fd8_f_2_0_0,FUNC,f\colon X\to Y,a smooth map,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']",['analytic-geometry']
632f907e837ac920af680bc2_f_3_0_0,FUNC,"g(x,y) = x^2+y^2-6x+2y-8 ",height function,"['g', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '+', 'y', '^', '2', '-', '6', 'x', '+', '2', 'y', '-', '8']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']","['geometry', 'analytic-geometry', 'circles']"
632f907f837ac920af680ef3_f_3_0_0,FUNC,g,Your function,['g'],"['func_name', '__ANON_1']","['calculus', 'functions', 'analytic-geometry']"
632f907f837ac920af681326_f_1_0_0,FUNC,f,enough nice function,['f'],"['func_name', '__ANON_1']","['geometry', 'algebraic-geometry', 'analytic-geometry']"
632f907f837ac920af681326_f_1_8_0,FUNC,g,linear function,['g'],"['func_name', '__ANON_1']","['geometry', 'algebraic-geometry', 'analytic-geometry']"
632f5f42837ac920af637dc7_f_0_2_0,SCAL,r^2,the values,"['r', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['analytic-geometry', 'supremum-and-infimum']"
632f5f44837ac920af63857c_f_0_34_0,FUNC,f : \mathbb{R} \rightarrow \mathbb{R},the previously - mentioned function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['definition', 'analytic-geometry']"
632ffde3837ac920af72b361_f_0_22_0,FUNC,F,implicit function,['F'],"['func_name', '__ANON_0']","['geometry', 'analytic-geometry']"
632f5f45837ac920af638bce_f_1_4_0,FUNC,"f : [a,b] \to \mathbb{R}",an increasing function,"['f', ':', '[', 'a', ',', 'b', ']', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_BRACKET', '__ANON_1', 'COMMA', '__ANON_1', 'R_BRACKET', 'TO', 'set_constant', 'SET_BASIC']","['calculus', 'analytic-geometry']"
632f5f45837ac920af638bce_f_1_6_0,FUNC,f(x) = x,the function,"['f', '(', 'x', ')', '=', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","['calculus', 'analytic-geometry']"
632ffde4837ac920af72b86a_f_1_2_0,FUNC,f,"-axis , then the function   f_1_2_0",['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'analytic-geometry']"
632fc62e837ac920af6d5b17_f_1_1_0,SCAL,f(x),a value   f_1_1_0,"['f', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['trigonometry', 'analytic-geometry']"
632ffde4837ac920af72b92f_f_3_15_0,SCAL,-1,these numbers,"['-', '1']","['unary', 'SUB', 'expr_atom', '__ANON_3']","['calculus', 'analytic-geometry', 'quadratics', 'curves', 'tangent-line']"
632f9084837ac920af6833fe_f_0_8_0,SCAL,14 ,input   f_0_8_0 numbers,"['1', '4']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['linear-algebra', 'linear-transformations', 'analytic-geometry', 'plane-geometry']"
632f9084837ac920af6834a9_f_1_10_0,FUNC,f,your function,['f'],"['func_name', '__ANON_1']","['geometry', 'differential-geometry', 'analytic-geometry', 'coordinate-systems', 'curves']"
632f9085837ac920af683629_f_0_1_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'analytic-geometry']"
632ffde6837ac920af72c66c_f_2_2_0,FUNC,k,functions,['k'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry', 'circles', 'conic-sections']"
632fc632837ac920af6d7723_f_1_13_0,FUNC,M,  f_1_12_0   maps,['M'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'analytic-geometry']"
632f5f4c837ac920af63b1cc_f_1_0_0,FUNC,"f(x,y) = x^2-xy+y^2-3/4 ",the function,"['f', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '-', 'x', 'y', '+', 'y', '^', '2', '-', '3', '/', '4']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', '__ANON_1', '__ANON_1', 'ADD', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3']","['multivariable-calculus', 'analytic-geometry', 'conic-sections']"
632f9088837ac920af684aa6_f_1_7_0,SCAL,1,the number line,1,"['expr_atom', '__ANON_3']",['analytic-geometry']
632ffde8837ac920af72d370_f_1_7_0,FUNC,L,an even function,['L'],"['func_name', '__ANON_0']","['geometry', 'analytic-geometry', 'conic-sections', 'euler-lagrange-equation']"
632fcd10837ac920af6d89fd_f_1_7_0,FUNC,f,these functions,['f'],"['func_name', '__ANON_1']","['linear-algebra', 'geometry', 'analytic-geometry', 'parametrization']"
632ffdec837ac920af72ecaf_f_0_8_0,SCAL,180 ,value *   f_0_8_0 / Math,"['1', '8', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'analytic-geometry', 'spherical-coordinates', 'geodesy']"
632f971d837ac920af686376_f_0_2_0,SCAL,2,  f_0_1_0   values,2,"['expr_atom', '__ANON_3']",['analytic-geometry']
633004be837ac920af73189f_f_0_8_0,FUNC,g:\mathbb{R}^3\to\mathbb{R},a function   f_0_8_0,"['g', ':', '\\mathbb{R}', '^', '3', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']","['calculus', 'geometry', 'functions', 'analytic-geometry', 'quadratics']"
632f65fa837ac920af63f596_f_1_0_0,FUNC,"F(x,y)=x^2+3xy+3y^2",The function,"['F', '(', 'x', ',', 'y', ')', '=', 'x', '^', '2', '+', '3', 'x', 'y', '+', '3', 'y', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_0', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', '__ANON_1', 'ADD', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['calculus', 'general-topology', 'geometry', 'functions', 'analytic-geometry']"
632f65fb837ac920af640088_f_1_2_0,FUNC,"f(x,y,z) = z",The   height   function   f_1_2_0,"['f', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'z']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","['calculus', 'optimization', 'analytic-geometry', 'lagrange-multiplier']"
632f9724837ac920af6895c6_f_1_13_0,FUNC,u,every bounded measurable function,['u'],"['func_name', '__ANON_1']","['probability-distributions', 'analytic-geometry']"
632f9724837ac920af689632_f_0_7_0,FUNC,P,even a smooth function,['P'],"['func_name', '__ANON_0']","['differential-geometry', 'analytic-geometry', 'surfaces']"
633004c1837ac920af732fd0_f_1_25_0,FUNC,"f(x,y,z)=x^2+z^2",the function   f_1_25_0,"['f', '(', 'x', ',', 'y', ',', 'z', ')', '=', 'x', '^', '2', '+', 'z', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['integration', 'analytic-geometry', 'coordinate-systems', 'surface-integrals', 'cylindrical-coordinates']"
633004c1837ac920af73309c_f_2_8_0,FUNC,y,a function,['y'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry']"
633004c1837ac920af7330f7_f_0_28_0,SCAL,g(x),the value,"['g', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['real-analysis', 'trigonometry', 'analytic-geometry', 'lie-algebras', 'cauchy-sequences']"
633004c1837ac920af733173_f_0_8_0,FUNC,X,maps,['X'],"['func_name', '__ANON_0']","['geometry', 'analytic-geometry']"
633004c1837ac920af733173_f_1_8_0,FUNC,f,your map,['f'],"['func_name', '__ANON_1']","['geometry', 'analytic-geometry']"
632fcd23837ac920af6e0660_f_0_3_0,FUNC,g,an analytic function   f_0_3_0,['g'],"['func_name', '__ANON_1']","['complex-analysis', 'analytic-geometry']"
