fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106206a69a3f488d7124_f_1_1_0,FUNC,f(n) = \dfrac{4^n - 1}{n-1},the function   f_1_1_0,"['f', '(', 'n', ')', '=', '\\dfrac', '{', '4', '^', 'n', '-', '1', '}', '{', 'n', '-', '1', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE']","['calculus', 'algebra-precalculus']"
6327106206a69a3f488d7263_f_1_7_0,SCAL,4,the number   f_1_7_0,4,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'functions', 'function-and-relation-composition']"
6327106206a69a3f488d7295_f_3_7_0,FUNC,g,function,['g'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functions']"
6327106206a69a3f488d7295_f_3_13_0,FUNC,h,functions,['h'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functions']"
6327106206a69a3f488d72f7_f_1_5_0,SCAL,1,whose last digits,1,"['expr_atom', '__ANON_3']","['number-theory', 'algebra-precalculus']"
6327106206a69a3f488d74ad_f_1_5_0,SCAL,2 ,the numbers,2,"['expr_atom', '__ANON_3']","['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d74ad_f_2_7_0,SCAL,450,the value,"['4', '5', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d74ad_f_2_8_0,SCAL,9,the number,9,"['expr_atom', '__ANON_3']","['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d76b5_f_0_2_0,SCAL,1,the numbers,1,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'elementary-set-theory']"
6327106206a69a3f488d76ef_f_1_3_0,FUNC,f,any function,['f'],"['func_name', '__ANON_1']",['algebra-precalculus']
6327106206a69a3f488d77d2_f_2_1_0,SCAL,1000 ,  first Fibonacci number,"['1', '0', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['algebra-precalculus', 'functions']"
6327106206a69a3f488d78c1_f_3_9_0,SCAL,p/q,rational numbers,"['p', '/', 'q']","['mp', '__ANON_1', 'DIV', '__ANON_1']",['algebra-precalculus']
6327106206a69a3f488d78ca_f_1_34_0,SCAL,1,the numbers,1,"['expr_atom', '__ANON_3']","['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d78ca_f_2_2_0,SCAL,1 ,numbers,1,"['expr_atom', '__ANON_3']","['combinatorics', 'algebra-precalculus']"
6327106206a69a3f488d78ce_f_3_5_0,SCAL,6 ,the whole number,6,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d78ce_f_3_6_0,SCAL,1 ,the whole number   f_3_6_0,1,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'polynomials']"
6327106206a69a3f488d78ee_f_4_0_0,FUNC,f:\mathbb{R}\rightarrow\mathbb{R},all continuous functions,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['calculus', 'algebra-precalculus', 'big-list']"
6327106206a69a3f488d78ee_f_5_0_0,FUNC,f:\mathbb{R}\rightarrow\mathbb{R},a function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['calculus', 'algebra-precalculus', 'big-list']"
6327106206a69a3f488d793a_f_0_0_0,SCAL,m-4,the value,"['m', '-', '4']","['additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3']",['algebra-precalculus']
6327106206a69a3f488d79f2_f_1_4_0,FUNC,f,a linear function   f_1_4_0,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_2_34_0,FUNC,f\colon X\to Y,a function,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_2_47_0,FUNC,f\colon X\to Y,a function,"['f', '\\colon', 'X', '\\to', 'Y']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_2_48_0,FUNC,g\colon Y\to X,function,"['g', '\\colon', 'Y', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d79f2_f_2_98_0,FUNC,f\colon\mathbb{R}\to \mathbb{R},the function,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['calculus', 'algebra-precalculus', 'functions']"
6327106206a69a3f488d7a3f_f_4_16_0,SET,A^B,set theory,"['A', '^', 'B']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']","['algebra-precalculus', 'exponentiation', 'indeterminate-forms', 'faq']"
6327106206a69a3f488d7a3f_f_4_46_0,SCAL,0,This number,0,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'exponentiation', 'indeterminate-forms', 'faq']"
6327106206a69a3f488d7a3f_f_4_60_0,SCAL,1,the number,1,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'exponentiation', 'indeterminate-forms', 'faq']"
6327106206a69a3f488d7a85_f_2_3_0,SCAL,\frac{p}{q},a fraction,"['\\frac', '{', 'p', '}', '{', 'q', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7a85_f_12_7_0,SCAL,10 ,values,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['abstract-algebra', 'algebra-precalculus', 'polynomials', 'soft-question']"
6327106206a69a3f488d7aaf_f_3_8_0,SCAL,212 ,the next number,"['2', '1', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['sequences-and-series', 'algebra-precalculus']"
6327106206a69a3f488d7aaf_f_4_7_0,SCAL,70 ,the next number,"['7', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['sequences-and-series', 'algebra-precalculus']"
6327106206a69a3f488d7c76_f_1_0_0,FUNC,"f(x,y,z)=(x+y+z)(\frac{1}{x}+\frac{1}{y}+\frac{1}{z})",The function     f_1_0_0,"['f', '(', 'x', ',', 'y', ',', 'z', ')', '=', '(', 'x', '+', 'y', '+', 'z', ')', '(', '\\frac', '{', '1', '}', '{', 'x', '}', '+', '\\frac', '{', '1', '}', '{', 'y', '}', '+', '\\frac', '{', '1', '}', '{', 'z', '}', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'unary', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_PAREN', 'group', 'L_PAREN', 'additive', 'additive', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE', 'R_PAREN']",['algebra-precalculus']
6327106206a69a3f488d7c76_f_2_2_0,SCAL,6 ,fractions,6,"['expr_atom', '__ANON_3']",['algebra-precalculus']
6327106206a69a3f488d7c88_f_1_6_0,SCAL,2^2,the value   f_1_6_0,"['2', '^', '2']","['exp', 'expr_atom', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'radicals', 'absolute-value', 'faq']"
6327106306a69a3f488d7cec_f_2_0_0,FUNC,f(y)=7y^2-50y+7,a quadratic function,"['f', '(', 'y', ')', '=', '7', 'y', '^', '2', '-', '5', '0', 'y', '+', '7']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",['algebra-precalculus']
6327106306a69a3f488d7fa8_f_1_13_0,SCAL,uv,a real number,"['u', 'v']","['unary', '__ANON_1', '__ANON_1']","['algebra-precalculus', 'polynomials', 'roots']"
6327106306a69a3f488d80a1_f_3_7_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']",['algebra-precalculus']
6327106306a69a3f488d8168_f_2_11_0,SCAL,1,only the values,1,"['expr_atom', '__ANON_3']",['algebra-precalculus']
6327106306a69a3f488d82c2_f_1_15_0,SCAL,5 ,the first number,5,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'factorial', 'algebra-precalculus']"
6327106306a69a3f488d8454_f_0_0_0,SCAL,x^2 + x,constants,"['x', '^', '2', '+', 'x']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', '__ANON_1']","['algebra-precalculus', 'polynomials', 'definition']"
6327106306a69a3f488d8490_f_1_10_0,FUNC,f,an activation function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'notation', 'neural-networks']"
6327106306a69a3f488d8542_f_0_0_0,SCAL,\frac{y^2-x^2}{x-y},fraction,"['\\frac', '{', 'y', '^', '2', '-', 'x', '^', '2', '}', '{', 'x', '-', 'y', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_BRACE']","['algebra-precalculus', 'polynomials']"
6327106306a69a3f488d85cf_f_0_1_0,SCAL,9 ,a number,9,"['expr_atom', '__ANON_3']",['algebra-precalculus']
6327106306a69a3f488d864a_f_2_2_0,SCAL,\frac{1}{4},The fraction,"['\\frac', '{', '1', '}', '{', '4', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']","['algebra-precalculus', 'arithmetic']"
6327106306a69a3f488d8655_f_3_6_0,SCAL,7,the numbers,7,"['expr_atom', '__ANON_3']",['algebra-precalculus']
6327106306a69a3f488d8670_f_1_5_0,SCAL,3(x+\frac{3}{2})^2-\frac{7}{4},the constant terms,"['3', '(', 'x', '+', '\\frac', '{', '3', '}', '{', '2', '}', ')', '^', '2', '-', '\\frac', '{', '7', '}', '{', '4', '}']","['additive', 'unary', 'expr_atom', '__ANON_3', 'exp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_PAREN', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']",['algebra-precalculus']
6327106306a69a3f488d87b7_f_0_2_0,FUNC,"f,g:\mathbb{R}\to \mathbb{R}",functions,"['f', ',', 'g', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_enumeration', 'func_name', '__ANON_1', 'COMMA', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",['algebra-precalculus']
6327106306a69a3f488d893f_f_0_0_0,FUNC,f(x) = 3x^3 - 5x^2 - 4x + 4.,the following function,"['f', '(', 'x', ')', '=', '3', 'x', '^', '3', '-', '5', 'x', '^', '2', '-', '4', 'x', '+']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', 'number']",['algebra-precalculus']
6327106406a69a3f488d8aa4_f_1_0_0,SCAL,1,the constant function,1,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'summation', 'products']"
6327106406a69a3f488d8d13_f_1_16_0,SCAL,0,the number   f_1_16_0,0,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'arithmetic']"
6327106406a69a3f488d8d13_f_3_33_0,SCAL,0,any   number,0,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'arithmetic']"
6327106406a69a3f488d8d13_f_6_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'arithmetic']"
6327106406a69a3f488d8d94_f_1_19_0,SCAL,x+ y,the truth value,"['x', '+', 'y']","['additive', '__ANON_1', 'ADD', '__ANON_1']",['algebra-precalculus']
632f833b837ac920af669316_f_6_21_0,FUNC,n,another exponentially increasing function,['n'],"['func_name', '__ANON_1']","['algebra-precalculus', 'logarithms', 'inverse-function']"
6327106406a69a3f488d9221_f_0_6_0,SCAL,0 ,a constant   f_0_0,0,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'inequality', 'optimization']"
6327106406a69a3f488d9229_f_0_14_0,SCAL,2 ,f_0_12_0   f_0_13_0 ( 9 * f_0_14_0 digits,2,"['expr_atom', '__ANON_3']",['algebra-precalculus']
6327106406a69a3f488d9229_f_0_15_0,SCAL,100 ,9 * f_0_15_0 digits,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",['algebra-precalculus']
6327106406a69a3f488d9350_f_0_0_0,FUNC,f(x)=ax^3+bx^2+cx+d,the cubic function,"['f', '(', 'x', ')', '=', 'a', 'x', '^', '3', '+', 'b', 'x', '^', '2', '+', 'c', 'x', '+', 'd']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'additive', 'additive', 'unary', '__ANON_1', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'ADD', '__ANON_1']","['calculus', 'algebra-precalculus', 'functions']"
6327106406a69a3f488d93bc_f_1_30_0,SCAL,4,the value,4,"['expr_atom', '__ANON_3']","['geometry', 'algebra-precalculus', 'analytic-geometry', 'conic-sections']"
632f833c837ac920af6697be_f_0_0_0,FUNC,f: \mathbb{R}\rightarrow \mathbb{R},a function,"['f', ':', '\\mathbb{R}', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']",['algebra-precalculus']
632f833c837ac920af66983e_f_1_8_0,SET,W \cup M ,The set   f_1_8_0,"['W', '\\cup', 'M']","['set_expr', '__ANON_0', 'sets__OP_UNION', '__ANON_0']",['algebra-precalculus']
6327106506a69a3f488d9646_f_0_21_0,SCAL,100 ,my original value,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",['algebra-precalculus']
6327106506a69a3f488d9646_f_0_24_0,SCAL,100 ,My base value,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",['algebra-precalculus']
632f833c837ac920af669955_f_0_0_0,FUNC,g,a function,['g'],"['func_name', '__ANON_1']",['algebra-precalculus']
632f833c837ac920af6699a9_f_2_4_0,SCAL,31,all four numbers,"['3', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['algebra-precalculus', 'recreational-mathematics', 'puzzle']"
632f833c837ac920af669a11_f_3_8_0,SCAL,1,the value,1,"['expr_atom', '__ANON_3']","['calculus', 'algebra-precalculus', 'limits']"
632f833c837ac920af669a11_f_3_9_0,SCAL,2 \cdot\frac{x-1}{x-1},the values,"['2', '\\cdot', '\\frac', '{', 'x', '-', '1', '}', '{', 'x', '-', '1', '}']","['mp', 'expr_atom', '__ANON_3', 'CMD_CDOT', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE']","['calculus', 'algebra-precalculus', 'limits']"
6327106506a69a3f488d96d3_f_1_7_0,SCAL,10 ,the value,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['algebra-precalculus', 'finance', 'recurrence-relations']"
632f833c837ac920af669a23_f_1_2_0,FUNC,z,a function,['z'],"['func_name', '__ANON_1']","['algebra-precalculus', 'lambert-w']"
6327106506a69a3f488d9794_f_1_12_0,SCAL,1,the obvious value,1,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'sequences-and-series', 'binomial-coefficients']"
632f833c837ac920af669bc6_f_0_1_0,SCAL,1991,the minimum value,"['1', '9', '9', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']",['algebra-precalculus']
632f833c837ac920af669bc6_f_1_13_0,SCAL,19,the digits,"['1', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",['algebra-precalculus']
6327106506a69a3f488d99ae_f_0_0_0,FUNC,f,some   elementary function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'inequality']"
6327106506a69a3f488d99ae_f_1_0_0,FUNC,f,an elementary function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'inequality']"
6327106506a69a3f488d99ae_f_1_2_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'inequality']"
6327106506a69a3f488d99ae_f_1_12_0,FUNC,f(x)=\frac{x+4}{x+1},The function,"['f', '(', 'x', ')', '=', '\\frac', '{', 'x', '+', '4', '}', '{', 'x', '+', '1', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE']","['algebra-precalculus', 'inequality']"
632f833c837ac920af669be7_f_0_0_0,FUNC,f(x)=\frac{1}{x},the mother rational function,"['f', '(', 'x', ')', '=', '\\frac', '{', '1', '}', '{', 'x', '}']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","['algebra-precalculus', 'functions', 'proof-verification', 'rational-functions']"
632f833c837ac920af669be7_f_2_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functions', 'proof-verification', 'rational-functions']"
632f833c837ac920af669be7_f_2_3_0,FUNC,g,       Proof : The function,['g'],"['func_name', '__ANON_1']","['algebra-precalculus', 'functions', 'proof-verification', 'rational-functions']"
632f833d837ac920af669ed3_f_2_31_0,SCAL,-1,two positive numbers,"['-', '1']","['unary', 'SUB', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'radicals']"
632f833d837ac920af669f79_f_1_0_0,FUNC,g(x) = p(x) + x - 2014,a new function,"['g', '(', 'x', ')', '=', 'p', '(', 'x', ')', '+', 'x', '-', '2', '0', '1', '4']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'additive', 'unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN', 'ADD', 'additive', '__ANON_1', 'SUB', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['algebra-precalculus', 'polynomials', 'roots']"
632f833d837ac920af669f8e_f_0_8_0,SCAL,m/n,real numbers,"['m', '/', 'n']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['algebra-precalculus', 'complex-numbers']"
632f833d837ac920af66a0f6_f_0_0_0,SCAL,0,the wonderful value,0,"['expr_atom', '__ANON_3']",['algebra-precalculus']
632f833d837ac920af66a333_f_0_0_0,SCAL,\frac{a}{b},any two fractions,"['\\frac', '{', 'a', '}', '{', 'b', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']","['algebra-precalculus', 'number-theory', 'elementary-number-theory']"
6327106506a69a3f488d9e5e_f_6_14_0,SCAL,2,the two numbers,2,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'factoring', 'quadratics']"
632f833e837ac920af66a586_f_1_20_0,SET,"\{0,1,2\}",the set,"['\\{', '0', ',', '1', ',', '2', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'COMMA', 'item', '__ANON_3', 'R_BRACE_LITERAL']","['algebra-precalculus', 'associativity']"
6327106506a69a3f488d9f2c_f_3_4_0,SCAL,a+bi,the complex number,"['a', '+', 'b', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['algebra-precalculus', 'polynomials', 'complex-numbers']"
6327106506a69a3f488d9f2c_f_3_5_0,SCAL,a-bi,the complex number,"['a', '-', 'b', 'i']","['additive', '__ANON_1', 'SUB', 'unary', '__ANON_1', '__ANON_1']","['algebra-precalculus', 'polynomials', 'complex-numbers']"
6327106506a69a3f488d9f2c_f_3_10_0,SCAL,a+bi,a number,"['a', '+', 'b', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['algebra-precalculus', 'polynomials', 'complex-numbers']"
632f833e837ac920af66a733_f_0_1_0,SCAL,90,these three numbers,"['9', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['sequences-and-series', 'algebra-precalculus', 'elementary-number-theory']"
6327106506a69a3f488d9f2c_f_5_9_0,SCAL,x + i \cdot y,and   real   numbers,"['x', '+', 'i', '\\cdot', 'y']","['additive', '__ANON_1', 'ADD', 'mp', '__ANON_1', 'CMD_CDOT', '__ANON_1']","['algebra-precalculus', 'polynomials', 'complex-numbers']"
6327106606a69a3f488da0af_f_1_1_0,SCAL,-a,a number   f_1_1_0,"['-', 'a']","['unary', 'SUB', '__ANON_1']",['algebra-precalculus']
632f833f837ac920af66ad38_f_0_5_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'functions', 'article-writing', 'change-of-variable']"
632f833f837ac920af66ad38_f_1_0_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'functions', 'article-writing', 'change-of-variable']"
632f833f837ac920af66ad38_f_1_6_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'functions', 'article-writing', 'change-of-variable']"
632f833f837ac920af66adf6_f_1_3_0,SCAL,3,ok number   f_1_3_0,3,"['expr_atom', '__ANON_3']","['integration', 'algebra-precalculus', 'notation']"
632f833f837ac920af66aed3_f_0_1_0,SCAL,\frac{2xy}{x+y},f_0_0_0 numbers,"['\\frac', '{', '2', 'x', 'y', '}', '{', 'x', '+', 'y', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', '__ANON_1', 'ADD', '__ANON_1', 'R_BRACE']",['algebra-precalculus']
