fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106906a69a3f488dc9d8_f_0_2_0,SCAL,x + iy,the complex number   f_0_2_0,"['x', '+', 'i', 'y']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['trigonometry', 'inequality', 'complex-numbers']"
6327106906a69a3f488dc9d8_f_2_1_0,SCAL,x + iy,number,"['x', '+', 'i', 'y']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['trigonometry', 'inequality', 'complex-numbers']"
6327106906a69a3f488dccdf_f_1_6_0,SCAL,[[x]],the fractional part,"['[', '[', 'x', ']', ']']","['group', 'L_BRACKET', 'group', 'L_BRACKET', '__ANON_1', 'R_BRACKET', 'R_BRACKET']","['real-analysis', 'analysis', 'limits', 'trigonometry', 'convergence-divergence']"
632f8349837ac920af66e8d9_f_0_0_0,FUNC,f: \mathbb{R} \to \mathbb{R},the function,"['f', ':', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e8d9_f_1_0_0,FUNC,"f: \mathbb{R} \to [-1, 1]",  The function,"['f', ':', '\\mathbb{R}', '\\to', '[', '-', '1', ',', '1', ']']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'interval', 'L_BRACKET', 'expr_atom', 'SUB', '__ANON_3', 'COMMA', 'expr_atom', '__ANON_3', 'R_BRACKET']","['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e8d9_f_1_25_0,FUNC,k,the function   f_1_25_0,['k'],"['func_name', '__ANON_1']","['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e8d9_f_1_29_0,FUNC,m,The function,['m'],"['func_name', '__ANON_1']","['functions', 'trigonometry', 'inverse', 'inverse-function']"
632f8349837ac920af66e918_f_1_5_0,SCAL,4,The maximal value,4,"['expr_atom', '__ANON_3']","['trigonometry', 'maxima-minima']"
6327106a06a69a3f488dd1d7_f_1_2_0,SCAL,1+xi,the complex number   f_1_2_0,"['1', '+', 'x', 'i']","['additive', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['reference-request', 'trigonometry', 'irrational-numbers']"
6327106a06a69a3f488dd1d7_f_1_3_0,SCAL,(1+xi)^n,a real number,"['(', '1', '+', 'x', 'i', ')', '^', 'n']","['exp', 'group', 'L_PAREN', 'additive', 'expr_atom', '__ANON_3', 'ADD', 'unary', '__ANON_1', '__ANON_1', 'R_PAREN', 'CARET', '__ANON_1']","['reference-request', 'trigonometry', 'irrational-numbers']"
632f8349837ac920af66e930_f_3_11_0,FUNC,f \colon \mathbb{R} \to \mathbb{R},the auxiliary function   f_3_11_0,"['f', '\\colon', '\\mathbb{R}', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_constant', 'SET_BASIC', 'TO', 'set_constant', 'SET_BASIC']","['real-analysis', 'sequences-and-series', 'trigonometry']"
6327106a06a69a3f488dd244_f_1_3_0,FUNC,f,a bijection,['f'],"['func_name', '__ANON_1']","['trigonometry', 'functions']"
6327106a06a69a3f488dd244_f_1_4_0,FUNC,g:Y\to X,a function   f_1_4_0,"['g', ':', 'Y', '\\to', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['trigonometry', 'functions']"
632f8349837ac920af66eb2d_f_2_4_0,FUNC,f,an analytic function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'trigonometry', 'convergence-divergence', 'fourier-series', 'trigonometric-series']"
6327106a06a69a3f488dd265_f_2_2_0,FUNC,g,the function,['g'],"['func_name', '__ANON_1']",['trigonometry']
632f8349837ac920af66edc1_f_2_23_0,SCAL,\frac{dy}{dx},constant,"['\\frac', '{', 'd', 'y', '}', '{', 'd', 'x', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE', 'L_BRACE', 'unary', '__ANON_1', '__ANON_1', 'R_BRACE']","['calculus', 'trigonometry', 'derivatives', 'proof-verification', 'absolute-value']"
632f8349837ac920af66ee81_f_3_11_0,FUNC,f,a function   f_3_11_0,['f'],"['func_name', '__ANON_1']",['trigonometry']
6327106a06a69a3f488dd74f_f_1_14_0,FUNC,\cos,the function,\cos,FUNC_NORMAL,['trigonometry']
6327106a06a69a3f488dd74f_f_1_19_0,SCAL,1,the value,1,"['expr_atom', '__ANON_3']",['trigonometry']
6327106a06a69a3f488dd84e_f_1_32_0,SCAL,g(744),the value,"['g', '(', '7', '4', '4', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_PAREN']","['algebra-precalculus', 'trigonometry']"
6327106a06a69a3f488dd84e_f_1_46_0,FUNC,f,our function   f_1_46_0,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'trigonometry']"
632fb8e8837ac920af6c25d0_f_0_2_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['algebra-precalculus', 'multivariable-calculus', 'trigonometry']"
632f834a837ac920af66f4aa_f_1_12_0,FUNC,\sin,the functions,\sin,FUNC_NORMAL,"['limits', 'trigonometry', 'derivatives', 'alternative-proof']"
6327106b06a69a3f488de199_f_1_3_0,SCAL,\frac{a}{b},a rational number   f_1_3_0,"['\\frac', '{', 'a', '}', '{', 'b', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', '__ANON_1', 'R_BRACE', 'L_BRACE', '__ANON_1', 'R_BRACE']",['trigonometry']
6327106b06a69a3f488de29a_f_1_13_0,SCAL,\dfrac{1}{5^{2n+1}},the fractions,"['\\dfrac', '{', '1', '}', '{', '5', '^', '{', '2', 'n', '+', '1', '}', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'additive', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE', 'R_BRACE']","['calculus', 'sequences-and-series', 'trigonometry', 'pi']"
632f834b837ac920af66f5dd_f_2_0_0,FUNC,\sin,the inverse   f_2_0_0   function,\sin,FUNC_NORMAL,"['trigonometry', 'complex-numbers', 'inverse-function']"
632fb8e9837ac920af6c2a84_f_2_0_0,FUNC,\tan,The function,\tan,FUNC_NORMAL,"['real-analysis', 'trigonometry', 'continuity', 'inverse-function']"
6327106b06a69a3f488de328_f_6_14_0,SCAL,1,number,1,"['expr_atom', '__ANON_3']","['trigonometry', 'functions', 'graphing-functions']"
6327106b06a69a3f488de328_f_6_18_0,FUNC,E,function,['E'],"['func_name', '__ANON_0']","['trigonometry', 'functions', 'graphing-functions']"
6327106b06a69a3f488de361_f_5_8_0,FUNC,\exp,the function,\exp,FUNC_NORMAL,['trigonometry']
6327106b06a69a3f488de45a_f_2_6_0,FUNC,\sin,an odd function,\sin,FUNC_NORMAL,"['algebra-precalculus', 'trigonometry']"
632f834b837ac920af66fa49_f_1_15_0,SCAL,\frac{2x}{x^2-1},an algebraic number,"['\\frac', '{', '2', 'x', '}', '{', 'x', '^', '2', '-', '1', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'unary', 'expr_atom', '__ANON_3', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE']","['trigonometry', 'nonlinear-system']"
6327106b06a69a3f488de5b7_f_3_4_0,SCAL,1,the simpler numbers,1,"['expr_atom', '__ANON_3']","['trigonometry', 'triangles']"
632fb8ea837ac920af6c2f10_f_3_0_0,FUNC,y,the function,['y'],"['func_name', '__ANON_1']","['functions', 'trigonometry']"
6327106b06a69a3f488de777_f_1_2_0,FUNC,\sin,the sine function,\sin,FUNC_NORMAL,"['algebra-precalculus', 'trigonometry']"
6327106b06a69a3f488de777_f_1_3_0,FUNC,\cos,the sine function,\cos,FUNC_NORMAL,"['algebra-precalculus', 'trigonometry']"
632fbf4e837ac920af6c3508_f_0_3_0,SCAL,5 ,a constant angular speed,5,"['expr_atom', '__ANON_3']","['geometry', 'trigonometry', 'classical-mechanics']"
632f834c837ac920af66fec7_f_2_4_0,FUNC,f(x) = x,the function,"['f', '(', 'x', ')', '=', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","['calculus', 'trigonometry', 'fourier-series']"
632f834c837ac920af66fec7_f_2_6_0,FUNC,f(x) = x,the   target   function   f_2_6_0,"['f', '(', 'x', ')', '=', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', '__ANON_1']","['calculus', 'trigonometry', 'fourier-series']"
632fbf4f837ac920af6c37a9_f_1_0_0,FUNC,f,A function,['f'],"['func_name', '__ANON_1']","['functions', 'trigonometry']"
6327106b06a69a3f488de938_f_2_5_0,SCAL,y(x),constant,"['y', '(', 'x', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['calculus', 'trigonometry', 'integral-equations']"
632f834c837ac920af66fffc_f_0_5_0,SCAL,1,the constant functions,1,"['expr_atom', '__ANON_3']","['trigonometry', 'power-series', 'approximation', 'hyperbolic-functions']"
632fbf4f837ac920af6c399b_f_1_4_0,FUNC,u,the function,['u'],"['func_name', '__ANON_1']","['calculus', 'functions', 'derivatives', 'trigonometry', 'partial-derivative']"
6327106c06a69a3f488dea38_f_2_9_0,FUNC,f,the function   f_2_9_0,['f'],"['func_name', '__ANON_1']","['calculus', 'trigonometry', 'polynomials', 'derivatives']"
6327106c06a69a3f488dea83_f_0_0_0,FUNC,\cot,the image,\cot,FUNC_NORMAL,['trigonometry']
632f834c837ac920af6700da_f_1_4_0,FUNC,f,The function   f_1_4_0,['f'],"['func_name', '__ANON_1']","['complex-analysis', 'trigonometry', 'polynomials']"
632f834d837ac920af6702ee_f_1_19_0,FUNC,h,the function,['h'],"['func_name', '__ANON_1']",['trigonometry']
6327106c06a69a3f488deea7_f_2_0_0,FUNC,\cos,The function,\cos,FUNC_NORMAL,"['complex-analysis', 'trigonometry', 'complex-numbers']"
6327106c06a69a3f488deea7_f_2_19_0,FUNC,\cos,the function,\cos,FUNC_NORMAL,"['complex-analysis', 'trigonometry', 'complex-numbers']"
6327106c06a69a3f488def12_f_1_16_0,SCAL,1,the value    f_1_16_0,1,"['expr_atom', '__ANON_3']","['trigonometry', 'signal-processing']"
632f834e837ac920af670850_f_3_2_0,FUNC,f,a bijection,['f'],"['func_name', '__ANON_1']","['trigonometry', 'intuition']"
6327106c06a69a3f488df198_f_3_0_0,FUNC,\cosh,The functions,\cosh,FUNC_NORMAL,"['trigonometry', 'hyperbolic-geometry', 'learning']"
632fbf51837ac920af6c4768_f_4_2_0,FUNC,x,the inner function,['x'],"['func_name', '__ANON_1']","['calculus', 'functions', 'trigonometry']"
6327106c06a69a3f488df1a6_f_1_0_0,SCAL,0,just what,0,"['expr_atom', '__ANON_3']","['integration', 'trigonometry']"
632fbf51837ac920af6c4768_f_4_9_0,FUNC,f(x)=x^2,  and the outer function,"['f', '(', 'x', ')', '=', 'x', '^', '2']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['calculus', 'functions', 'trigonometry']"
6327106c06a69a3f488df1a6_f_2_17_0,FUNC,F,some function   f_2_17_0,['F'],"['func_name', '__ANON_0']","['integration', 'trigonometry']"
6327106c06a69a3f488df1a6_f_2_33_0,FUNC,F,the function   f_2_33_0,['F'],"['func_name', '__ANON_0']","['integration', 'trigonometry']"
6327106c06a69a3f488df1a6_f_2_41_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']","['integration', 'trigonometry']"
632f834e837ac920af670c52_f_1_9_0,SCAL,1,the constant,1,"['expr_atom', '__ANON_3']","['trigonometry', 'products', 'angle']"
632fbf51837ac920af6c49ba_f_0_19_0,FUNC,x,f_0_18_0   quadratic function,['x'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry', 'alternative-proof', 'transformational-geometry']"
632f834e837ac920af670ca2_f_2_19_0,FUNC,f,a continuous real function,['f'],"['func_name', '__ANON_1']","['functions', 'trigonometry']"
632f834f837ac920af670ec9_f_3_3_0,FUNC,f,the function   f_3_3_0,['f'],"['func_name', '__ANON_1']",['trigonometry']
6327106d06a69a3f488df5cf_f_3_27_0,SCAL,1/4,the ' nice ' value,"['1', '/', '4']","['mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3']","['trigonometry', 'approximation']"
632fbf52837ac920af6c52a0_f_0_5_0,SCAL,1,the real number   f_0_5_0,1,"['expr_atom', '__ANON_3']","['algebra-precalculus', 'trigonometry']"
6327106d06a69a3f488df71c_f_0_14_0,SCAL,2^y,an unsigned number,"['2', '^', 'y']","['exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']","['trigonometry', 'numerical-methods', 'approximation', 'signal-processing', 'computational-mathematics']"
632fbf53837ac920af6c53d3_f_1_0_0,FUNC,f(x)=a^x,the exponential function,"['f', '(', 'x', ')', '=', 'a', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', '__ANON_1']","['functions', 'trigonometry', 'logarithms', 'exponential-function', 'exponentiation']"
632f89f5837ac920af6712bc_f_1_11_0,SCAL,1.9189,an approximate value,[],"['expr_atom', 'number']","['trigonometry', 'systems-of-equations', 'hyperbolic-functions']"
6327106d06a69a3f488df84f_f_1_22_0,FUNC,x,f_1_21_0    maps,['x'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'trigonometry', 'functions', 'notation']"
6327106d06a69a3f488df84f_f_2_6_0,FUNC,f,a   function    f_2_6_0,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'trigonometry', 'functions', 'notation']"
6327106d06a69a3f488df84f_f_2_16_0,FUNC,f,a function   f_2_16_0,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'trigonometry', 'functions', 'notation']"
632f89f5837ac920af67146e_f_0_6_0,SCAL,[h],a very small positive number f_0_6_0,"['[', 'h', ']']","['group', 'L_BRACKET', '__ANON_1', 'R_BRACKET']","['limits', 'trigonometry', 'ceiling-and-floor-functions']"
6327106d06a69a3f488df936_f_0_2_0,FUNC,y,the second function,['y'],"['func_name', '__ANON_1']",['trigonometry']
632f89f5837ac920af6714a4_f_0_3_0,SCAL,e^{(-a)},a real number,"['e', '^', '{', '(', '-', 'a', ')', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'group', 'L_PAREN', 'unary', 'SUB', '__ANON_1', 'R_PAREN', 'R_BRACE']","['trigonometry', 'complex-numbers']"
632f89f5837ac920af6714a4_f_5_2_0,FUNC,\cosh,the hyperbolic functions,\cosh,FUNC_NORMAL,"['trigonometry', 'complex-numbers']"
632f89f5837ac920af67150a_f_2_0_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['trigonometry', 'derivatives']"
632f89f5837ac920af67150a_f_2_18_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']","['trigonometry', 'derivatives']"
632f89f5837ac920af67150a_f_2_25_0,FUNC,f,the function   f_2_25_0,['f'],"['func_name', '__ANON_1']","['trigonometry', 'derivatives']"
6327106d06a69a3f488dfbef_f_1_8_0,SCAL,0,A fraction,0,"['expr_atom', '__ANON_3']","['trigonometry', 'contest-math']"
632f89f5837ac920af6716fc_f_0_2_0,FUNC,x,floor function,['x'],"['func_name', '__ANON_1']","['limits', 'trigonometry', 'ceiling-and-floor-functions']"
632fbf54837ac920af6c59ed_f_3_3_0,FUNC,\tan,an odd function,\tan,FUNC_NORMAL,"['complex-analysis', 'functional-analysis', 'trigonometry', 'complex-numbers']"
6327106d06a69a3f488dfe05_f_0_1_0,SCAL,8 ,Question number   f_0_1_0,8,"['expr_atom', '__ANON_3']","['trigonometry', 'applications']"
63271c3106a69a3f488dfe44_f_3_2_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['calculus', 'algebra-precalculus', 'trigonometry']"
63271c3106a69a3f488dfe44_f_6_1_0,SCAL,0,obvious,0,"['expr_atom', '__ANON_3']","['calculus', 'algebra-precalculus', 'trigonometry']"
632f89f6837ac920af671f53_f_1_0_0,FUNC,e,trig functions,['e'],"['func_name', '__ANON_1']","['trigonometry', 'pi']"
63271c3206a69a3f488e073e_f_1_6_0,SCAL,e^{i},a trascendental number,"['e', '^', '{', 'i', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', '__ANON_1', 'R_BRACE']","['trigonometry', 'rationality-testing']"
63271c3206a69a3f488e08b1_f_3_2_0,SCAL,10 ,the number,"['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['algebra-precalculus', 'trigonometry']"
63271c3206a69a3f488e08b1_f_3_3_0,SCAL,1/4,the number   f_3_3_0,"['1', '/', '4']","['mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'trigonometry']"
63271c3206a69a3f488e094d_f_2_6_0,SCAL,0,the Dottie number,0,"['expr_atom', '__ANON_3']","['sequences-and-series', 'functions', 'trigonometry', 'infinity', 'trigonometric-series']"
63271c3206a69a3f488e094d_f_2_10_0,SCAL,1,the Dottie number,1,"['expr_atom', '__ANON_3']","['sequences-and-series', 'functions', 'trigonometry', 'infinity', 'trigonometric-series']"
63271c3206a69a3f488e094d_f_2_17_0,SCAL,2,the Dottie number,2,"['expr_atom', '__ANON_3']","['sequences-and-series', 'functions', 'trigonometry', 'infinity', 'trigonometric-series']"
632f89f7837ac920af6721e4_f_2_2_0,FUNC,f,an increasing function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'trigonometry', 'exponential-function', 'hyperbolic-functions', 'inverse-function']"
632f89f7837ac920af67227e_f_0_5_0,FUNC,"f(x,y) = 0",the respective implicit function   f_0_5_0,"['f', '(', 'x', ',', 'y', ')', '=', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'trigonometry', 'parametric', 'curves']"
632f89f7837ac920af67227e_f_0_8_0,FUNC,"f(x,y) = 0",the respective implicit function   f_0_8_0,"['f', '(', 'x', ',', 'y', ')', '=', '0']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', 'func_arg', '__ANON_1', 'COMMA', '__ANON_1', 'R_PAREN', 'EQUAL', 'expr_atom', '__ANON_3']","['algebra-precalculus', 'trigonometry', 'parametric', 'curves']"
632fbf55837ac920af6c6597_f_1_0_0,FUNC,\arcsin,the better notation,\arcsin,FUNC_NORMAL,"['trigonometry', 'inverse-function']"
632fbf55837ac920af6c6597_f_2_13_0,SCAL,f^{-1}(y),a number,"['f', '^', '{', '-', '1', '}', '(', 'y', ')']","['unary', 'exp', '__ANON_1', 'CARET', 'L_BRACE', 'unary', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['trigonometry', 'inverse-function']"
632fbf55837ac920af6c6612_f_3_1_0,FUNC,\cos,the function,\cos,FUNC_NORMAL,['trigonometry']
632fbf56837ac920af6c6813_f_4_10_0,SCAL,a+ib,a complex number   f_4_10_0   satisfies   f_4_11_0,"['a', '+', 'i', 'b']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['trigonometry', 'inverse-function']"
632f89f8837ac920af672b33_f_1_5_0,SCAL,x+yi,the complex number,"['x', '+', 'y', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['geometry', 'trigonometry']"
63271c3306a69a3f488e165f_f_1_5_0,FUNC,\ln,the function,\ln,FUNC_NORMAL,"['functions', 'trigonometry', 'notation']"
63271c3306a69a3f488e165f_f_2_14_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']","['functions', 'trigonometry', 'notation']"
63271c3406a69a3f488e17a5_f_3_38_0,SET,S^1,an open set,"['S', '^', '1']","['set_expr', '__ANON_0', 'CARET', '__ANON_3']","['general-topology', 'trigonometry', 'continuity', 'inverse']"
632f89f9837ac920af67303c_f_1_14_0,FUNC,a,a function,['a'],"['func_name', '__ANON_1']",['trigonometry']
