fid,mtype,exprstr,mention,tokens,type_tokens,tags
6327106206a69a3f488d7982_f_3_14_0,SCAL,a^2,the possible values,"['a', '^', '2']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['abstract-algebra', 'elementary-number-theory']"
6327106206a69a3f488d7982_f_3_17_0,SCAL,a^2+b^2,the possible values,"['a', '^', '2', '+', 'b', '^', '2']","['additive', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'ADD', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['abstract-algebra', 'elementary-number-theory']"
6327106206a69a3f488d7a56_f_1_4_0,SCAL,36,e.g. light bulb number   f_1_4_0,"['3', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'puzzle']"
6327106306a69a3f488d7d94_f_6_26_0,SCAL,1,constant term   f_6_26_0,1,"['expr_atom', '__ANON_3']",['elementary-number-theory']
6327106306a69a3f488d7d94_f_6_34_0,SCAL,1,the same value,1,"['expr_atom', '__ANON_3']",['elementary-number-theory']
6327106306a69a3f488d7eec_f_0_1_0,SCAL,3 ,the digit   f_0_1_0,3,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers']"
6327106306a69a3f488d7f82_f_5_1_0,SCAL,0,an odd numbers,0,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic', 'math-history', 'parity']"
6327106306a69a3f488d7f88_f_2_2_0,SCAL,3 ,number   f_2_2_0,3,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f88_f_3_7_0,SCAL,0,the number   f_3_7_0,0,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f88_f_8_1_0,SCAL,0,a number,0,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d7f88_f_8_5_0,SCAL,7 ,the number,7,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'elementary-set-theory', 'physics', 'infinity', 'philosophy']"
6327106306a69a3f488d8008_f_3_47_0,SCAL,0,the last digit,0,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic', 'divisibility', 'decimal-expansion']"
6327106306a69a3f488d8008_f_5_0_0,SCAL,abcd,the number,"['a', 'b', 'c', 'd']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']","['elementary-number-theory', 'modular-arithmetic', 'divisibility', 'decimal-expansion']"
6327106306a69a3f488d8190_f_0_3_0,SCAL,3 ,an interesting digit,3,"['expr_atom', '__ANON_3']",['elementary-number-theory']
6327106306a69a3f488d8190_f_2_1_0,SCAL,10,"f_2_0_0 , then the number   f_2_1_0","['1', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",['elementary-number-theory']
6327106306a69a3f488d8190_f_2_9_0,SCAL,1.(d-1),the number   f_2_9_0,"['(', 'd', '-', '1', ')']","['unary', 'expr_atom', 'number', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN']",['elementary-number-theory']
6327106306a69a3f488d82c2_f_1_15_0,SCAL,5 ,the first number,5,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'factorial', 'algebra-precalculus']"
6327106306a69a3f488d8414_f_0_3_0,SCAL,3^{500001},the number   f_0_3_0,"['3', '^', '{', '5', '0', '0', '0', '0', '1', '}']","['exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE']","['elementary-number-theory', 'prime-numbers', 'numerical-methods', 'modular-arithmetic']"
6327106306a69a3f488d85d6_f_0_7_0,SCAL,\frac{(256\cdot n - 464981)}{1953125},a very strange fraction,"['\\frac', '{', '(', '2', '5', '6', '\\cdot', 'n', '-', '4', '6', '4', '9', '8', '1', ')', '}', '{', '1', '9', '5', '3', '1', '2', '5', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'group', 'L_PAREN', 'additive', 'mp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'CMD_CDOT', '__ANON_1', 'SUB', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', 'R_PAREN', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE']",['elementary-number-theory']
6327106306a69a3f488d8627_f_0_0_0,SCAL,5,two numbers,5,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'linear-diophantine-equations']"
6327106306a69a3f488d8627_f_0_2_0,SCAL,19,the maximum number,"['1', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'linear-diophantine-equations']"
6327106306a69a3f488d8711_f_6_4_0,SCAL,1 ,the numbers,1,"['expr_atom', '__ANON_3']","['prime-numbers', 'elementary-number-theory']"
6327106306a69a3f488d8790_f_0_1_0,SCAL,42,the number   f_0_1_0,"['4', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'divisibility']"
6327106306a69a3f488d885d_f_2_4_0,SCAL,\frac{3n^2-n}{2},generalized pentagonal numbers,"['\\frac', '{', '3', 'n', '^', '2', '-', 'n', '}', '{', '2', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3', 'SUB', '__ANON_1', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']",['elementary-number-theory']
6327106406a69a3f488d8a20_f_1_6_0,SCAL,2k,the number,"['2', 'k']","['unary', 'expr_atom', '__ANON_3', '__ANON_1']",['elementary-number-theory']
6327106406a69a3f488d8a26_f_0_10_0,SCAL,1,two numbers,1,"['expr_atom', '__ANON_3']",['elementary-number-theory']
6327106406a69a3f488d8d46_f_3_7_0,SCAL,2,solutions,2,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic']"
6327106406a69a3f488d8f8c_f_1_3_0,SCAL,\frac{a^n +b^n}{(ab)^{n-1}+1},perfect,"['\\frac', '{', 'a', '^', 'n', '+', 'b', '^', 'n', '}', '{', '(', 'a', 'b', ')', '^', '{', 'n', '-', '1', '}', '+', '1', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'additive', 'exp', '__ANON_1', 'CARET', '__ANON_1', 'ADD', 'exp', '__ANON_1', 'CARET', '__ANON_1', 'R_BRACE', 'L_BRACE', 'additive', 'exp', 'group', 'L_PAREN', 'unary', '__ANON_1', '__ANON_1', 'R_PAREN', 'CARET', 'L_BRACE', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_BRACE', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE']","['elementary-number-theory', 'square-numbers']"
6327106406a69a3f488d90e6_f_0_3_0,SCAL,d(n),the number,"['d', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['elementary-number-theory', 'inequality', 'divisor-counting-function']"
6327106406a69a3f488d90e6_f_0_7_0,SCAL,120,the number,"['1', '2', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'inequality', 'divisor-counting-function']"
6327106406a69a3f488d9104_f_1_27_0,SCAL,4d^2,all odd numbers,"['4', 'd', '^', '2']","['unary', 'expr_atom', '__ANON_3', 'exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['elementary-number-theory', 'contest-math']"
6327106406a69a3f488d9270_f_0_8_0,SCAL,f(n),the smallest number,"['f', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['elementary-number-theory', 'asymptotics', 'recreational-mathematics', 'magic-square']"
6327106406a69a3f488d9270_f_0_12_0,SCAL,f(n),The value,"['f', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['elementary-number-theory', 'asymptotics', 'recreational-mathematics', 'magic-square']"
6327106406a69a3f488d9270_f_1_19_0,SCAL,1 ,the numbers,1,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'asymptotics', 'recreational-mathematics', 'magic-square']"
6327106406a69a3f488d928c_f_1_22_0,SCAL,p/2,average value,"['p', '/', '2']","['mp', '__ANON_1', 'DIV', 'expr_atom', '__ANON_3']",['elementary-number-theory']
632f7c59837ac920af665e7a_f_2_16_0,SCAL,0,the second digit   f_2_16_0,0,"['expr_atom', '__ANON_3']",['elementary-number-theory']
6327106406a69a3f488d930c_f_1_6_0,SCAL,+1,the value,"['+', '1']","['unary', 'ADD', 'expr_atom', '__ANON_3']",['elementary-number-theory']
632f7c59837ac920af665efc_f_3_0_0,SCAL,22,the number,"['2', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",['elementary-number-theory']
632f7c59837ac920af665efc_f_3_2_0,SCAL,22,number,"['2', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']",['elementary-number-theory']
632f7c59837ac920af665f10_f_1_0_0,SCAL,0,the digit,0,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'divisibility']"
632f7c59837ac920af665f10_f_1_21_0,SCAL,9876,the first four digits,"['9', '8', '7', '6']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'divisibility']"
632f7c59837ac920af665f10_f_1_39_0,SCAL,9867312,even such number,"['9', '8', '6', '7', '3', '1', '2']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'divisibility']"
6327106406a69a3f488d94f3_f_0_7_0,SCAL,p^{e+1},this number modulo,"['p', '^', '{', 'e', '+', '1', '}']","['exp', '__ANON_1', 'CARET', 'L_BRACE', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_BRACE']",['elementary-number-theory']
6327106406a69a3f488d9580_f_2_6_0,SCAL,1 ,the digits,1,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
6327106406a69a3f488d9580_f_2_8_0,SCAL,2 ,the digits,2,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
6327106406a69a3f488d9580_f_2_17_0,SCAL,1 ,all the digits,1,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
6327106406a69a3f488d9580_f_2_20_0,SCAL,2 ,all the digits,2,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
632f7c59837ac920af6661a7_f_0_0_0,SCAL,29,it 's digit,"['2', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['number-theory', 'elementary-number-theory']"
632f7c59837ac920af6661a7_f_1_3_0,SCAL,29,the digit sum,"['2', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['number-theory', 'elementary-number-theory']"
632f7c59837ac920af6661a7_f_1_4_0,SCAL,2,the iterated digit sum,2,"['expr_atom', '__ANON_3']","['number-theory', 'elementary-number-theory']"
632f7c59837ac920af666279_f_1_3_0,SCAL,29,Fibonacci numbers modulo,"['2', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic', 'divisibility', 'fibonacci-numbers', 'integers']"
632f7c59837ac920af666279_f_1_6_0,SCAL,29,Fibonacci numbers,"['2', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'modular-arithmetic', 'divisibility', 'fibonacci-numbers', 'integers']"
6327106406a69a3f488d9580_f_5_88_0,SCAL,3,digits,3,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
6327106406a69a3f488d9580_f_5_110_0,SCAL,4,the last two digits,4,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
6327106406a69a3f488d9580_f_5_122_0,SCAL,39,the last two digits,"['3', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'prime-numbers', 'recreational-mathematics']"
632f7c5a837ac920af6662cd_f_1_4_0,SCAL,101,digits,"['1', '0', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",['elementary-number-theory']
632f7c5a837ac920af6662cd_f_2_0_0,SCAL,2^{100},How many digits,"['2', '^', '{', '1', '0', '0', '}']","['exp', 'expr_atom', '__ANON_3', 'CARET', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', 'R_BRACE']",['elementary-number-theory']
6327106506a69a3f488d959e_f_0_0_0,FUNC,f(x) = (x-1)(x-2)(x-3) \cdots (x-k),this function,"['f', '(', 'x', ')', '=', '(', 'x', '-', '1', ')', '(', 'x', '-', '2', ')', '(', 'x', '-', '3', ')', '\\cdot', 's', '(', 'x', '-', 'k', ')']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'mp', 'unary', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'CMD_CDOT', 'unary', '__ANON_1', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', '__ANON_1', 'R_PAREN']","['elementary-number-theory', 'polynomials']"
632f7c5a837ac920af666316_f_1_99_0,SCAL,18,the values,"['1', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'factoring']"
632f7c5a837ac920af6663f9_f_1_7_0,SCAL,4 ,odd - position digits,4,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'probability-theory']"
632f7c5a837ac920af6663f9_f_2_8_0,SCAL,9 ,digits,9,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'probability-theory']"
632f7c5a837ac920af6663f9_f_3_1_0,SCAL,abcdefghi,a number   f_3_1_0,"['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1', '__ANON_1']","['elementary-number-theory', 'probability-theory']"
632f7c5a837ac920af666460_f_0_2_0,SCAL,max(n),numbers,"['m', 'a', 'x', '(', 'n', ')']","['unary', '__ANON_1', '__ANON_1', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['number-theory', 'elementary-number-theory']"
6327106506a69a3f488d9705_f_1_6_0,SCAL,100 ,only one number modulo,"['1', '0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']",['elementary-number-theory']
6327106506a69a3f488d97a3_f_0_10_0,FUNC,i,the identity function,['i'],"['func_name', '__ANON_1']","['elementary-number-theory', 'multiplicative-function']"
6327106506a69a3f488d97bb_f_1_7_0,FUNC,a : \mathbb N \rightarrow X,a function   f_1_7_0,"['a', ':', '\\mathbb', 'N', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', '__ANON_0']","['combinatorics', 'elementary-number-theory', 'divisibility', 'fibonacci-numbers']"
6327106506a69a3f488d97bb_f_1_19_0,FUNC,f : X^k \rightarrow X,the map,"['f', ':', 'X', '^', 'k', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'CARET', '__ANON_1', 'TO', '__ANON_0']","['combinatorics', 'elementary-number-theory', 'divisibility', 'fibonacci-numbers']"
6327106506a69a3f488d97d6_f_0_0_0,SCAL,10^n+1,the numbers,"['1', '0', '^', 'n', '+', '1']","['additive', 'exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']","['elementary-number-theory', 'prime-numbers']"
632f7c5a837ac920af66685e_f_1_0_0,SCAL,(p-1)/2,an even number,"['(', 'p', '-', '1', ')', '/', '2']","['mp', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'DIV', 'expr_atom', '__ANON_3']",['elementary-number-theory']
632f7c5a837ac920af666872_f_0_1_0,SCAL,9461,a prime number,"['9', '4', '6', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['number-theory', 'elementary-number-theory', 'modular-arithmetic', 'congruences']"
6327106506a69a3f488d9a38_f_0_4_0,SCAL,d(n),number,"['d', '(', 'n', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['number-theory', 'sequences-and-series', 'elementary-number-theory', 'contest-math', 'divisibility']"
632f7c5b837ac920af666a38_f_2_13_0,SCAL,n!+1,any prime number,"['n', '!', '+', '1']","['additive', 'postfix', '__ANON_1', 'BANG', 'ADD', 'expr_atom', '__ANON_3']","['elementary-number-theory', 'proof-verification', 'factorial', 'gcd-and-lcm']"
632f7c5b837ac920af666b38_f_0_34_0,SCAL,50 ,the number,"['5', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'sums-of-squares']"
632f8335837ac920af666e60_f_4_2_0,SCAL,5,a value modulo   f_4_2_0,5,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'congruences']"
632f8335837ac920af666e60_f_5_0_0,SCAL,3 ,Any number,3,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'congruences']"
632f8335837ac920af666e87_f_2_18_0,SCAL,9,a value,9,"['expr_atom', '__ANON_3']",['elementary-number-theory']
632f8335837ac920af666e87_f_2_20_0,SCAL,0,digit,0,"['expr_atom', '__ANON_3']",['elementary-number-theory']
632f8335837ac920af666e8e_f_1_3_0,SCAL,60,the minimal number,"['6', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['number-theory', 'elementary-number-theory']"
632f8335837ac920af666e99_f_0_3_0,SCAL,2^n,the possible last digit 0f   f_0_3_0,"['2', '^', 'n']","['exp', 'expr_atom', '__ANON_3', 'CARET', '__ANON_1']",['elementary-number-theory']
6327106606a69a3f488da082_f_3_9_0,SCAL,17,the prime number   f_3_9_0,"['1', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'prime-numbers']"
6327106606a69a3f488da082_f_3_11_0,SCAL,31,  and the prime number   f_3_11_0,"['3', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'prime-numbers']"
6327106606a69a3f488da176_f_1_9_0,SCAL,4a,a natural number,"['4', 'a']","['unary', 'expr_atom', '__ANON_3', '__ANON_1']",['elementary-number-theory']
6327106606a69a3f488da176_f_1_10_0,SCAL,\frac{3}{4},a non - natural number,"['\\frac', '{', '3', '}', '{', '4', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE']",['elementary-number-theory']
6327106606a69a3f488da176_f_2_3_0,FUNC,a,a function,['a'],"['func_name', '__ANON_1']",['elementary-number-theory']
6327106606a69a3f488da176_f_2_4_0,FUNC,b,a function,['b'],"['func_name', '__ANON_1']",['elementary-number-theory']
632f8336837ac920af6671ae_f_2_17_0,FUNC,f,a bijection,['f'],"['func_name', '__ANON_1']","['elementary-number-theory', 'peano-axioms']"
6327106606a69a3f488da1f9_f_1_45_0,SCAL,187,The first such number,"['1', '8', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'prime-numbers']"
632f8336837ac920af6671c2_f_0_8_0,FUNC,f: M \rightarrow M,two functions,"['f', ':', 'M', '\\rightarrow', 'M']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['elementary-number-theory', 'modular-arithmetic']"
632f8336837ac920af6671da_f_0_0_0,SCAL,1729 ,Ramanujan 's Taxicab number,"['1', '7', '2', '9']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['number-theory', 'elementary-number-theory', 'recreational-mathematics', 'problem-solving', 'puzzle']"
632f8336837ac920af6671da_f_1_4_0,SCAL,1547,a solution,"['1', '5', '4', '7']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['number-theory', 'elementary-number-theory', 'recreational-mathematics', 'problem-solving', 'puzzle']"
632f8336837ac920af6671da_f_1_7_0,SCAL,0,a solution,0,"['expr_atom', '__ANON_3']","['number-theory', 'elementary-number-theory', 'recreational-mathematics', 'problem-solving', 'puzzle']"
632f8336837ac920af66733d_f_0_0_0,SCAL,{(n+1)}^{1/2}-{(n-1)}^{1/2},natural numbers,"['{', '(', 'n', '+', '1', ')', '}', '^', '{', '1', '/', '2', '}', '-', '{', '(', 'n', '-', '1', ')', '}', '^', '{', '1', '/', '2', '}']","['additive', 'exp', 'group', 'L_BRACE', 'group', 'L_PAREN', 'additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3', 'R_BRACE', 'SUB', 'exp', 'group', 'L_BRACE', 'group', 'L_PAREN', 'additive', '__ANON_1', 'SUB', 'expr_atom', '__ANON_3', 'R_PAREN', 'R_BRACE', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3', 'R_BRACE']",['elementary-number-theory']
6327106606a69a3f488da310_f_0_1_0,SCAL,20 ,  value    quantity red         f_0_1_0     2 blue      f_0_2_0,"['2', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['algorithms', 'elementary-number-theory', 'diophantine-equations']"
6327106606a69a3f488da484_f_2_0_0,SCAL,m+1,a prime number,"['m', '+', '1']","['additive', '__ANON_1', 'ADD', 'expr_atom', '__ANON_3']",['elementary-number-theory']
6327106606a69a3f488da484_f_4_40_0,SCAL,n^4,the number,"['n', '^', '4']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']",['elementary-number-theory']
6327106606a69a3f488da505_f_1_16_0,SCAL,kn,the possible values,"['k', 'n']","['unary', '__ANON_1', '__ANON_1']","['reference-request', 'elementary-number-theory']"
6327106606a69a3f488da55b_f_1_20_0,SCAL,11,the numbers,"['1', '1']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['abstract-algebra', 'elementary-number-theory']"
632f8336837ac920af6676e3_f_1_3_0,SCAL,0,the number,0,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'number-systems']"
632f8336837ac920af6676e3_f_2_0_0,SCAL,4,the number,4,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'number-systems']"
632f8336837ac920af6676e3_f_3_3_0,SCAL,5,digit,5,"['expr_atom', '__ANON_3']","['elementary-number-theory', 'number-systems']"
632f8336837ac920af6676e3_f_3_11_0,SCAL,0625^2,four - digit number,"['0', '6', '2', '5', '^', '2']","['exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3', 'CARET', 'expr_atom', '__ANON_3']","['elementary-number-theory', 'number-systems']"
632f8336837ac920af6676e3_f_3_12_0,SCAL,0625,the digits,"['0', '6', '2', '5']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3', '__ANON_3']","['elementary-number-theory', 'number-systems']"
632f8336837ac920af667718_f_2_5_0,FUNC,f(x)=p^x,the function,"['f', '(', 'x', ')', '=', 'p', '^', 'x']","['func_expr', 'func_name_arg', 'func_name', '__ANON_1', 'L_PAREN', '__ANON_1', 'R_PAREN', 'EQUAL', 'exp', '__ANON_1', 'CARET', '__ANON_1']",['elementary-number-theory']
6327106606a69a3f488da645_f_0_6_0,SCAL,00,the last two digits,"['0', '0']","['expr_atom', 'integer', '__ANON_3', '__ANON_3']","['algebra-precalculus', 'elementary-number-theory', 'modular-arithmetic']"
632f8337837ac920af667971_f_1_15_0,SCAL,4,the numbers,4,"['expr_atom', '__ANON_3']","['number-theory', 'elementary-number-theory']"
6327106606a69a3f488da7b1_f_1_7_0,SCAL,p+qi,a complex number,"['p', '+', 'q', 'i']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']",['elementary-number-theory']
632f8337837ac920af667971_f_4_0_0,SCAL,4 ,some numbers,4,"['expr_atom', '__ANON_3']","['number-theory', 'elementary-number-theory']"
