fid,mtype,exprstr,mention,tokens,type_tokens,tags
632f5f3a837ac920af6350d2_f_0_15_0,SCAL,m/n,the same rational numbers,"['m', '/', 'n']","['mp', '__ANON_1', 'DIV', '__ANON_1']","['real-analysis', 'geometry', 'euclidean-geometry', 'math-history', 'real-numbers']"
632f5f3a837ac920af635367_f_0_3_0,SET,\mathbb{N},the set,\mathbb{N},"['set_constant', 'SET_BASIC']","['combinatorics', 'geometry', 'hilbert-spaces', 'euclidean-geometry', 'combinatorial-geometry']"
632f9da1837ac920af693732_f_2_2_0,FUNC,K,an affine invertible map,['K'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'polyhedra', 'polytopes']"
632f5f3b837ac920af635637_f_3_1_0,FUNC,"g:[c,d]\rightarrow\mathbb{R}",a function   f_3_1_0,"['g', ':', '[', 'c', ',', 'd', ']', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'interval', 'L_BRACKET', '__ANON_1', 'COMMA', '__ANON_1', 'R_BRACKET', 'TO', 'set_constant', 'SET_BASIC']","['proof-writing', 'euclidean-geometry']"
632f5f3b837ac920af635681_f_0_7_0,FUNC,S:X\rightarrow X,    Edit     A mapping,"['S', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_0', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['linear-algebra', 'euclidean-geometry']"
632f9da2837ac920af693bd5_f_2_34_0,FUNC,f,an increasing function,['f'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry']"
632f9da2837ac920af693bd5_f_2_41_0,FUNC,f,our function   f_2_41_0,['f'],"['func_name', '__ANON_1']","['geometry', 'trigonometry', 'euclidean-geometry']"
632f9da2837ac920af693cce_f_3_3_0,FUNC,x,this function,['x'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632fcd21837ac920af6dfa21_f_1_8_0,SET,\mathbb R^n,any bounded subset,"['\\mathbb', 'R', '^', 'n']","['SET_FAT', '__ANON_0', 'CARET', '__ANON_1']","['linear-algebra', 'multivariable-calculus', 'euclidean-geometry', 'definition', 'intuition']"
632f5f3d837ac920af6360d1_f_0_7_0,FUNC,y,the function,['y'],"['func_name', '__ANON_1']","['calculus', 'geometry', 'limits', 'derivatives', 'euclidean-geometry']"
632f9da2837ac920af693cce_f_3_9_0,SCAL,f(3),the minimal value,"['f', '(', '3', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', 'expr_atom', '__ANON_3', 'R_PAREN']","['geometry', 'euclidean-geometry', 'maxima-minima', 'geometric-inequalities']"
632f5f3f837ac920af636b9f_f_1_29_0,SET,\mathbb{N}^C,an uncountable set,"['\\mathbb{N}', '^', 'C']","['set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_0']","['combinatorics', 'euclidean-geometry']"
632f5f3f837ac920af636d79_f_0_5_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_0_7_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_1_2_0,FUNC,f,a function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632ffdd9837ac920af727109_f_1_37_0,SCAL,s^3,the numbers,"['s', '^', '3']","['exp', '__ANON_1', 'CARET', 'expr_atom', '__ANON_3']","['trigonometry', 'prime-numbers', 'euclidean-geometry', 'math-software', 'ratio']"
632f5f3f837ac920af636d79_f_3_4_0,SCAL,a+ ib,the complex number,"['a', '+', 'i', 'b']","['additive', '__ANON_1', 'ADD', 'unary', '__ANON_1', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632f5f3f837ac920af636d79_f_3_6_0,FUNC,f,the function,['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'linear-transformations']"
632ffdd9837ac920af727109_f_1_231_0,SCAL,11^{5/2},each the absolute value   f_1_231_0,"['1', '1', '^', '{', '5', '/', '2', '}']","['exp', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'CARET', 'L_BRACE', 'mp', 'expr_atom', '__ANON_3', 'DIV', 'expr_atom', '__ANON_3', 'R_BRACE']","['trigonometry', 'prime-numbers', 'euclidean-geometry', 'math-software', 'ratio']"
632f5f42837ac920af637bbb_f_0_0_0,FUNC,d: X\times X \to \mathbb{R},a function,"['d', ':', 'X', '\\times', 'X', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f5f42837ac920af637bbb_f_3_26_0,FUNC,d: X\times Y\to \mathbb R,a function   f_3_26_0,"['d', ':', 'X', '\\times', 'Y', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['general-topology', 'metric-spaces', 'euclidean-geometry']"
632f5f43837ac920af638013_f_1_0_0,SCAL,4 ,numbers,4,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'quadrilateral']"
632f5f45837ac920af638b54_f_0_4_0,FUNC,f:X \rightarrow X,a mapping,"['f', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'functions', 'euclidean-geometry', 'transformation']"
632f5f45837ac920af638b54_f_0_7_0,FUNC,f:X \rightarrow X,a mapping,"['f', ':', 'X', '\\rightarrow', 'X']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', '__ANON_0']","['geometry', 'functions', 'euclidean-geometry', 'transformation']"
632f5f46837ac920af638f82_f_1_17_0,FUNC,A,this map,['A'],"['func_name', '__ANON_0']","['group-theory', 'analysis', 'geometry', 'euclidean-geometry']"
632f5f46837ac920af639232_f_0_12_0,SCAL,2,The number,2,"['expr_atom', '__ANON_3']","['euclidean-geometry', 'standard-deviation']"
632f9da8837ac920af6968ef_f_1_8_0,FUNC,p,the Minkowski functional,['p'],"['func_name', '__ANON_1']","['geometry', 'convex-analysis', 'euclidean-geometry', 'convex-geometry']"
632f9da8837ac920af6968ef_f_1_28_0,FUNC,l,the continuous function,['l'],"['func_name', '__ANON_1']","['geometry', 'convex-analysis', 'euclidean-geometry', 'convex-geometry']"
632fd3c6837ac920af6e4eb2_f_1_4_0,FUNC,f \circ p,The function   f_1_4_0,"['f', '\\circ', 'p']","['func_composed', 'func_name', '__ANON_1', 'OP_FUNC_COMP', 'func_name', '__ANON_1']","['real-analysis', 'proof-explanation', 'euclidean-geometry']"
632f5f47837ac920af639739_f_1_34_0,SCAL,1,its value,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
632f5f47837ac920af639739_f_1_38_0,SCAL,1,its   value,1,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry']"
632fd3c6837ac920af6e50fd_f_0_4_0,FUNC,F,a map,['F'],"['func_name', '__ANON_0']","['functions', 'euclidean-geometry']"
632ffddf837ac920af7299a5_f_2_4_0,FUNC,t,smooth functions,['t'],"['func_name', '__ANON_1']","['ordinary-differential-equations', 'differential-geometry', 'euclidean-geometry', 'circles', 'polygons']"
632ffde1837ac920af72a184_f_0_16_0,FUNC,g \colon A \to \mathbb{R},a continuous function,"['g', '\\colon', 'A', '\\to', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_constant', 'SET_BASIC']","['real-analysis', 'geometry', 'euclidean-geometry', 'geometric-measure-theory']"
632ffde4837ac920af72b86a_f_1_2_0,FUNC,f,"-axis , then the function   f_1_2_0",['f'],"['func_name', '__ANON_1']","['euclidean-geometry', 'analytic-geometry']"
632f65fa837ac920af63f84a_f_1_0_0,SET,A^B,the set,"['A', '^', 'B']","['set_expr', '__ANON_0', 'CARET', '__ANON_0']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fa837ac920af63f84a_f_2_0_0,SET,\mathbb R^\mathbb N,the set,"['\\mathbb', 'R', '^', '\\mathbb', 'N']","['set_expr', 'SET_FAT', '__ANON_0', 'CARET', 'SET_FAT', '__ANON_0']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fa837ac920af63f84a_f_3_4_0,FUNC,f\colon \mathbb N \to \mathbb R,functions,"['f', '\\colon', '\\mathbb', 'N', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fa837ac920af63f84a_f_3_5_0,FUNC,f\colon \mathbb N \to \mathbb R,same,"['f', '\\colon', '\\mathbb', 'N', '\\to', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'SET_FAT', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']","['vector-spaces', 'euclidean-geometry', 'normed-spaces']"
632f65fb837ac920af640031_f_0_24_0,FUNC,F,f_0_23_0   mapping,['F'],"['func_name', '__ANON_0']","['contest-math', 'euclidean-geometry']"
632ffde5837ac920af72c00e_f_1_5_0,SCAL,0,the minimizing value,0,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'quadrilateral']"
632f6601837ac920af641d90_f_2_22_0,FUNC,i,a rigid motion,['i'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'projective-geometry']"
632f6601837ac920af64223d_f_0_2_0,FUNC,f:S\to \mathbb{R}^4,a map   f_0_2_0,"['f', ':', 'S', '\\to', '\\mathbb{R}', '^', '4']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', '__ANON_0', 'TO', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3']","['optimization', 'euclidean-geometry']"
632fd3da837ac920af6ecf87_f_0_9_0,SCAL,\frac{4}{45},the value,"['\\frac', '{', '4', '}', '{', '4', '5', '}']","['expr_atom', 'CMD_FRAC', 'L_BRACE', 'expr_atom', '__ANON_3', 'R_BRACE', 'L_BRACE', 'expr_atom', 'integer', '__ANON_3', '__ANON_3', 'R_BRACE']","['combinatorics', 'geometry', 'euclidean-geometry', 'combinatorial-geometry', 'extremal-combinatorics']"
632f660b837ac920af645973_f_3_0_0,SCAL,2 ,the number,2,"['expr_atom', '__ANON_3']","['geometry', 'euclidean-geometry', 'philosophy']"
632fdaea837ac920af6ee5c8_f_2_2_0,FUNC,B,This map,['B'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'triangles', 'locus', 'geometric-transformation']"
632fdaeb837ac920af6eeb6f_f_2_13_0,SCAL,168,the number   f_2_13_0,"['1', '6', '8']","['expr_atom', 'integer', '__ANON_3', '__ANON_3', '__ANON_3']","['geometry', 'euclidean-geometry', 'analytic-geometry', 'triangles', 'slope']"
632f660e837ac920af646fd9_f_3_0_0,SCAL,f(r),    The only nonconstant functions,"['f', '(', 'r', ')']","['unary', '__ANON_1', 'group', 'L_PAREN', '__ANON_1', 'R_PAREN']","['integration', 'euclidean-geometry', 'average', 'centroid']"
632f660e837ac920af646fd9_f_5_10_0,FUNC,r,only a function,['r'],"['func_name', '__ANON_1']","['integration', 'euclidean-geometry', 'average', 'centroid']"
633004bc837ac920af730cf3_f_0_3_0,SET,"\{w, x, y, z\}",a   f_0_2_0 -element set   f_0_3_0,"['\\{', 'w', ',', 'x', ',', 'y', ',', 'z', '\\}']","['explset', 'L_BRACE_LITERAL', 'set_enumeration', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'COMMA', 'item', '__ANON_1', 'R_BRACE_LITERAL']","['real-analysis', 'geometry', 'metric-spaces', 'euclidean-geometry', 'isometry']"
633004bc837ac920af730cf3_f_0_9_0,FUNC,f,function,['f'],"['func_name', '__ANON_1']","['real-analysis', 'geometry', 'metric-spaces', 'euclidean-geometry', 'isometry']"
632f6cfa837ac920af648589_f_1_6_0,SCAL,1,the value,1,"['expr_atom', '__ANON_3']","['finite-groups', 'permutations', 'euclidean-geometry', 'symmetry']"
632f6cfe837ac920af6499bf_f_0_7_0,FUNC,S,a bijection,['S'],"['func_name', '__ANON_0']","['geometry', 'euclidean-geometry', 'plane-geometry']"
632f6cff837ac920af64a04f_f_2_0_0,FUNC,d:S \times S \rightarrow \mathbb R,a function,"['d', ':', 'S', '\\times', 'S', '\\rightarrow', '\\mathbb', 'R']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', '__ANON_0', 'sets__OP_CART', '__ANON_0', 'TO', 'SET_FAT', '__ANON_0']",['euclidean-geometry']
632f6d00837ac920af64a758_f_0_0_0,FUNC,f:\mathbb{R}^2 \rightarrow  \mathbb{R},a scalar function,"['f', ':', '\\mathbb{R}', '^', '2', '\\rightarrow', '\\mathbb{R}']","['func_def', 'func_name', '__ANON_1', 'COLON', 'mapping', 'set_expr', 'set_constant', 'SET_BASIC', 'CARET', '__ANON_3', 'TO', 'set_constant', 'SET_BASIC']","['euclidean-geometry', 'analytic-geometry']"
632f6d02837ac920af64b3d6_f_0_4_0,FUNC,p,a rotation mapping,['p'],"['func_name', '__ANON_1']","['euclidean-geometry', '3d', 'rotations']"
632faaf7837ac920af6a4180_f_0_3_0,FUNC,r,a function,['r'],"['func_name', '__ANON_1']","['geometry', 'differential-geometry', 'convex-analysis', 'euclidean-geometry', 'spherical-coordinates']"
632f6d04837ac920af64bcbb_f_1_3_0,FUNC,d,a   distance   function   f_1_3_0,['d'],"['func_name', '__ANON_1']","['geometry', 'euclidean-geometry', 'pi', 'noneuclidean-geometry']"
633004c0837ac920af73281b_f_0_11_0,SCAL,1 ,the eigenvalues,1,"['expr_atom', '__ANON_3']","['linear-algebra', 'geometry', 'euclidean-geometry', 'discrete-geometry']"
